"player","class","pos","team","x3_p_s","slasher","ball_dominant","playmaker","limit_to","perim_defender","rim_protector","oreb","dreb"
"Marcus Morris","NBA","F","LAC",0.767045454545455,0.340909090909091,0.801136363636364,0.261363636363636,0.579545454545455,0.267045454545455,0.210227272727273,0.0681818181818182,0.369318181818182
"Kevin Durant","NBA","F-G","BRKPHO",0.403409090909091,0.857954545454545,0.982954545454545,0.954545454545455,0.369318181818182,0.755681818181818,0.886363636363636,0,0.818181818181818
"Paul George","NBA","F","LAC",0.732954545454545,0.5,0.971590909090909,0.931818181818182,0.204545454545455,0.840909090909091,0.579545454545455,0.107954545454545,0.704545454545455
"Jae'Sean Tate","NBA","F","HOU",0.215909090909091,0.744318181818182,0.625,0.886363636363636,0.556818181818182,0.545454545454545,0.414772727272727,0.772727272727273,0.357954545454545
"Jeff Green","NBA","F","BRKDEN",0.369318181818182,0.721590909090909,0.4375,0.431818181818182,0.619318181818182,0.0965909090909091,0.164772727272727,0.147727272727273,0.136363636363636
"Patrick Williams","NBA","F","CHI",0.517045454545455,0.539772727272727,0.346590909090909,0.238636363636364,0.193181818181818,0.670454545454545,0.704545454545455,0.346590909090909,0.267045454545455
"Chris Boucher","NBA","F","TOR",0.397727272727273,0.659090909090909,0.664772727272727,0.0113636363636364,0.386363636363636,0.443181818181818,0.909090909090909,0.903409090909091,0.903409090909091
"Gordon Hayward","NBA","F-G","CHO",0.426136363636364,0.693181818181818,0.863636363636364,0.909090909090909,0.863636363636364,0.380681818181818,0.272727272727273,0.113636363636364,0.335227272727273
"Cedi Osman","NBA","F","CLE",0.829545454545455,0.232954545454545,0.789772727272727,0.835227272727273,0.886363636363636,0.539772727272727,0.329545454545455,0.0738636363636364,0.0852272727272727
"Georges Niang","NBA","F","PHIUTA",0.988636363636364,0.0340909090909091,0.522727272727273,0.392045454545455,0.5,0.215909090909091,0.125,0.0511363636363636,0.176136363636364
"De'Andre Hunter","NBA","F","ATL",0.414772727272727,0.636363636363636,0.755681818181818,0.0511363636363636,0.340909090909091,0.0511363636363636,0.0625,0.0738636363636364,0.159090909090909
"Cameron Johnson","NBA","F","BRKPHO",0.920454545454545,0.164772727272727,0.647727272727273,0.357954545454545,0.857954545454545,0.710227272727273,0.465909090909091,0.147727272727273,0.3125
"Herbert Jones","NBA","F","NOP",0.244318181818182,0.761363636363636,0.255681818181818,0.772727272727273,0.642045454545455,0.982954545454545,0.880681818181818,0.556818181818182,0.0454545454545455
"Caleb Martin","NBA","F","CHOMIA",0.460227272727273,0.448863636363636,0.386363636363636,0.534090909090909,0.539772727272727,0.778409090909091,0.659090909090909,0.556818181818182,0.380681818181818
"Darius Bazley","NBA","F","OKCPHO",0.392045454545455,0.551136363636364,0.732954545454545,0.255681818181818,0.0965909090909091,0.403409090909091,0.613636363636364,0.329545454545455,0.829545454545455
"Rui Hachimura","NBA","F","LALWAS",0.301136363636364,0.698863636363636,0.732954545454545,0.0625,0.414772727272727,0.0511363636363636,0.0511363636363636,0.232954545454545,0.522727272727273
"Jaren Jackson Jr.","NBA","F","MEM",0.431818181818182,0.75,0.926136363636364,0,0.00568181818181823,0.857954545454545,1,0.715909090909091,0.670454545454545
"Doug McDermott","NBA","F","INDSAS",0.835227272727273,0.238636363636364,0.704545454545455,0.267045454545455,0.573863636363636,0,0.00568181818181818,0.125,0.0454545454545455
"Terrence Ross","NBA","F-G","ORLPHO",0.676136363636364,0.323863636363636,0.829545454545455,0.659090909090909,0.590909090909091,0.238636363636364,0.153409090909091,0.0170454545454545,0.0852272727272727
"Joe Ingles","NBA","F-G","MILUTA",0.982954545454545,0.0284090909090909,0.272727272727273,0.982954545454545,0.988636363636364,0.75,0.517045454545455,0,0.125
"Michael Porter Jr.","NBA","F","DEN",0.846590909090909,0.25,0.875,0.0170454545454545,0.261363636363636,0.0795454545454545,0.198863636363636,0.528409090909091,0.784090909090909
"Jae Crowder","NBA","F","MILPHO",0.948863636363636,0.0909090909090909,0.318181818181818,0.653409090909091,0.914772727272727,0.914772727272727,0.767045454545455,0.0852272727272727,0.636363636363636
"Daniel Gafford","NBA","F","CHIWAS",0.00568181818181818,0.988636363636364,0.426136363636364,0.306818181818182,0.153409090909091,0.727272727272727,0.988636363636364,0.954545454545455,0.727272727272727
"Naz Reid","NBA","F","MIN",0.380681818181818,0.642045454545455,0.886363636363636,0.130681818181818,0.0170454545454546,0.676136363636364,0.943181818181818,0.801136363636364,0.840909090909091
"Brandon Clarke","NBA","F","MEM",0.0568181818181818,0.909090909090909,0.5625,0.590909090909091,0.840909090909091,0.857954545454545,0.9375,0.857954545454545,0.738636363636364
"Maxi Kleber","NBA","F","DAL",0.897727272727273,0.0965909090909091,0.0625,0.579545454545455,0.744318181818182,0.619318181818182,0.829545454545455,0.448863636363636,0.6875
"Jalen McDaniels","NBA","F","CHOPHI",0.409090909090909,0.528409090909091,0.494318181818182,0.551136363636364,0.409090909090909,0.653409090909091,0.568181818181818,0.403409090909091,0.522727272727273
"Precious Achiuwa","NBA","F","MIATOR",0.1875,0.852272727272727,0.6875,0.0909090909090909,0.0795454545454546,0.244318181818182,0.426136363636364,0.886363636363636,0.926136363636364
"Drew Eubanks","NBA","F","PORSAS",0.0625,0.954545454545455,0.346590909090909,0.625,0.221590909090909,0.602272727272727,0.931818181818182,0.903409090909091,0.920454545454545
"Kevin Love","NBA","F","CLEMIA",0.9375,0.204545454545455,0.880681818181818,0.761363636363636,0.488636363636364,0.409090909090909,0.369318181818182,0.607954545454545,1
"Kawhi Leonard","NBA","F","LAC",0.4375,0.818181818181818,0.960227272727273,0.914772727272727,0.965909090909091,0.886363636363636,0.653409090909091,0.301136363636364,0.659090909090909
"Carmelo Anthony","NBA","F","LALPOR",0.801136363636364,0.369318181818182,0.869318181818182,0.0397727272727273,0.517045454545455,0.125,0.267045454545455,0.159090909090909,0.215909090909091
"Onyeka Okongwu","NBA","F","ATL",0.0454545454545455,0.965909090909091,0.295454545454545,0.278409090909091,0.198863636363636,0.772727272727273,0.977272727272727,0.965909090909091,0.818181818181818
