"player","class","pos","team","x3_p_s","slasher","ball_dominant","playmaker","limit_to","perim_defender","rim_protector","oreb","dreb"
"Jake Layman","NBA","F","MIN",0.318181818181818,0.426136363636364,0.386363636363636,0.215909090909091,0.255681818181818,0.659090909090909,0.625,0.0852272727272727,0.0795454545454545
"Mike Scott","NBA","F","PHI",0.965909090909091,0.0170454545454545,0.0852272727272727,0.488636363636364,0.835227272727273,0.647727272727273,0.556818181818182,0,0.335227272727273
"T.J. Warren","NBA","F","BRKINDPHO",0.181818181818182,0.613636363636364,0.755681818181818,0.238636363636364,0.778409090909091,0.357954545454545,0.301136363636364,0.346590909090909,0.403409090909091
"Ignas Brazdeikis","NBA","F","NYKORLPHI",0.551136363636364,0.397727272727273,0.573863636363636,0.664772727272727,0.755681818181818,0.0227272727272727,0.0227272727272727,0.477272727272727,0.102272727272727
"Bruno Fernando","NBA","F","ATLBOSHOU",0.0340909090909091,0.977272727272727,0.517045454545455,0.5,0,0.522727272727273,0.971590909090909,0.960227272727273,0.971590909090909
"Kelan Martin","NBA","F","BOSIND",0.670454545454545,0.244318181818182,0.704545454545455,0.0965909090909091,0.420454545454545,0.153409090909091,0.221590909090909,0.556818181818182,0.357954545454545
"Simone Fontecchio","NBA","F","UTA",0.903409090909091,0.136363636363636,0.801136363636364,0.113636363636364,0.181818181818182,0.0113636363636364,0.0284090909090909,0.448863636363636,0
"Greg Brown III","NBA","F","POR",0.227272727272727,0.835227272727273,0.539772727272727,0.301136363636364,0.0511363636363636,0.414772727272727,0.642045454545455,0.6875,0.670454545454545
"Eugene Omoruyi","NBA","F","DALDETOKC",0.306818181818182,0.681818181818182,0.693181818181818,0.0795454545454545,0.102272727272727,0.329545454545455,0.0568181818181818,0.801136363636364,0.181818181818182
"Killian Tillie","NBA","F","MEM",0.863636363636364,0.102272727272727,0.181818181818182,0.340909090909091,0.818181818181818,0.823863636363636,0.869318181818182,0.426136363636364,0.0284090909090909
"Tyler Cook","NBA","F","BRKCHIDET",0.142045454545455,1,0.215909090909091,0.170454545454545,0.113636363636364,0.142045454545455,0.102272727272727,0.823863636363636,0.710227272727273
"Wes Iwundu","NBA","F","ATLDALNOP",0.107954545454545,0.602272727272727,0.0340909090909091,0.198863636363636,0.335227272727273,0.295454545454545,0.147727272727273,0.204545454545455,0.420454545454545
"Jabari Walker","NBA","F","POR",0.210227272727273,0.670454545454545,0.528409090909091,0.340909090909091,0.278409090909091,0.00568181818181818,0.142045454545455,0.852272727272727,0.477272727272727
"Patrick Patterson","NBA","F","LAC",0.909090909090909,0.0625,0.25,0.448863636363636,0.9375,0.448863636363636,0.397727272727273,0.329545454545455,0.0625
"Ousmane Dieng","NBA","F","OKC",0.5,0.1875,0.414772727272727,0.738636363636364,0.659090909090909,0.3125,0.25,0.267045454545455,0.585227272727273
"Nicolò Melli","NBA","F","DALNOP",0.664772727272727,0.176136363636364,0.136363636363636,0.784090909090909,0.977272727272727,0.505681818181818,0.340909090909091,0.653409090909091,0.681818181818182
"Jaylen Hoard","NBA","F","OKC",0.102272727272727,0.869318181818182,0.539772727272727,0.732954545454545,0.585227272727273,0.204545454545455,0.159090909090909,0.880681818181818,0.710227272727273
"Freddie Gillespie","NBA","F","ORLTOR",0.0170454545454545,0.960227272727273,0.0852272727272727,0.159090909090909,0.272727272727273,0.579545454545455,0.954545454545455,0.931818181818182,0.613636363636364
"Mamadi Diakite","NBA","F","CLEMILOKC",0.113636363636364,0.6875,0.295454545454545,0.102272727272727,0.159090909090909,0.806818181818182,0.960227272727273,0.789772727272727,0.767045454545455
"Abdel Nader","NBA","F","PHO",0.488636363636364,0.647727272727273,0.590909090909091,0.176136363636364,0.0227272727272727,0.875,0.840909090909091,0.113636363636364,0.619318181818182
"Ed Davis","NBA","F","CLEMIN",0,0.982954545454545,0,0.789772727272727,0.892045454545455,0.880681818181818,0.965909090909091,0.988636363636364,0.982954545454545
"Elijah Hughes","NBA","F","PORUTA",0.892045454545455,0.0511363636363636,0.568181818181818,0.352272727272727,0.323863636363636,0.107954545454545,0.119318181818182,0.0170454545454545,0.284090909090909
"D.J. Wilson","NBA","F","HOUMILTOR",0.681818181818182,0.329545454545455,0.727272727272727,0.318181818181818,0.244318181818182,0.488636363636364,0.647727272727273,0.477272727272727,0.960227272727273
"Luka Šamanić","NBA","F","SASUTA",0.363636363636364,0.460227272727273,0.704545454545455,0.369318181818182,0.0454545454545454,0.517045454545455,0.454545454545455,0.301136363636364,0.75
"Alfonzo McKinnie","NBA","F","CHILAL",0.659090909090909,0.392045454545455,0.494318181818182,0.0227272727272727,0.426136363636364,0.0170454545454545,0.0170454545454545,0.835227272727273,0.204545454545455
"Al-Farouq Aminu","NBA","F","CHIORL",0.164772727272727,0.522727272727273,0.215909090909091,0.755681818181818,0.0909090909090909,0.886363636363636,0.755681818181818,0.579545454545455,0.914772727272727
"Orlando Robinson","NBA","F","MIA",0.0284090909090909,0.943181818181818,0.130681818181818,0.693181818181818,0.568181818181818,0.744318181818182,0.846590909090909,0.988636363636364,0.926136363636364
"Keljin Blevins","NBA","F","POR",0.857954545454545,0.125,0.426136363636364,0.420454545454545,0.170454545454545,0.119318181818182,0,0.511363636363636,0.0340909090909091
"Jake LaRavia","NBA","F","MEM",0.926136363636364,0.0227272727272727,0.0795454545454545,0.511363636363636,0.318181818181818,0.676136363636364,0.465909090909091,0.545454545454545,0.102272727272727
"Dominick Barlow","NBA","F","SAS",0.0227272727272727,0.926136363636364,0.0511363636363636,0.676136363636364,0.613636363636364,0.227272727272727,0.602272727272727,0.9375,0.482954545454545
