"Team","split","variable","game_code","stats"
"UTEP","wins","Offensive_Efficency","UC Santa Barbara 20231113",119.5
"UTEP","wins","Offensive_Efficency","Austin Peay 20231117",99.8
"UTEP","wins","Offensive_Efficency","California 20231120",109.5
"UTEP","wins","Offensive_Efficency","Western New Mexico 20231204",130.3
"UTEP","losses","Offensive_Efficency","Bradley 20231122",84.5
"UTEP","losses","Offensive_Efficency","Loyola Marymount 20231125",66.7
"UTEP","losses","Offensive_Efficency","Texas A&M-CC 20231129",85.9
"UTEP","recency5","Defensive_Efficency","California 20231120",105.2
"UTEP","recency5","Defensive_Efficency","Bradley 20231122",90.2
"UTEP","recency5","Defensive_Efficency","Loyola Marymount 20231125",95.1
"UTEP","recency5","Defensive_Efficency","Texas A&M-CC 20231129",91.4
"UTEP","recency5","Defensive_Efficency","Western New Mexico 20231204",89.8
"UTEP","recency10","Defensive_Efficency","McMurry 20231106",75.2
"UTEP","recency10","Defensive_Efficency","Univ. of Science and A 20231109",85.3
"UTEP","recency10","Defensive_Efficency","UC Santa Barbara 20231113",102
"UTEP","recency10","Defensive_Efficency","Austin Peay 20231117",88.6
"UTEP","recency10","Defensive_Efficency","California 20231120",105.2
"UTEP","recency10","Defensive_Efficency","Bradley 20231122",90.2
"UTEP","recency10","Defensive_Efficency","Loyola Marymount 20231125",95.1
"UTEP","recency10","Defensive_Efficency","Texas A&M-CC 20231129",91.4
"UTEP","recency10","Defensive_Efficency","Western New Mexico 20231204",89.8
"UTEP","home","Defensive_Efficency","McMurry 20231106",75.2
"UTEP","home","Defensive_Efficency","Univ. of Science and A 20231109",85.3
"UTEP","home","Defensive_Efficency","UC Santa Barbara 20231113",102
"UTEP","home","Defensive_Efficency","Austin Peay 20231117",88.6
"UTEP","home","Defensive_Efficency","Texas A&M-CC 20231129",91.4
"UTEP","home","Defensive_Efficency","Western New Mexico 20231204",89.8
"UTEP","away","Defensive_Efficency","California 20231120",105.2
"UTEP","away","Defensive_Efficency","Bradley 20231122",90.2
"UTEP","away","Defensive_Efficency","Loyola Marymount 20231125",95.1
"UTEP","net100","Defensive_Efficency","Bradley 20231122",90.2
"UTEP","wins","Defensive_Efficency","McMurry 20231106",75.2
"UTEP","wins","Defensive_Efficency","Univ. of Science and A 20231109",85.3
"UTEP","wins","Defensive_Efficency","UC Santa Barbara 20231113",102
"UTEP","wins","Defensive_Efficency","Austin Peay 20231117",88.6
"UTEP","wins","Defensive_Efficency","California 20231120",105.2
"UTEP","wins","Defensive_Efficency","Western New Mexico 20231204",89.8
"UTEP","losses","Defensive_Efficency","Bradley 20231122",90.2
"UTEP","losses","Defensive_Efficency","Loyola Marymount 20231125",95.1
"UTEP","losses","Defensive_Efficency","Texas A&M-CC 20231129",91.4
"UTEP","recency5","Points_Scored","California 20231120",75
"UTEP","recency5","Points_Scored","Bradley 20231122",59
"UTEP","recency5","Points_Scored","Loyola Marymount 20231125",47
"UTEP","recency5","Points_Scored","Texas A&M-CC 20231129",63
"UTEP","recency5","Points_Scored","Western New Mexico 20231204",90
"UTEP","recency10","Points_Scored","McMurry 20231106",120
"UTEP","recency10","Points_Scored","Univ. of Science and A 20231109",123
"UTEP","recency10","Points_Scored","UC Santa Barbara 20231113",89
"UTEP","recency10","Points_Scored","Austin Peay 20231117",71
"UTEP","recency10","Points_Scored","California 20231120",75
"UTEP","recency10","Points_Scored","Bradley 20231122",59
"UTEP","recency10","Points_Scored","Loyola Marymount 20231125",47
"UTEP","recency10","Points_Scored","Texas A&M-CC 20231129",63
"UTEP","recency10","Points_Scored","Western New Mexico 20231204",90
"UTEP","home","Points_Scored","McMurry 20231106",120
"UTEP","home","Points_Scored","Univ. of Science and A 20231109",123
"UTEP","home","Points_Scored","UC Santa Barbara 20231113",89
"UTEP","home","Points_Scored","Austin Peay 20231117",71
"UTEP","home","Points_Scored","Texas A&M-CC 20231129",63
"UTEP","home","Points_Scored","Western New Mexico 20231204",90
"UTEP","away","Points_Scored","California 20231120",75
"UTEP","away","Points_Scored","Bradley 20231122",59
"UTEP","away","Points_Scored","Loyola Marymount 20231125",47
"UTEP","net100","Points_Scored","Bradley 20231122",59
"UTEP","wins","Points_Scored","McMurry 20231106",120
"UTEP","wins","Points_Scored","Univ. of Science and A 20231109",123
"UTEP","wins","Points_Scored","UC Santa Barbara 20231113",89
"UTEP","wins","Points_Scored","Austin Peay 20231117",71
"UTEP","wins","Points_Scored","California 20231120",75
"UTEP","wins","Points_Scored","Western New Mexico 20231204",90
"UTEP","losses","Points_Scored","Bradley 20231122",59
"UTEP","losses","Points_Scored","Loyola Marymount 20231125",47
"UTEP","losses","Points_Scored","Texas A&M-CC 20231129",63
"UTEP","recency5","Points_Allowed","California 20231120",72
"UTEP","recency5","Points_Allowed","Bradley 20231122",63
"UTEP","recency5","Points_Allowed","Loyola Marymount 20231125",67
"UTEP","recency5","Points_Allowed","Texas A&M-CC 20231129",67
"UTEP","recency5","Points_Allowed","Western New Mexico 20231204",62
"UTEP","recency10","Points_Allowed","McMurry 20231106",71
"UTEP","recency10","Points_Allowed","Univ. of Science and A 20231109",72
"UTEP","recency10","Points_Allowed","UC Santa Barbara 20231113",76
"UTEP","recency10","Points_Allowed","Austin Peay 20231117",63
"UTEP","recency10","Points_Allowed","California 20231120",72
"UTEP","recency10","Points_Allowed","Bradley 20231122",63
"UTEP","recency10","Points_Allowed","Loyola Marymount 20231125",67
"UTEP","recency10","Points_Allowed","Texas A&M-CC 20231129",67
"UTEP","recency10","Points_Allowed","Western New Mexico 20231204",62
"UTEP","home","Points_Allowed","McMurry 20231106",71
"UTEP","home","Points_Allowed","Univ. of Science and A 20231109",72
"UTEP","home","Points_Allowed","UC Santa Barbara 20231113",76
"UTEP","home","Points_Allowed","Austin Peay 20231117",63
"UTEP","home","Points_Allowed","Texas A&M-CC 20231129",67
"UTEP","home","Points_Allowed","Western New Mexico 20231204",62
"UTEP","away","Points_Allowed","California 20231120",72
"UTEP","away","Points_Allowed","Bradley 20231122",63
"UTEP","away","Points_Allowed","Loyola Marymount 20231125",67
"UTEP","net100","Points_Allowed","Bradley 20231122",63
"UTEP","wins","Points_Allowed","McMurry 20231106",71
"UTEP","wins","Points_Allowed","Univ. of Science and A 20231109",72
"UTEP","wins","Points_Allowed","UC Santa Barbara 20231113",76
"UTEP","wins","Points_Allowed","Austin Peay 20231117",63
"UTEP","wins","Points_Allowed","California 20231120",72
"UTEP","wins","Points_Allowed","Western New Mexico 20231204",62
"UTEP","losses","Points_Allowed","Bradley 20231122",63
"UTEP","losses","Points_Allowed","Loyola Marymount 20231125",67
"UTEP","losses","Points_Allowed","Texas A&M-CC 20231129",67
"UTEP","recency5","Offensive_3PAr","California 20231120",32.1
"UTEP","recency5","Offensive_3PAr","Bradley 20231122",29.8
"UTEP","recency5","Offensive_3PAr","Loyola Marymount 20231125",32.1
"UTEP","recency5","Offensive_3PAr","Texas A&M-CC 20231129",36.5
"UTEP","recency5","Offensive_3PAr","Western New Mexico 20231204",40.8
"UTEP","recency10","Offensive_3PAr","McMurry 20231106",29.1
"UTEP","recency10","Offensive_3PAr","Univ. of Science and A 20231109",34.3
"UTEP","recency10","Offensive_3PAr","UC Santa Barbara 20231113",15.9
"UTEP","recency10","Offensive_3PAr","Austin Peay 20231117",38.3
"UTEP","recency10","Offensive_3PAr","California 20231120",32.1
"UTEP","recency10","Offensive_3PAr","Bradley 20231122",29.8
"UTEP","recency10","Offensive_3PAr","Loyola Marymount 20231125",32.1
"UTEP","recency10","Offensive_3PAr","Texas A&M-CC 20231129",36.5
"UTEP","recency10","Offensive_3PAr","Western New Mexico 20231204",40.8
"UTEP","home","Offensive_3PAr","McMurry 20231106",29.1
"UTEP","home","Offensive_3PAr","Univ. of Science and A 20231109",34.3
"UTEP","home","Offensive_3PAr","UC Santa Barbara 20231113",15.9
"UTEP","home","Offensive_3PAr","Austin Peay 20231117",38.3
"UTEP","home","Offensive_3PAr","Texas A&M-CC 20231129",36.5
"UTEP","home","Offensive_3PAr","Western New Mexico 20231204",40.8
"UTEP","away","Offensive_3PAr","California 20231120",32.1
"UTEP","away","Offensive_3PAr","Bradley 20231122",29.8
"UTEP","away","Offensive_3PAr","Loyola Marymount 20231125",32.1
"UTEP","net100","Offensive_3PAr","Bradley 20231122",29.8
"UTEP","wins","Offensive_3PAr","McMurry 20231106",29.1
"UTEP","wins","Offensive_3PAr","Univ. of Science and A 20231109",34.3
"UTEP","wins","Offensive_3PAr","UC Santa Barbara 20231113",15.9
"UTEP","wins","Offensive_3PAr","Austin Peay 20231117",38.3
"UTEP","wins","Offensive_3PAr","California 20231120",32.1
"UTEP","wins","Offensive_3PAr","Western New Mexico 20231204",40.8
"UTEP","losses","Offensive_3PAr","Bradley 20231122",29.8
"UTEP","losses","Offensive_3PAr","Loyola Marymount 20231125",32.1
"UTEP","losses","Offensive_3PAr","Texas A&M-CC 20231129",36.5
"UTEP","recency5","Offensive_3Ppct","California 20231120",29.4
"UTEP","recency5","Offensive_3Ppct","Bradley 20231122",23.5
"UTEP","recency5","Offensive_3Ppct","Loyola Marymount 20231125",11.8
"UTEP","recency5","Offensive_3Ppct","Texas A&M-CC 20231129",15.8
"UTEP","recency5","Offensive_3Ppct","Western New Mexico 20231204",34.5
"UTEP","recency10","Offensive_3Ppct","McMurry 20231106",39.1
"UTEP","recency10","Offensive_3Ppct","Univ. of Science and A 20231109",41.7
"UTEP","recency10","Offensive_3Ppct","UC Santa Barbara 20231113",30
"UTEP","recency10","Offensive_3Ppct","Austin Peay 20231117",27.8
"UTEP","recency10","Offensive_3Ppct","California 20231120",29.4
"UTEP","recency10","Offensive_3Ppct","Bradley 20231122",23.5
"UTEP","recency10","Offensive_3Ppct","Loyola Marymount 20231125",11.8
"UTEP","recency10","Offensive_3Ppct","Texas A&M-CC 20231129",15.8
"UTEP","recency10","Offensive_3Ppct","Western New Mexico 20231204",34.5
"UTEP","home","Offensive_3Ppct","McMurry 20231106",39.1
"UTEP","home","Offensive_3Ppct","Univ. of Science and A 20231109",41.7
"UTEP","home","Offensive_3Ppct","UC Santa Barbara 20231113",30
"UTEP","home","Offensive_3Ppct","Austin Peay 20231117",27.8
"UTEP","home","Offensive_3Ppct","Texas A&M-CC 20231129",15.8
"UTEP","home","Offensive_3Ppct","Western New Mexico 20231204",34.5
"UTEP","away","Offensive_3Ppct","California 20231120",29.4
"UTEP","away","Offensive_3Ppct","Bradley 20231122",23.5
"UTEP","away","Offensive_3Ppct","Loyola Marymount 20231125",11.8
"UTEP","net100","Offensive_3Ppct","Bradley 20231122",23.5
"UTEP","wins","Offensive_3Ppct","McMurry 20231106",39.1
"UTEP","wins","Offensive_3Ppct","Univ. of Science and A 20231109",41.7
"UTEP","wins","Offensive_3Ppct","UC Santa Barbara 20231113",30
"UTEP","wins","Offensive_3Ppct","Austin Peay 20231117",27.8
