"school","logo","type","color","alt_color","wordmark","g","w","l","w_l_percent","srs","sos","offense_mp","offense_fg","offense_fga","offense_fg_percent","offense_x3p","offense_x3pa","offense_x3p_percent","offense_ft","offense_fta","offense_ft_percent","offense_orb","offense_trb","offense_ast","offense_stl","offense_blk","offense_tov","offense_pf","defense_mp","defense_fg","defense_fga","defense_fg_percent","defense_x3p","defense_x3pa","defense_x3p_percent","defense_ft","defense_fta","defense_ft_percent","defense_orb","defense_trb","defense_ast","defense_stl","defense_blk","defense_tov","defense_pf","offense_pace","offense_o_rtg","offense_f_tr","offense_x3p_ar","offense_ts_percent","offense_trb_percent","offense_ast_percent","offense_stl_percent","offense_blk_percent","offense_e_fg_percent","offense_tov_percent","offense_orb_percent","offense_ft_fga","defense_pace","defense_o_rtg","defense_f_tr","defense_x3p_ar","defense_ts_percent","defense_trb_percent","defense_ast_percent","defense_stl_percent","defense_blk_percent","defense_e_fg_percent","defense_tov_percent","defense_orb_percent","defense_ft_fga","offense_x2p_percent","offense_drb_percent"
"Missouri","http://a.espncdn.com/i/teamlogos/ncaa/500/142.png","P5","#000000","#000000","https://raw.githubusercontent.com/sportsdataverse/cfbplotR/main/data-raw/wordmarks/missouri_tigers_logo_wordmark_2018_sportslogosnet-1762.png",9,7,2,0.778,5.26,-2.96,360,240,528,0.455,87,248,0.351,112,145,0.772,82,307,131,84,60,102,157,360,209,516,0.405,60,198,0.303,127,174,0.73,107,333,106,57,25,128,151,68.7,109.9,0.275,0.47,0.569,48,54.6,13.6,18.9,0.537,14.6,26.6,0.212,68.7,97.9,0.337,0.384,0.505,52,50.7,9.2,8.9,0.463,17.6,32.2,0.246,0.546428571428571,67.8
"North Texas","http://a.espncdn.com/i/teamlogos/ncaa/500/249.png","G5","#00853D","#000000","https://raw.githubusercontent.com/sportsdataverse/cfbplotR/main/data-raw/wordmarks/north_texas_mean_green_logo_wordmark_20051155.png",8,5,3,0.625,7.32,-1.82,325,192,434,0.442,66,176,0.375,109,140,0.779,91,283,88,60,18,99,131,325,163,412,0.396,44,143,0.308,96,137,0.701,76,238,72,53,21,113,128,62.9,109.4,0.323,0.406,0.558,54.3,45.8,11.7,6.7,0.518,16.5,36,0.251,62.9,91.2,0.333,0.347,0.488,45.7,44.2,10.4,8.1,0.449,19.2,28.4,0.233,0.488372093023256,71.6
"Northwestern","http://a.espncdn.com/i/teamlogos/ncaa/500/77.png","P5","#372286","#d6cac1","https://raw.githubusercontent.com/sportsdataverse/cfbplotR/main/data-raw/wordmarks/6442_northwestern_wildcats-wordmark-1981.png",7,6,1,0.857,12.47,5.61,285,188,408,0.461,49,142,0.345,91,123,0.74,64,211,109,62,25,56,126,285,160,360,0.444,55,150,0.367,93,131,0.71,72,238,96,25,30,108,123,64.3,112.7,0.301,0.348,0.553,47,58,13.5,11.9,0.521,10.7,27.8,0.223,64.3,102.2,0.364,0.417,0.554,53,60,5.5,11.3,0.521,20.4,32.9,0.258,0.522556390977444,67.1
"Ole Miss","http://a.espncdn.com/i/teamlogos/ncaa/500/145.png","P5","#001148","#00205b","https://raw.githubusercontent.com/sportsdataverse/cfbplotR/main/data-raw/wordmarks/mississippi_rebels_logo_wordmark_20206855.png",8,8,0,1,4.22,-3.03,320,211,473,0.446,55,152,0.362,113,153,0.739,84,294,130,66,54,83,109,320,198,498,0.398,52,187,0.278,84,114,0.737,105,299,103,54,20,99,137,68.2,108.3,0.323,0.321,0.541,49.6,61.6,12.1,17.4,0.504,13.2,30.2,0.239,68.2,97.6,0.229,0.376,0.482,50.4,52,9.9,6.2,0.45,15.2,33.3,0.169,0.485981308411215,66.7
"Rutgers","http://a.espncdn.com/i/teamlogos/ncaa/500/164.png","P5","#d21034","#ffffff","https://raw.githubusercontent.com/sportsdataverse/cfbplotR/main/data-raw/wordmarks/rutgers_scarlet_knights_logo_wordmark_2016_sportslogosnet-2651.png",8,5,3,0.625,9.03,2.4,320,185,458,0.404,48,157,0.306,120,184,0.652,94,294,97,64,46,91,132,320,172,461,0.373,57,180,0.317,84,126,0.667,107,323,76,51,27,131,155,68,98.9,0.402,0.343,0.493,47.6,52.4,11.8,16.4,0.456,14.3,30.3,0.262,68,89.2,0.273,0.39,0.466,52.4,44.2,9.4,9,0.435,20.1,34.9,0.182,0.45514950166113,65.1
"South Carolina","http://a.espncdn.com/i/teamlogos/ncaa/500/2579.png","P5","#670010","#000000","https://raw.githubusercontent.com/sportsdataverse/cfbplotR/main/data-raw/wordmarks/south_carolina_gamecocks_logo_alternate_2008_sportslogosnet-4735.png",8,7,1,0.875,13.27,3.02,320,210,459,0.458,76,194,0.392,108,154,0.701,80,282,119,45,26,80,137,320,182,445,0.409,49,144,0.34,109,152,0.717,72,263,91,42,30,90,142,66.7,113.1,0.336,0.423,0.568,51.7,56.7,8.4,8.6,0.54,13.1,29.5,0.235,66.7,97.8,0.342,0.324,0.505,48.3,50,7.9,11.3,0.464,14.8,26.3,0.245,0.505660377358491,73.7
"Tennessee","http://a.espncdn.com/i/teamlogos/ncaa/500/2633.png","P5","#EE9627","#ffffff","https://raw.githubusercontent.com/sportsdataverse/cfbplotR/main/data-raw/wordmarks/tennessee_volunteers_logo_wordmark_20052034.png",8,5,3,0.625,21.51,10.76,320,216,494,0.437,68,205,0.332,121,159,0.761,80,302,123,60,39,81,151,320,181,456,0.397,55,173,0.318,118,186,0.634,76,278,95,42,20,108,134,71.7,108.4,0.322,0.415,0.545,52.1,56.9,10.5,13.8,0.506,12.5,28.4,0.245,71.7,93.4,0.408,0.379,0.491,47.9,52.5,7.3,6.9,0.457,16.6,25.5,0.259,0.512110726643599,74.5
"Texas A&M","http://a.espncdn.com/i/teamlogos/ncaa/500/245.png","P5","#5C0025","#ffffff","https://raw.githubusercontent.com/sportsdataverse/cfbplotR/main/data-raw/wordmarks/2346_texas_a&m_aggies-wordmark-2001.png",9,7,2,0.778,19.08,9.97,360,250,573,0.436,62,207,0.3,129,178,0.725,159,376,113,61,27,84,140,360,211,498,0.424,77,222,0.347,110,154,0.714,84,272,117,46,44,100,165,65,118.1,0.311,0.361,0.525,58,45.2,10.4,9.8,0.49,11.3,45.8,0.225,65,104.1,0.309,0.446,0.533,42,55.5,7.9,12,0.501,14.9,27.9,0.221,0.513661202185792,72.1
"Tulane","http://a.espncdn.com/i/teamlogos/ncaa/500/2655.png","G5","#005837","#3baf29","https://raw.githubusercontent.com/sportsdataverse/cfbplotR/main/data-raw/wordmarks/6263_tulane_green_wave-wordmark-2014.png",7,6,1,0.857,9.31,-3.69,280,204,384,0.531,40,129,0.31,171,220,0.777,37,219,89,74,25,81,114,280,191,450,0.424,59,190,0.311,87,121,0.719,90,255,90,47,13,117,161,76.2,116.1,0.573,0.336,0.634,46.2,43.6,13.9,9.6,0.583,14.2,18.3,0.445,76.2,99.1,0.269,0.422,0.52,53.8,47.1,8.8,5.1,0.49,18.7,33.1,0.193,0.643137254901961,66.9
"Vanderbilt","http://a.espncdn.com/i/teamlogos/ncaa/500/238.png","P5","#000000","#231f20","https://raw.githubusercontent.com/sportsdataverse/cfbplotR/main/data-raw/wordmarks/vanderbilt_commodores_logo_wordmark_2012_sportslogosnet-9359.png",9,4,5,0.444,-4.23,-1.56,360,207,508,0.407,71,233,0.305,145,204,0.711,102,331,98,53,18,104,130,360,238,527,0.452,73,185,0.395,105,138,0.761,77,310,114,52,24,96,178,67.7,103.4,0.402,0.459,0.521,51.6,47.3,8.7,5.3,0.477,14.7,30.4,0.285,67.7,107.4,0.262,0.351,0.552,48.4,47.9,8.5,8.7,0.521,13.9,25.2,0.199,0.494545454545455,74.8
"Washington State","http://a.espncdn.com/i/teamlogos/ncaa/500/265.png","P5","#94022a","#6a747c","https://raw.githubusercontent.com/sportsdataverse/cfbplotR/main/data-raw/wordmarks/1054_washington_state_cougars-wordmark-2011.png",8,7,1,0.875,17.37,-1.26,320,242,483,0.501,53,159,0.333,104,158,0.658,95,323,109,52,53,79,153,320,162,448,0.362,44,166,0.265,124,162,0.765,77,250,71,40,17,97,147,67.9,117.8,0.327,0.329,0.574,56.4,45,9.6,18.8,0.556,12.4,35.4,0.215,67.9,90.4,0.362,0.371,0.469,43.6,43.8,7.4,5.2,0.411,15.6,25.2,0.277,0.583333333333333,74.8
"Bethune-Cookman","http://a.espncdn.com/i/teamlogos/ncaa/500/2065.png","FCS","#7b1831","#e9aa12",NA,8,4,4,0.5,-15.46,-7.62,320,225,520,0.433,54,186,0.29,125,174,0.718,106,299,103,117,23,115,174,320,180,427,0.422,60,167,0.359,148,204,0.725,80,288,95,64,15,173,149,76.8,102.4,0.335,0.358,0.522,50.9,45.8,19.1,8.8,0.485,16,33.8,0.24,76.8,92.5,0.478,0.391,0.542,49.1,52.8,10.4,4.5,0.492,24.8,29.3,0.347,0.511976047904192,70.7
"Murray State","http://a.espncdn.com/i/teamlogos/ncaa/500/93.png","FCS","#002148","#000e00","https://raw.githubusercontent.com/sportsdataverse/cfbplotR/main/data-raw/wordmarks/murray_state_racers_logo_wordmark_20149491.png",7,3,4,0.429,-1.58,-0.24,285,193,418,0.462,51,153,0.333,102,148,0.689,74,256,93,35,20,69,109,285,198,427,0.464,49,143,0.343,69,95,0.726,62,237,84,36,24,75,125,68,111.4,0.354,0.366,0.552,51.9,48.2,7.2,7,0.523,12.4,29.7,0.244,68,106.2,0.222,0.335,0.544,48.1,42.4,7.4,9.1,0.521,13.7,25.4,0.162,0.535849056603774,74.6
"Nicholls","http://a.espncdn.com/i/teamlogos/ncaa/500/2447.png","FCS","#C41230","#f0f0f0","https://raw.githubusercontent.com/sportsdataverse/cfbplotR/main/data-raw/wordmarks/2212_nicholls_state_colonels-wordmark-2009.png",9,3,6,0.333,-4.23,6.02,375,224,543,0.413,83,234,0.355,128,173,0.74,87,319,91,71,41,112,164,375,248,576,0.431,75,233,0.322,140,195,0.718,122,379,127,68,37,105,129,69.4,101.2,0.319,0.431,0.527,45.7,40.6,10.9,12,0.489,15.2,25.3,0.236,69.4,109.2,0.339,0.405,0.532,54.3,51.2,10.4,12,0.496,13.6,34.5,0.243,0.456310679611651,65.5
"North Alabama","http://a.espncdn.com/i/teamlogos/ncaa/500/2453.png","FCS","#000000","#ffffff","https://raw.githubusercontent.com/sportsdataverse/cfbplotR/main/data-raw/wordmarks/north_alabama_lions_logo_wordmark_2018_sportslogosnet-8285.png",9,5,4,0.556,-5.21,-3.06,375,248,550,0.451,78,203,0.384,152,198,0.768,90,335,122,66,30,119,183,375,225,536,0.42,57,179,0.318,157,224,0.701,96,335,116,62,23,132,173,72.1,107.4,0.36,0.369,0.564,50,49.2,9.8,8.4,0.522,15.6,27.4,0.276,72.1,98.2,0.418,0.334,0.517,50,51.6,9.2,6.6,0.473,17,28.2,0.293,0.489913544668588,71.8
"Southern","http://a.espncdn.com/i/teamlogos/ncaa/500/2582.png","FCS","#004B97","#ffc82d","https://raw.githubusercontent.com/sportsdataverse/cfbplotR/main/data-raw/wordmarks/southern_jaguars_logo_wordmark_20143856.png",8,2,6,0.25,-7.21,10.42,325,203,480,0.423,56,180,0.311,72,118,0.61,69,233,94,77,17,120,162,325,239,467,0.512,61,186,0.328,136,193,0.705,95,329,144,57,33,128,114,72.5,90.7,0.246,0.375,0.498,41.5,46.3,13.1,6,0.481,18.3,22.8,0.15,72.5,114.6,0.413,0.398,0.604,58.5,60.3,9.7,11,0.577,18.6,36.7,0.291,0.49,63.3
"UT Martin","http://a.espncdn.com/i/teamlogos/ncaa/500/2630.png","FCS","#FF6700","#102a5c","https://raw.githubusercontent.com/sportsdataverse/cfbplotR/main/data-raw/wordmarks/tennessee-martin_skyhawks_logo_wordmark_2007_sportslogosnet-6564.png",9,5,4,0.556,-6.31,-1.16,370,276,615,0.449,88,239,0.368,120,161,0.745,96,395,130,65,21,123,130,370,277,655,0.423,86,264,0.326,110,150,0.733,101,361,137,78,36,96,147,77.8,105.6,0.262,0.389,0.55,52.2,47.1,9,5.4,0.52,15.1,27,0.195,77.8,104.2,0.229,0.403,0.516,47.8,49.5,10.8,9.6,0.489,11.7,25.3,0.168,0.5,74.7
