"player","class","pos","team","x3_p_s","slasher","ball_dominant","playmaker","perim_defender","oreb","dreb","Dim.1","Dim.2","Dim.3","Dim.4"
"Chris Paul","NBA","G","PHO",0.206896551724138,0.789272030651341,0.64367816091954,1,0.954022988505747,0.0804597701149425,0.766283524904215,2.03143233725872,-0.753329229250113,1.92424574407493,0.729599929428989
"Reggie Bullock","NBA","G-F","DALNYK",0.934865900383142,0.0306513409961686,0.0459770114942529,0.172413793103448,0.597701149425287,0.114942528735632,0.632183908045977,-2.53069893801464,1.4118873831405,0.631427321386836,0.551783046837775
"James Harden","NBA","G","BRKHOUPHI",0.42911877394636,0.904214559386973,0.911877394636015,0.996168582375479,0.781609195402299,0.509578544061303,0.977011494252874,2.48189950380049,-0.694941657260836,0.782004527858292,1.77233327320388
"Tyler Herro","NBA","G","MIA",0.593869731800766,0.509578544061303,0.900383141762452,0.540229885057471,0.272030651340996,0.153256704980843,0.9272030651341,-0.0625829357533382,-1.30622270544601,-0.393669154461986,1.9283524840215
"Jordan Clarkson","NBA","G","UTA",0.693486590038314,0.363984674329502,0.942528735632184,0.340996168582375,0.168582375478927,0.766283524904215,0.383141762452107,-0.67176668782869,-0.784243065124086,-1.35299259956503,0.556217832872068
"Ja Morant","NBA","G","MEM",0.0996168582375479,0.977011494252874,0.977011494252874,0.931034482758621,0.494252873563218,0.766283524904215,0.747126436781609,2.97688239171576,-1.17349664558833,-0.357499122946187,0.6415807392129
"Marcus Smart","NBA","G","BOS",0.513409961685824,0.467432950191571,0.46360153256705,0.862068965517241,0.938697318007663,0.509578544061303,0.187739463601533,0.499386319338833,0.176402838217216,1.88072122865547,-0.601945879155625
"Isaac Okoro","NBA","G-F","CLE",0.187739463601533,0.766283524904215,0.0957854406130268,0.283524904214559,0.743295019157088,0.789272030651341,0.0651340996168582,0.769969888204835,1.15331509091076,-0.214870774632995,-2.45172511892746
"Dennis Schröder","NBA","G","BOSHOULAL",0.164750957854406,0.873563218390805,0.670498084291188,0.777777777777778,0.559386973180077,0.153256704980843,0.206896551724138,1.18603574609462,-1.73981756665944,0.848840553800831,-1.00558596498107
"Jordan Poole","NBA","G","GSW",0.651340996168582,0.528735632183908,0.919540229885057,0.563218390804598,0.203065134099617,0.153256704980843,0.168582375478927,-0.872702962564768,-2.23696578935112,0.0321105297165608,0.00665276882248333
"Desmond Bane","NBA","G","MEM",0.777777777777778,0.421455938697318,0.735632183908046,0.421455938697318,0.655172413793103,0.42911877394636,0.766283524904215,-0.274366119791585,0.130685239623337,0.080170996766961,1.52674187637228
"Tyrese Maxey","NBA","G","PHI",0.390804597701149,0.743295019157088,0.724137931034483,0.574712643678161,0.272030651340996,0.0613026819923372,0.168582375478927,-0.114256977551597,-2.13021102388699,0.152373771834716,-0.750793169236475
"Josh Hart","NBA","G","NOPNYKPOR",0.203065134099617,0.804597701149425,0.199233716475096,0.609195402298851,0.812260536398467,0.9272030651341,0.996168582375479,2.3493541766564,1.89160100686441,-0.21984425708016,0.262378036272377
"Mike Conley","NBA","G","MINUTA",0.773946360153257,0.432950191570881,0.597701149425287,0.900383141762452,0.877394636015326,0.452107279693487,0.111111111111111,-0.124560597853322,-0.301882039930567,2.05478674000999,-0.219409873417236
"Derrick White","NBA","G","BOSSAS",0.490421455938697,0.555555555555556,0.574712643678161,0.71264367816092,0.804597701149425,0.360153256704981,0.383141762452107,0.481229862013002,-0.249787961534382,1.21974440253159,-0.0539926674383511
"D'Angelo Russell","NBA","G","LALMIN",0.71264367816092,0.482758620689655,0.865900383141762,0.873563218390805,0.260536398467433,0.114942528735632,0.168582375478927,-0.722906365363293,-2.3205257599619,0.979322007010043,0.167442139265893
"Damian Lillard","NBA","G","POR",0.739463601532567,0.697318007662835,0.977011494252874,0.881226053639847,0.103448275862069,0.210727969348659,0.609195402298851,0.0658367269597939,-2.36506540656591,0.096515776428177,1.3311691631284
"Coby White","NBA","G","CHI",0.758620689655172,0.275862068965517,0.628352490421456,0.597701149425287,0.272030651340996,0.0613026819923372,0.659003831417625,-1.25378055300653,-0.976872340026612,0.420526567634367,1.21847596830106
"Shai Gilgeous-Alexander","NBA","G","OKC",0.0766283524904215,0.992337164750958,0.969348659003831,0.781609195402299,0.881226053639847,0.386973180076628,0.697318007662835,2.78973413036953,-1.1206149699053,0.56085175460247,0.576390985225039
"Reggie Jackson","NBA","G","DENLAC",0.563218390804598,0.425287356321839,0.793103448275862,0.666666666666667,0.264367816091954,0.268199233716475,0.283524904214559,-0.559833143764579,-1.60926461604952,0.248414000998706,0.0976927740678352
"Bruce Brown","NBA","G-F","BRKDEN",0.111111111111111,0.869731800766284,0.32183908045977,0.440613026819923,0.865900383141762,0.946360153256705,0.842911877394636,2.44760142451341,1.66619775160801,-0.577701272220577,-0.169903230695887
