"player","class","pos","team","x3_p_s","slasher","ball_dominant","playmaker","perim_defender","rim_protector","oreb","dreb","Dim.1","Dim.2","Dim.3","Dim.4"
"Mikal Bridges","NBA","F-G","BRKPHO",0.545454545454545,0.517045454545455,0.573863636363636,0.636363636363636,0.767045454545455,0.664772727272727,0.1875,0.0681818181818182,-0.352513613625191,1.23679285961275,0.736289553616977,-0.998861267462764
"Jayson Tatum","NBA","F","BOS",0.647727272727273,0.625,0.988636363636364,0.852272727272727,0.676136363636364,0.596590909090909,0.176136363636364,0.880681818181818,0.563710664780957,0.341201227094083,2.60675145575311,0.873290127226524
"Harrison Barnes","NBA","F","SAC",0.522727272727273,0.829545454545455,0.573863636363636,0.551136363636364,0.0397727272727273,0.0113636363636364,0.267045454545455,0.392045454545455,-1.19299681950882,-1.62327868633435,0.680443013949848,-1.19282495632863
"Pascal Siakam","NBA","F","TOR",0.198863636363636,0.880681818181818,0.948863636363636,0.926136363636364,0.636363636363636,0.551136363636364,0.579545454545455,0.784090909090909,1.96272769677756,-0.700527970471462,1.99015706503911,-0.25341986654125
"Royce O'Neale","NBA","F","BRKUTA",0.943181818181818,0.0568181818181818,0.0397727272727273,0.892045454545455,0.829545454545455,0.721590909090909,0.232954545454545,0.460227272727273,-0.685042776712106,3.24528619056886,-0.118749600251739,0.291557556129715
"Tobias Harris","NBA","F","PHI",0.386363636363636,0.585227272727273,0.846590909090909,0.840909090909091,0.505681818181818,0.488636363636364,0.255681818181818,0.6875,0.416756732967531,-0.122052525036033,1.94156021320057,-0.0766753045982364
"Saddiq Bey","NBA","F","ATLDET",0.823863636363636,0.295454545454545,0.801136363636364,0.494318181818182,0.153409090909091,0.0340909090909091,0.346590909090909,0.403409090909091,-2.24725743252979,-0.882743091432474,0.830840483244929,0.269597087273939
"Jaylen Brown","NBA","F-G","BOS",0.579545454545455,0.556818181818182,0.971590909090909,0.642045454545455,0.488636363636364,0.346590909090909,0.255681818181818,0.579545454545455,-0.443025053191033,-0.49033357329016,1.86745712975618,0.236438570457202
"Dorian Finney-Smith","NBA","F","BRKDAL",0.880681818181818,0.107954545454545,0.176136363636364,0.5625,0.636363636363636,0.511363636363636,0.676136363636364,0.130681818181818,-1.1563471882822,1.65574217234043,-1.26009453814561,-0.0414842488464354
"Kyle Kuzma","NBA","F","LALWAS",0.625,0.414772727272727,0.909090909090909,0.698863636363636,0.210227272727273,0.318181818181818,0.392045454545455,0.863636363636364,-0.506519408743273,-0.87864385253431,1.62077978444548,0.975412557412641
"Giannis Antetokounmpo","NBA","F-G","MIL",0.119318181818182,0.971590909090909,1,0.977272727272727,0.903409090909091,0.948863636363636,0.744318181818182,0.994318181818182,3.61947658016548,-0.139204548128703,2.0878414258555,0.42757790296064
"P.J. Washington","NBA","F","CHO",0.698863636363636,0.352272727272727,0.670454545454545,0.681818181818182,0.579545454545455,0.772727272727273,0.426136363636364,0.460227272727273,-0.0761578100870931,0.959803819969471,0.746155696069484,0.498977031914453
"Andrew Wiggins","NBA","F-G","GSW",0.630681818181818,0.488636363636364,0.886363636363636,0.386363636363636,0.465909090909091,0.522727272727273,0.426136363636364,0.119318181818182,-0.934417695781094,-0.336965507497822,0.635347655183372,-0.18609102498854
"Aaron Gordon","NBA","F","DENORL",0.25,0.823863636363636,0.818181818181818,0.8125,0.272727272727273,0.380681818181818,0.801136363636364,0.448863636363636,0.909631915244286,-1.45744943107047,0.842136788079564,-0.938642269629046
"Jimmy Butler","NBA","F-G","MIA",0.0852272727272727,0.994318181818182,0.943181818181818,0.988636363636364,0.994318181818182,0.761363636363636,0.755681818181818,0.392045454545455,2.78662706923875,0.0657423212529099,1.67725312839849,-1.1887918675896
"Jaden McDaniels","NBA","F","MIN",0.568181818181818,0.357954545454545,0.272727272727273,0.454545454545455,0.5625,0.710227272727273,0.403409090909091,0.136363636363636,-0.5131668742983,1.10386117682393,-0.734755797687388,-0.561775248758002
"John Collins","NBA","F","ATL",0.272727272727273,0.715909090909091,0.755681818181818,0.0795454545454545,0.431818181818182,0.698863636363636,0.653409090909091,0.852272727272727,1.23412192538557,-1.55925539207617,-0.124490202704285,1.19193078843801
"Draymond Green","NBA","F","GSW",0.159090909090909,0.755681818181818,0.193181818181818,1,0.960227272727273,0.920454545454545,0.232954545454545,0.903409090909091,2.64253307140539,1.81848963836791,0.91486902475992,-0.487987605296913
"Jerami Grant","NBA","F","DETPOR",0.539772727272727,0.778409090909091,0.931818181818182,0.403409090909091,0.193181818181818,0.375,0.0852272727272727,0.198863636363636,-1.21516121542587,-1.24941229330758,1.43857456076876,-0.819485484981988
"OG Anunoby","NBA","F","TOR",0.710227272727273,0.380681818181818,0.755681818181818,0.403409090909091,0.852272727272727,0.670454545454545,0.403409090909091,0.221590909090909,-0.414620624489511,0.926880744497182,0.490598253133165,0.336187735009541
