"school","logo","type","color","alt_color","wordmark","g","w","l","w_l_percent","srs","sos","offense_mp","offense_fg","offense_fga","offense_fg_percent","offense_x3p","offense_x3pa","offense_x3p_percent","offense_ft","offense_fta","offense_ft_percent","offense_orb","offense_trb","offense_ast","offense_stl","offense_blk","offense_tov","offense_pf","defense_mp","defense_fg","defense_fga","defense_fg_percent","defense_x3p","defense_x3pa","defense_x3p_percent","defense_ft","defense_fta","defense_ft_percent","defense_orb","defense_trb","defense_ast","defense_stl","defense_blk","defense_tov","defense_pf","offense_pace","offense_o_rtg","offense_f_tr","offense_x3p_ar","offense_ts_percent","offense_trb_percent","offense_ast_percent","offense_stl_percent","offense_blk_percent","offense_e_fg_percent","offense_tov_percent","offense_orb_percent","offense_ft_fga","defense_pace","defense_o_rtg","defense_f_tr","defense_x3p_ar","defense_ts_percent","defense_trb_percent","defense_ast_percent","defense_stl_percent","defense_blk_percent","defense_e_fg_percent","defense_tov_percent","defense_orb_percent","defense_ft_fga","offense_x2p_percent","offense_drb_percent"
"NC State","http://a.espncdn.com/i/teamlogos/ncaa/500/152.png","P5","#EF1216","#231f20","https://raw.githubusercontent.com/sportsdataverse/cfbplotR/main/data-raw/wordmarks/north_carolina_state_wolfpack_logo_wordmark_2011_sportslogosnet-5725.png",9,7,2,0.778,9.21,-1.45,365,266,584,0.455,71,209,0.34,120,167,0.719,105,342,129,73,27,87,157,365,220,521,0.422,65,191,0.34,122,185,0.659,96,332,107,46,29,130,146,70.6,112.3,0.286,0.358,0.545,50.7,48.5,11.3,8.2,0.516,11.6,30.8,0.205,70.6,97.4,0.355,0.367,0.515,49.3,48.6,7.1,7.7,0.485,17.6,28.8,0.234,0.52,71.2
"North Carolina","http://a.espncdn.com/i/teamlogos/ncaa/500/153.png","P5","#99bfe5","#13294b","https://raw.githubusercontent.com/sportsdataverse/cfbplotR/main/data-raw/wordmarks/north_carolina_tar_heels_logo_wordmark_19965588.png",9,7,2,0.778,17.75,6.31,365,253,553,0.458,69,192,0.359,191,252,0.758,108,349,131,48,39,91,148,365,242,563,0.43,74,227,0.326,105,141,0.745,84,305,108,52,29,110,195,71.9,116.8,0.456,0.347,0.569,53.4,51.8,7.3,11.6,0.52,11.9,32.8,0.345,71.9,101.1,0.25,0.403,0.526,46.6,44.6,7.9,8,0.496,14.9,25.8,0.187,0.509695290858726,74.2
"Notre Dame","http://a.espncdn.com/i/teamlogos/ncaa/500/87.png","P5","#00122b","#ae9142","https://raw.githubusercontent.com/sportsdataverse/cfbplotR/main/data-raw/wordmarks/notre_dame_fighting_irish_logo_wordmark_2015_sportslogosnet-5359.png",9,4,5,0.444,0.82,3.93,365,205,501,0.409,64,231,0.277,104,141,0.738,88,321,99,53,23,122,134,365,222,523,0.424,61,188,0.324,101,133,0.759,83,307,112,61,26,99,138,66,96,0.281,0.461,0.509,51.1,48.3,8.8,6.9,0.473,17.7,28.2,0.208,66,100.7,0.254,0.359,0.517,48.9,50.5,10.1,9.6,0.483,14.4,26.3,0.193,0.522222222222222,73.7
"Pittsburgh","http://a.espncdn.com/i/teamlogos/ncaa/500/221.png","P5","#003263","#231f20","https://raw.githubusercontent.com/sportsdataverse/cfbplotR/main/data-raw/wordmarks/9267_pittsburgh_panthers-wordmark-1997.png",10,7,3,0.7,15.9,-0.3,400,282,622,0.453,106,294,0.361,155,228,0.68,128,415,154,62,49,92,155,400,236,581,0.406,65,239,0.272,126,171,0.737,73,319,125,51,31,112,186,69.8,118.2,0.367,0.473,0.565,56.5,54.6,8.9,14.3,0.539,11.2,34.2,0.249,69.8,95,0.294,0.411,0.501,43.5,53,7.3,9.5,0.462,14.5,20.3,0.217,0.536585365853659,79.7
"South Carolina","http://a.espncdn.com/i/teamlogos/ncaa/500/2579.png","P5","#670010","#000000","https://raw.githubusercontent.com/sportsdataverse/cfbplotR/main/data-raw/wordmarks/south_carolina_gamecocks_logo_alternate_2008_sportslogosnet-4735.png",9,8,1,0.889,11.93,2.15,360,231,507,0.456,85,220,0.386,125,178,0.702,87,317,132,47,30,89,154,360,203,498,0.408,54,161,0.335,124,175,0.709,79,295,99,48,32,98,160,66.3,112.6,0.351,0.434,0.568,51.8,57.1,7.9,8.9,0.539,13.1,28.7,0.247,66.3,97.8,0.351,0.323,0.502,48.2,48.8,8,11.1,0.462,14.4,25.6,0.249,0.508710801393728,74.4
"Syracuse","http://a.espncdn.com/i/teamlogos/ncaa/500/183.png","P5","#F37321","#0d1d37","https://raw.githubusercontent.com/sportsdataverse/cfbplotR/main/data-raw/wordmarks/syracuse_orange_logo_wordmark_2015_sportslogosnet-2819.png",10,7,3,0.7,8.28,6.61,400,283,640,0.442,76,230,0.33,130,179,0.726,117,382,129,91,53,121,149,400,265,626,0.423,74,244,0.303,104,158,0.658,128,392,143,68,26,152,157,72.7,106.2,0.28,0.359,0.532,49.4,45.6,12.5,13.9,0.502,14.3,30.7,0.203,72.7,97.4,0.252,0.39,0.505,50.6,54,9.4,6.3,0.482,17.8,32.6,0.166,0.504878048780488,67.4
"TCU","http://a.espncdn.com/i/teamlogos/ncaa/500/2628.png","P5","#3C377D","#f1f2f3","https://raw.githubusercontent.com/sportsdataverse/cfbplotR/main/data-raw/wordmarks/tcu_horned_frogs_logo_wordmark_2013_sportslogosnet-8595.png",8,7,1,0.875,12.53,-8.84,320,262,513,0.511,49,152,0.322,135,179,0.754,96,313,165,93,45,99,139,320,196,467,0.42,50,149,0.336,95,149,0.638,83,255,110,52,25,142,137,74.9,118.2,0.349,0.296,0.592,55.1,63,15.5,14.2,0.558,14.2,35.8,0.263,74.9,89.6,0.319,0.319,0.499,44.9,56.1,8.7,6.9,0.473,20.9,27.7,0.203,0.590027700831025,72.3
"UAB","http://a.espncdn.com/i/teamlogos/ncaa/500/5.png","G5","#003b28","#ffc845","https://raw.githubusercontent.com/sportsdataverse/cfbplotR/main/data-raw/wordmarks/uab_blazers_logo_wordmark_2015_sportslogosnet-3373.png",9,4,5,0.444,-2.96,0.71,365,228,533,0.428,44,164,0.268,153,213,0.718,117,342,99,61,44,108,146,365,248,540,0.459,72,207,0.348,118,173,0.682,94,314,129,72,42,99,171,68.6,104.3,0.4,0.308,0.515,52.1,43.4,9.7,13.2,0.469,14.6,34.7,0.287,68.6,109.6,0.32,0.383,0.551,47.9,52,11.5,11.4,0.526,13.7,29.5,0.219,0.498644986449864,70.5
"Virginia","http://a.espncdn.com/i/teamlogos/ncaa/500/258.png","P5","#00204e","#002d62","https://raw.githubusercontent.com/sportsdataverse/cfbplotR/main/data-raw/wordmarks/8905_virginia_cavaliers-wordmark-2020.png",9,8,1,0.889,18.03,3.26,360,221,475,0.465,66,168,0.393,104,152,0.684,70,298,144,80,56,75,125,360,169,486,0.348,48,184,0.261,93,132,0.705,114,320,92,47,21,127,134,61.9,109.9,0.32,0.354,0.559,48.2,65.2,14.4,18.5,0.535,12.1,25.4,0.219,61.9,86,0.272,0.379,0.436,51.8,54.4,8.4,6.8,0.397,18.8,33.3,0.191,0.504885993485342,66.7
"Virginia Tech","http://a.espncdn.com/i/teamlogos/ncaa/500/259.png","P5","#74232D","#c2c1ba","https://raw.githubusercontent.com/sportsdataverse/cfbplotR/main/data-raw/wordmarks/virginia_tech_hokies_logo_wordmark_2016_sportslogosnet-6021.png",10,7,3,0.7,11.79,4.39,400,240,553,0.434,75,222,0.338,186,231,0.805,97,345,155,64,22,118,158,400,239,554,0.431,66,211,0.313,123,173,0.711,90,318,115,63,35,140,182,68.5,108.2,0.418,0.401,0.559,52,64.6,9.3,6.4,0.502,15.1,29.8,0.336,68.5,97.4,0.312,0.381,0.524,48,48.1,9.2,10.6,0.491,18,26.6,0.222,0.498489425981873,73.4
"Wake Forest","http://a.espncdn.com/i/teamlogos/ncaa/500/154.png","P5","#9E7E38","#000000","https://raw.githubusercontent.com/sportsdataverse/cfbplotR/main/data-raw/wordmarks/2196_wake_forest_demon_deacons-wordmark-2007.png",9,6,3,0.667,10.01,0.45,365,252,527,0.478,73,202,0.361,134,173,0.775,77,311,108,55,39,98,130,365,228,545,0.418,60,189,0.317,109,149,0.732,99,309,90,57,34,107,160,68.7,113.4,0.328,0.383,0.584,50.2,42.9,8.8,11,0.547,13.9,26.8,0.254,68.7,99.7,0.273,0.347,0.507,49.8,39.5,9.1,10.5,0.473,14.8,29.7,0.2,0.550769230769231,70.3
"Alcorn State","http://a.espncdn.com/i/teamlogos/ncaa/500/2016.png","FCS","#4b0058","#46166a","https://raw.githubusercontent.com/sportsdataverse/cfbplotR/main/data-raw/wordmarks/1722_alcorn_state_braves-wordmark-2004.png",10,1,9,0.1,-15.31,7.36,400,241,594,0.406,49,150,0.327,145,220,0.659,107,329,100,75,14,118,195,400,289,591,0.489,118,300,0.393,176,248,0.71,114,384,202,69,51,116,187,71,95.2,0.37,0.253,0.484,46.1,41.5,10.6,4.8,0.447,14.5,28.4,0.244,71,122.8,0.42,0.508,0.615,53.9,69.9,9.7,11.5,0.589,14.1,33.9,0.298,0.432432432432432,66.1
"Davidson","http://a.espncdn.com/i/teamlogos/ncaa/500/2166.png","FCS","#000000","#e51837","https://raw.githubusercontent.com/sportsdataverse/cfbplotR/main/data-raw/wordmarks/8863_davidson_wildcats-wordmark-2010.png",10,7,3,0.7,4.85,1.4,400,249,556,0.448,78,241,0.324,139,188,0.739,98,349,125,69,22,103,138,400,245,572,0.428,79,242,0.326,92,130,0.708,92,325,132,54,27,109,175,65.1,109.8,0.338,0.433,0.554,51.8,50.2,10.6,6.7,0.518,13.8,29.6,0.25,65.1,101.5,0.227,0.423,0.521,48.2,53.9,8.3,8.6,0.497,14.7,26.8,0.161,0.542857142857143,73.2
"Radford","https://a.espncdn.com/i/teamlogos/ncaa/500/2515.png","hoopR","#BC1515","#c2c3c0","https://raw.githubusercontent.com/sportsdataverse/cfbplotR/main/data-raw/wordmarks/radford-wordmark.png",12,8,4,0.667,-0.96,-2.66,480,329,698,0.471,97,242,0.401,154,210,0.733,130,457,148,72,48,149,203,480,285,717,0.397,75,271,0.277,163,232,0.703,143,408,122,69,34,128,203,67.9,111.7,0.301,0.347,0.57,52.8,45,8.8,10.8,0.541,15.7,32.9,0.221,67.9,99.3,0.324,0.378,0.488,47.2,42.8,8.5,7.5,0.45,13.4,30.4,0.227,0.508771929824561,69.6
"Winthrop","https://a.espncdn.com/i/teamlogos/ncaa/500/2737.png","hoopR","#9e0b0e","#fdb41e","https://raw.githubusercontent.com/sportsdataverse/cfbplotR/main/data-raw/wordmarks/winthrop_eagles_logo_alternate_19954644.png",11,8,3,0.727,0.48,-5.3,440,293,618,0.474,85,233,0.365,218,299,0.729,128,401,124,77,27,134,175,440,256,631,0.406,84,285,0.295,146,190,0.768,122,362,136,78,46,149,238,68.8,117.4,0.484,0.377,0.585,52.6,42.3,10.2,7.8,0.543,15,34.8,0.353,68.8,98,0.301,0.452,0.514,47.4,53.1,10.3,11.9,0.472,17.1,30.9,0.231,0.54025974025974,69.1
