"player","class","pos","team","x3_p_s","slasher","ball_dominant","playmaker","perim_defender","oreb","dreb"
"Tyler Herro","NBA","G","MIA",0.593869731800766,0.509578544061303,0.900383141762452,0.540229885057471,0.272030651340996,0.153256704980843,0.9272030651341
"Jordan Clarkson","NBA","G","UTA",0.693486590038314,0.363984674329502,0.942528735632184,0.340996168582375,0.168582375478927,0.766283524904215,0.383141762452107
"Ja Morant","NBA","G","MEM",0.0996168582375479,0.977011494252874,0.977011494252874,0.931034482758621,0.494252873563218,0.766283524904215,0.747126436781609
"Marcus Smart","NBA","G","BOS",0.513409961685824,0.467432950191571,0.46360153256705,0.862068965517241,0.938697318007663,0.509578544061303,0.187739463601533
"Isaac Okoro","NBA","G-F","CLE",0.187739463601533,0.766283524904215,0.0957854406130268,0.283524904214559,0.743295019157088,0.789272030651341,0.0651340996168582
"Dennis Schröder","NBA","G","BOSHOULAL",0.164750957854406,0.873563218390805,0.670498084291188,0.777777777777778,0.559386973180077,0.153256704980843,0.206896551724138
"Jordan Poole","NBA","G","GSW",0.651340996168582,0.528735632183908,0.919540229885057,0.563218390804598,0.203065134099617,0.153256704980843,0.168582375478927
"Desmond Bane","NBA","G","MEM",0.777777777777778,0.421455938697318,0.735632183908046,0.421455938697318,0.655172413793103,0.42911877394636,0.766283524904215
"Tyrese Maxey","NBA","G","PHI",0.390804597701149,0.743295019157088,0.724137931034483,0.574712643678161,0.272030651340996,0.0613026819923372,0.168582375478927
"Josh Hart","NBA","G","NOPNYKPOR",0.203065134099617,0.804597701149425,0.199233716475096,0.609195402298851,0.812260536398467,0.9272030651341,0.996168582375479
"Mike Conley","NBA","G","MINUTA",0.773946360153257,0.432950191570881,0.597701149425287,0.900383141762452,0.877394636015326,0.452107279693487,0.111111111111111
"Derrick White","NBA","G","BOSSAS",0.490421455938697,0.555555555555556,0.574712643678161,0.71264367816092,0.804597701149425,0.360153256704981,0.383141762452107
"D'Angelo Russell","NBA","G","LALMIN",0.71264367816092,0.482758620689655,0.865900383141762,0.873563218390805,0.260536398467433,0.114942528735632,0.168582375478927
"Damian Lillard","NBA","G","POR",0.739463601532567,0.697318007662835,0.977011494252874,0.881226053639847,0.103448275862069,0.210727969348659,0.609195402298851
"Coby White","NBA","G","CHI",0.758620689655172,0.275862068965517,0.628352490421456,0.597701149425287,0.272030651340996,0.0613026819923372,0.659003831417625
"Shai Gilgeous-Alexander","NBA","G","OKC",0.0766283524904215,0.992337164750958,0.969348659003831,0.781609195402299,0.881226053639847,0.386973180076628,0.697318007662835
"Reggie Jackson","NBA","G","DENLAC",0.563218390804598,0.425287356321839,0.793103448275862,0.666666666666667,0.264367816091954,0.268199233716475,0.283524904214559
"Bruce Brown","NBA","G-F","BRKDEN",0.111111111111111,0.869731800766284,0.32183908045977,0.440613026819923,0.865900383141762,0.946360153256705,0.842911877394636
"Caris LeVert","NBA","G-F","BRKCLEIND",0.310344827586207,0.720306513409962,0.804597701149425,0.647509578544061,0.590038314176245,0.597701149425287,0.590038314176245
"Luguentz Dort","NBA","G","OKC",0.551724137931034,0.551724137931034,0.681992337164751,0.0383141762452107,0.318007662835249,0.831417624521073,0.35632183908046
"Kyle Lowry","NBA","G","MIATOR",0.731800766283525,0.39463601532567,0.498084291187739,0.915708812260536,0.762452107279693,0.452107279693487,0.766283524904215
"Terance Mann","NBA","G-F","LAC",0.222222222222222,0.78544061302682,0.272030651340996,0.467432950191571,0.616858237547893,0.911877394636015,0.78544061302682
"Immanuel Quickley","NBA","G","NYK",0.639846743295019,0.544061302681992,0.743295019157088,0.601532567049808,0.620689655172414,0.452107279693487,0.659003831417625
