"school","logo","type","color","alt_color","wordmark","g","w","l","w_l_percent","srs","sos","offense_mp","offense_fg","offense_fga","offense_fg_percent","offense_x3p","offense_x3pa","offense_x3p_percent","offense_ft","offense_fta","offense_ft_percent","offense_orb","offense_trb","offense_ast","offense_stl","offense_blk","offense_tov","offense_pf","defense_mp","defense_fg","defense_fga","defense_fg_percent","defense_x3p","defense_x3pa","defense_x3p_percent","defense_ft","defense_fta","defense_ft_percent","defense_orb","defense_trb","defense_ast","defense_stl","defense_blk","defense_tov","defense_pf","offense_pace","offense_o_rtg","offense_f_tr","offense_x3p_ar","offense_ts_percent","offense_trb_percent","offense_ast_percent","offense_stl_percent","offense_blk_percent","offense_e_fg_percent","offense_tov_percent","offense_orb_percent","offense_ft_fga","defense_pace","defense_o_rtg","defense_f_tr","defense_x3p_ar","defense_ts_percent","defense_trb_percent","defense_ast_percent","defense_stl_percent","defense_blk_percent","defense_e_fg_percent","defense_tov_percent","defense_orb_percent","defense_ft_fga","offense_x2p_percent","offense_drb_percent"
"Missouri","http://a.espncdn.com/i/teamlogos/ncaa/500/142.png","P5","#000000","#000000","https://raw.githubusercontent.com/sportsdataverse/cfbplotR/main/data-raw/wordmarks/missouri_tigers_logo_wordmark_2018_sportslogosnet-1762.png",10,7,3,0.7,6.01,-0.49,400,264,586,0.451,94,269,0.349,121,158,0.766,89,332,142,92,65,114,176,400,234,572,0.409,63,208,0.303,147,197,0.746,120,375,122,63,29,144,167,68.8,108,0.27,0.459,0.562,47,53.8,13.4,17.9,0.531,14.7,25.9,0.206,68.8,98.5,0.344,0.364,0.509,53,52.1,9.2,9.1,0.464,17.8,33.1,0.257,0.536277602523659,66.9
"North Texas","http://a.espncdn.com/i/teamlogos/ncaa/500/249.png","G5","#00853D","#000000","https://raw.githubusercontent.com/sportsdataverse/cfbplotR/main/data-raw/wordmarks/north_texas_mean_green_logo_wordmark_20051155.png",9,5,4,0.556,6.48,-1.4,365,215,494,0.435,71,189,0.376,117,151,0.775,104,323,97,68,29,112,147,365,186,472,0.394,52,164,0.317,102,149,0.685,90,278,86,59,26,126,140,63.2,107.3,0.306,0.383,0.546,53.7,45.1,11.8,9.4,0.507,16.5,35.6,0.237,63.2,91.3,0.316,0.347,0.485,46.3,46.2,10.2,8.5,0.449,18.8,29.1,0.216,0.472131147540984,70.9
"Northwestern","http://a.espncdn.com/i/teamlogos/ncaa/500/77.png","P5","#372286","#d6cac1","https://raw.githubusercontent.com/sportsdataverse/cfbplotR/main/data-raw/wordmarks/6442_northwestern_wildcats-wordmark-1981.png",8,7,1,0.875,13.12,3.12,325,222,469,0.473,59,166,0.355,104,143,0.727,73,247,138,71,31,63,144,325,180,417,0.432,60,172,0.349,107,151,0.709,83,270,105,29,30,121,142,64.8,115.2,0.305,0.354,0.565,47.8,62.2,13.5,12.7,0.536,10.5,28.1,0.222,64.8,100,0.362,0.412,0.539,52.2,58.3,5.5,9.9,0.504,19.8,32.3,0.257,0.537953795379538,67.7
"Ole Miss","http://a.espncdn.com/i/teamlogos/ncaa/500/145.png","P5","#001148","#00205b","https://raw.githubusercontent.com/sportsdataverse/cfbplotR/main/data-raw/wordmarks/mississippi_rebels_logo_wordmark_20206855.png",9,9,0,1,5.65,-1.01,360,231,518,0.446,61,167,0.365,137,187,0.733,91,323,141,74,60,98,132,360,219,555,0.395,56,209,0.268,106,148,0.716,123,338,114,67,26,113,159,68.3,107.3,0.361,0.322,0.544,48.9,61,12,17.3,0.505,13.9,29.7,0.264,68.3,97.6,0.267,0.377,0.48,51.1,52.1,10.9,7.4,0.445,15.3,34.6,0.191,0.484330484330484,65.4
"Rutgers","http://a.espncdn.com/i/teamlogos/ncaa/500/164.png","P5","#d21034","#ffffff","https://raw.githubusercontent.com/sportsdataverse/cfbplotR/main/data-raw/wordmarks/rutgers_scarlet_knights_logo_wordmark_2016_sportslogosnet-2651.png",9,6,3,0.667,9.34,2.67,360,208,514,0.405,60,181,0.331,132,200,0.66,104,333,111,67,56,102,155,360,194,522,0.372,60,200,0.3,100,153,0.654,125,365,85,55,33,141,169,67.6,99.8,0.389,0.352,0.499,47.7,53.4,11,17.4,0.463,14.3,30.2,0.257,67.6,90,0.293,0.383,0.461,52.3,43.8,9,9.9,0.429,19.2,35.3,0.192,0.444444444444444,64.7
"South Carolina","http://a.espncdn.com/i/teamlogos/ncaa/500/2579.png","P5","#670010","#000000","https://raw.githubusercontent.com/sportsdataverse/cfbplotR/main/data-raw/wordmarks/south_carolina_gamecocks_logo_alternate_2008_sportslogosnet-4735.png",9,8,1,0.889,11.93,2.15,360,231,507,0.456,85,220,0.386,125,178,0.702,87,317,132,47,30,89,154,360,203,498,0.408,54,161,0.335,124,175,0.709,79,295,99,48,32,98,160,66.3,112.6,0.351,0.434,0.568,51.8,57.1,7.9,8.9,0.539,13.1,28.7,0.247,66.3,97.8,0.351,0.323,0.502,48.2,48.8,8,11.1,0.462,14.4,25.6,0.249,0.508710801393728,74.4
"Tennessee","http://a.espncdn.com/i/teamlogos/ncaa/500/2633.png","P5","#EE9627","#ffffff","https://raw.githubusercontent.com/sportsdataverse/cfbplotR/main/data-raw/wordmarks/tennessee_volunteers_logo_wordmark_20052034.png",10,7,3,0.7,19.94,8.84,400,269,612,0.44,79,243,0.325,164,215,0.763,109,394,161,78,49,109,178,400,223,591,0.377,72,241,0.299,152,226,0.673,107,351,112,62,25,132,172,71.9,108.6,0.351,0.397,0.547,52.9,59.9,10.8,14,0.504,13.2,30.9,0.268,71.9,93.2,0.382,0.408,0.48,47.1,50.2,8.6,6.8,0.438,15.9,27.3,0.257,0.514905149051491,72.7
"Texas A&M","http://a.espncdn.com/i/teamlogos/ncaa/500/245.png","P5","#5C0025","#ffffff","https://raw.githubusercontent.com/sportsdataverse/cfbplotR/main/data-raw/wordmarks/2346_texas_a&m_aggies-wordmark-2001.png",10,7,3,0.7,18.09,10.49,400,275,637,0.432,68,240,0.283,148,202,0.733,175,411,126,74,28,96,161,400,236,550,0.429,86,244,0.352,132,183,0.721,95,309,132,54,46,116,185,65.6,116.8,0.317,0.377,0.523,57.1,45.8,11.3,9.2,0.485,11.6,45,0.232,65.6,105.2,0.333,0.444,0.542,42.9,55.9,8.2,11.6,0.507,15.4,28.7,0.24,0.521410579345088,71.3
"Tulane","http://a.espncdn.com/i/teamlogos/ncaa/500/2655.png","G5","#005837","#3baf29","https://raw.githubusercontent.com/sportsdataverse/cfbplotR/main/data-raw/wordmarks/6263_tulane_green_wave-wordmark-2014.png",8,6,2,0.75,5.12,-2.51,320,228,441,0.517,45,153,0.294,194,254,0.764,46,246,103,84,26,95,131,320,232,520,0.446,72,218,0.33,98,139,0.705,103,298,121,58,15,130,184,76.5,113.6,0.576,0.347,0.619,45.2,45.2,13.7,8.6,0.568,14.5,19.1,0.44,76.5,103.6,0.267,0.419,0.541,54.8,52.2,9.5,5.2,0.515,18.2,34,0.188,0.635416666666667,66
"Vanderbilt","http://a.espncdn.com/i/teamlogos/ncaa/500/238.png","P5","#000000","#231f20","https://raw.githubusercontent.com/sportsdataverse/cfbplotR/main/data-raw/wordmarks/vanderbilt_commodores_logo_wordmark_2012_sportslogosnet-9359.png",9,4,5,0.444,-4.57,-1.91,360,207,508,0.407,71,233,0.305,145,204,0.711,102,331,98,53,18,104,130,360,238,527,0.452,73,185,0.395,105,138,0.761,77,310,115,52,24,96,178,67.7,103.4,0.402,0.459,0.521,51.6,47.3,8.7,5.3,0.477,14.7,30.4,0.285,67.7,107.4,0.262,0.351,0.552,48.4,48.3,8.5,8.7,0.521,13.9,25.2,0.199,0.494545454545455,74.8
"Washington State","http://a.espncdn.com/i/teamlogos/ncaa/500/265.png","P5","#94022a","#6a747c","https://raw.githubusercontent.com/sportsdataverse/cfbplotR/main/data-raw/wordmarks/1054_washington_state_cougars-wordmark-2011.png",9,8,1,0.889,14.57,-3.99,360,273,538,0.507,62,177,0.35,116,177,0.655,108,356,129,61,56,93,170,360,183,494,0.37,49,178,0.275,142,188,0.755,84,271,75,46,20,113,167,67.7,118.7,0.329,0.329,0.582,56.8,47.3,10,17.7,0.565,13,36.6,0.216,67.7,91.3,0.381,0.36,0.477,43.2,41,7.5,5.5,0.42,16.2,25.3,0.287,0.584487534626039,74.7
"Bethune-Cookman","http://a.espncdn.com/i/teamlogos/ncaa/500/2065.png","FCS","#7b1831","#e9aa12",NA,9,5,4,0.556,-13.89,-8.46,360,254,587,0.433,61,208,0.293,140,195,0.718,118,334,117,130,26,124,196,360,202,491,0.411,63,183,0.344,172,238,0.723,103,339,107,67,22,191,168,76.5,102.9,0.332,0.354,0.522,49.6,46.1,18.9,8.4,0.485,15.4,33.3,0.239,76.5,92.7,0.485,0.373,0.529,50.4,53,9.7,5.8,0.476,24,32.3,0.35,0.509234828496042,67.7
"Murray State","http://a.espncdn.com/i/teamlogos/ncaa/500/93.png","FCS","#002148","#000e00","https://raw.githubusercontent.com/sportsdataverse/cfbplotR/main/data-raw/wordmarks/murray_state_racers_logo_wordmark_20149491.png",8,3,5,0.375,-2.98,-1.27,325,212,469,0.452,58,178,0.326,106,156,0.679,81,293,104,36,22,79,123,325,218,486,0.449,54,164,0.329,77,105,0.733,73,275,90,40,27,79,134,66.6,108.7,0.333,0.38,0.541,51.6,49.1,6.7,6.8,0.514,12.7,28.6,0.226,66.6,104.8,0.216,0.337,0.529,48.4,41.3,7.4,9.3,0.504,12.8,25.6,0.158,0.529209621993127,74.4
"Nicholls","http://a.espncdn.com/i/teamlogos/ncaa/500/2447.png","FCS","#C41230","#f0f0f0","https://raw.githubusercontent.com/sportsdataverse/cfbplotR/main/data-raw/wordmarks/2212_nicholls_state_colonels-wordmark-2009.png",10,4,6,0.4,-5.07,5.19,415,249,594,0.419,89,257,0.346,156,212,0.736,94,357,99,78,45,126,186,415,272,637,0.427,77,251,0.307,160,225,0.711,133,416,135,75,39,117,156,70.1,102.2,0.357,0.433,0.535,46.2,39.8,10.7,11.7,0.494,15.4,24.9,0.263,70.1,107.4,0.353,0.394,0.525,53.8,49.6,10.3,11.6,0.487,13.6,33.6,0.251,0.474777448071217,66.4
"North Alabama","http://a.espncdn.com/i/teamlogos/ncaa/500/2453.png","FCS","#000000","#ffffff","https://raw.githubusercontent.com/sportsdataverse/cfbplotR/main/data-raw/wordmarks/north_alabama_lions_logo_wordmark_2018_sportslogosnet-8285.png",10,5,5,0.5,-5.26,-2.26,415,274,617,0.444,84,226,0.372,171,224,0.763,110,377,130,68,31,124,198,415,255,596,0.428,68,202,0.337,172,241,0.714,106,369,129,65,31,138,190,71.3,108.5,0.363,0.366,0.555,50.5,47.4,9.2,7.9,0.512,14.6,29.5,0.277,71.3,101.4,0.404,0.339,0.528,49.5,50.6,8.8,7.9,0.485,16.3,28.4,0.289,0.485933503836317,71.6
"Southern","http://a.espncdn.com/i/teamlogos/ncaa/500/2582.png","FCS","#004B97","#ffc82d","https://raw.githubusercontent.com/sportsdataverse/cfbplotR/main/data-raw/wordmarks/southern_jaguars_logo_wordmark_20143856.png",10,4,6,0.4,-4.51,8.38,405,270,617,0.438,66,225,0.293,106,160,0.663,96,309,129,111,24,151,196,405,274,573,0.478,71,228,0.311,161,233,0.691,115,393,161,72,36,185,145,74.2,94.8,0.259,0.365,0.514,44,47.8,14.8,7,0.491,17.9,25.7,0.172,74.2,103.9,0.407,0.398,0.57,56,58.8,9.6,9.2,0.54,21.3,35.1,0.281,0.520408163265306,64.9
"UT Martin","http://a.espncdn.com/i/teamlogos/ncaa/500/2630.png","FCS","#FF6700","#102a5c","https://raw.githubusercontent.com/sportsdataverse/cfbplotR/main/data-raw/wordmarks/tennessee-martin_skyhawks_logo_wordmark_2007_sportslogosnet-6564.png",11,6,5,0.545,-6.95,-0.7,450,343,759,0.452,109,299,0.365,142,197,0.721,123,492,166,81,26,145,153,450,327,797,0.41,107,329,0.325,122,171,0.713,129,444,163,88,44,129,175,77.9,107,0.26,0.394,0.55,52.6,48.4,9.2,5.6,0.524,14.5,28.1,0.187,77.9,100.8,0.215,0.413,0.503,47.4,49.8,10,9.6,0.477,12.8,25.9,0.153,0.508695652173913,74.1
