"school","logo","type","color","alt_color","wordmark","belong","g","w","l","w_l_percent","srs","sos","offense_mp","offense_fg","offense_fga","offense_fg_percent","offense_x3p","offense_x3pa","offense_x3p_percent","offense_ft","offense_fta","offense_ft_percent","offense_orb","offense_trb","offense_ast","offense_stl","offense_blk","offense_tov","offense_pf","defense_mp","defense_fg","defense_fga","defense_fg_percent","defense_x3p","defense_x3pa","defense_x3p_percent","defense_ft","defense_fta","defense_ft_percent","defense_orb","defense_trb","defense_ast","defense_stl","defense_blk","defense_tov","defense_pf","offense_pace","offense_o_rtg","offense_f_tr","offense_x3p_ar","offense_ts_percent","offense_trb_percent","offense_ast_percent","offense_stl_percent","offense_blk_percent","offense_e_fg_percent","offense_tov_percent","offense_orb_percent","offense_ft_fga","defense_pace","defense_o_rtg","defense_f_tr","defense_x3p_ar","defense_ts_percent","defense_trb_percent","defense_ast_percent","defense_stl_percent","defense_blk_percent","defense_e_fg_percent","defense_tov_percent","defense_orb_percent","defense_ft_fga","offense_x2p_percent","offense_drb_percent"
"Rutgers","http://a.espncdn.com/i/teamlogos/ncaa/500/164.png","P5","#d21034","#ffffff","https://raw.githubusercontent.com/sportsdataverse/cfbplotR/main/data-raw/wordmarks/rutgers_scarlet_knights_logo_wordmark_2016_sportslogosnet-2651.png",0,9,6,3,0.667,9.34,2.67,360,208,514,0.405,60,181,0.331,132,200,0.66,104,333,111,67,56,102,155,360,194,522,0.372,60,200,0.3,100,153,0.654,125,365,85,55,33,141,169,67.6,99.8,0.389,0.352,0.499,47.7,53.4,11,17.4,0.463,14.3,30.2,0.257,67.6,90,0.293,0.383,0.461,52.3,43.8,9,9.9,0.429,19.2,35.3,0.192,0.444444444444444,64.7
"Syracuse","http://a.espncdn.com/i/teamlogos/ncaa/500/183.png","P5","#F37321","#0d1d37","https://raw.githubusercontent.com/sportsdataverse/cfbplotR/main/data-raw/wordmarks/syracuse_orange_logo_wordmark_2015_sportslogosnet-2819.png",0,10,7,3,0.7,8.28,6.61,400,283,640,0.442,76,230,0.33,130,179,0.726,117,382,129,91,53,121,149,400,265,626,0.423,74,244,0.303,104,158,0.658,128,392,143,68,26,152,157,72.7,106.2,0.28,0.359,0.532,49.4,45.6,12.5,13.9,0.502,14.3,30.7,0.203,72.7,97.4,0.252,0.39,0.505,50.6,54,9.4,6.3,0.482,17.8,32.6,0.166,0.504878048780488,67.4
"Tennessee","http://a.espncdn.com/i/teamlogos/ncaa/500/2633.png","P5","#EE9627","#ffffff","https://raw.githubusercontent.com/sportsdataverse/cfbplotR/main/data-raw/wordmarks/tennessee_volunteers_logo_wordmark_20052034.png",1,10,7,3,0.7,19.94,8.84,400,269,612,0.44,79,243,0.325,164,215,0.763,109,394,161,78,49,109,178,400,223,591,0.377,72,241,0.299,152,226,0.673,107,351,112,62,25,132,172,71.9,108.6,0.351,0.397,0.547,52.9,59.9,10.8,14,0.504,13.2,30.9,0.268,71.9,93.2,0.382,0.408,0.48,47.1,50.2,8.6,6.8,0.438,15.9,27.3,0.257,0.514905149051491,72.7
"Texas","http://a.espncdn.com/i/teamlogos/ncaa/500/251.png","P5","#EE7524","#f0f0f0","https://raw.githubusercontent.com/sportsdataverse/cfbplotR/main/data-raw/wordmarks/texas_longhorns_logo_wordmark_2000_sportslogosnet-1899.png",1,9,7,2,0.778,11.25,-1.42,360,267,546,0.489,62,179,0.346,115,161,0.714,96,338,153,74,50,106,143,360,212,532,0.398,49,158,0.31,124,167,0.743,100,310,100,61,31,120,149,70.2,112.5,0.295,0.328,0.571,52.2,57.3,11.7,13.4,0.546,14.6,31.4,0.211,70.2,94.5,0.314,0.297,0.488,47.8,47.2,9.7,8.4,0.445,16.4,29.2,0.233,0.55858310626703,70.8
"USC","http://a.espncdn.com/i/teamlogos/ncaa/500/30.png","P5","#AE2531","#ffc72c","https://raw.githubusercontent.com/sportsdataverse/cfbplotR/main/data-raw/wordmarks/southern_california_trojans_logo_wordmark_20162572.png",0,9,5,4,0.556,10.67,4.45,365,241,525,0.459,73,209,0.349,155,219,0.708,102,336,133,64,48,124,144,365,236,567,0.416,73,220,0.332,109,156,0.699,113,330,133,59,30,123,180,71.3,109.1,0.417,0.398,0.564,50.5,55.2,9.8,13.8,0.529,16.5,32,0.295,71.3,100.5,0.275,0.388,0.51,49.5,56.4,9.1,9.5,0.481,16.1,32.6,0.192,0.531645569620253,67.4
"Virginia","http://a.espncdn.com/i/teamlogos/ncaa/500/258.png","P5","#00204e","#002d62","https://raw.githubusercontent.com/sportsdataverse/cfbplotR/main/data-raw/wordmarks/8905_virginia_cavaliers-wordmark-2020.png",1,9,8,1,0.889,18.03,3.26,360,221,475,0.465,66,168,0.393,104,152,0.684,70,298,144,80,56,75,125,360,169,486,0.348,48,184,0.261,93,132,0.705,114,320,92,47,21,127,134,61.9,109.9,0.32,0.354,0.559,48.2,65.2,14.4,18.5,0.535,12.1,25.4,0.219,61.9,86,0.272,0.379,0.436,51.8,54.4,8.4,6.8,0.397,18.8,33.3,0.191,0.504885993485342,66.7
"Wisconsin","http://a.espncdn.com/i/teamlogos/ncaa/500/275.png","P5","#A00001","#f7f7f7","https://raw.githubusercontent.com/sportsdataverse/cfbplotR/main/data-raw/wordmarks/wisconsin-wordmark.png",1,10,7,3,0.7,18.27,11.37,400,260,574,0.453,66,197,0.335,149,192,0.776,113,339,112,61,13,103,154,400,234,509,0.46,71,202,0.351,127,182,0.698,65,283,112,45,35,128,191,65.7,111.9,0.334,0.343,0.552,54.5,43.1,9.3,4.2,0.51,13.4,34.1,0.26,65.7,101.4,0.358,0.397,0.559,45.5,47.9,6.8,9.3,0.529,17.7,22.3,0.25,0.514588859416446,77.7
"Murray State","http://a.espncdn.com/i/teamlogos/ncaa/500/93.png","FCS","#002148","#000e00","https://raw.githubusercontent.com/sportsdataverse/cfbplotR/main/data-raw/wordmarks/murray_state_racers_logo_wordmark_20149491.png",0,8,3,5,0.375,-2.98,-1.27,325,212,469,0.452,58,178,0.326,106,156,0.679,81,293,104,36,22,79,123,325,218,486,0.449,54,164,0.329,77,105,0.733,73,275,90,40,27,79,134,66.6,108.7,0.333,0.38,0.541,51.6,49.1,6.7,6.8,0.514,12.7,28.6,0.226,66.6,104.8,0.216,0.337,0.529,48.4,41.3,7.4,9.3,0.504,12.8,25.6,0.158,0.529209621993127,74.4
"Creighton","https://a.espncdn.com/i/teamlogos/ncaa/500/156.png","hoopR","#13299e","#00235d","https://raw.githubusercontent.com/sportsdataverse/cfbplotR/main/data-raw/wordmarks/creighton_bluejays_logo_wordmark_2013_sportslogosnet-3256.png",1,9,8,1,0.889,26.37,3.04,360,283,552,0.513,113,281,0.402,102,136,0.75,87,373,163,31,33,91,83,360,238,592,0.402,39,141,0.277,56,76,0.737,78,272,85,53,24,69,129,68.9,126,0.246,0.509,0.633,57.8,57.6,5,7.3,0.615,12.9,31,0.185,68.9,92.1,0.128,0.238,0.455,42.2,35.7,8.5,8.9,0.435,9.9,21.4,0.095,0.627306273062731,78.6
"Gonzaga","https://a.espncdn.com/i/teamlogos/ncaa/500/2250.png","hoopR","#002967","#cfd4d8","https://raw.githubusercontent.com/sportsdataverse/cfbplotR/main/data-raw/wordmarks/gonzaga_bulldogs_logo_wordmark_20114028.png",1,10,8,2,0.8,16.35,1.9,400,325,651,0.499,70,211,0.332,129,185,0.697,138,439,164,74,38,122,169,400,232,622,0.373,64,229,0.279,125,169,0.74,105,315,100,65,31,125,174,72.3,117.4,0.284,0.324,0.575,58.2,50.5,10.2,9.7,0.553,14.2,39.7,0.198,72.3,90.3,0.272,0.368,0.465,41.8,43.1,9,7,0.424,15.1,25.9,0.201,0.579545454545455,74.1
