"school","logo","type","color","alt_color","wordmark","g","w","l","w_l_percent","srs","sos","offense_mp","offense_fg","offense_fga","offense_fg_percent","offense_x3p","offense_x3pa","offense_x3p_percent","offense_ft","offense_fta","offense_ft_percent","offense_orb","offense_trb","offense_ast","offense_stl","offense_blk","offense_tov","offense_pf","defense_mp","defense_fg","defense_fga","defense_fg_percent","defense_x3p","defense_x3pa","defense_x3p_percent","defense_ft","defense_fta","defense_ft_percent","defense_orb","defense_trb","defense_ast","defense_stl","defense_blk","defense_tov","defense_pf","offense_pace","offense_o_rtg","offense_f_tr","offense_x3p_ar","offense_ts_percent","offense_trb_percent","offense_ast_percent","offense_stl_percent","offense_blk_percent","offense_e_fg_percent","offense_tov_percent","offense_orb_percent","offense_ft_fga","defense_pace","defense_o_rtg","defense_f_tr","defense_x3p_ar","defense_ts_percent","defense_trb_percent","defense_ast_percent","defense_stl_percent","defense_blk_percent","defense_e_fg_percent","defense_tov_percent","defense_orb_percent","defense_ft_fga","offense_x2p_percent","offense_drb_percent"
"San José State","http://a.espncdn.com/i/teamlogos/ncaa/500/23.png","G5","#005893","#fdba31","https://raw.githubusercontent.com/sportsdataverse/cfbplotR/main/data-raw/wordmarks/san_jose_state_spartans_logo_secondary_2018_sportslogosnet-7284.png",11,6,5,0.545,-0.91,-3.21,450,306,649,0.471,95,275,0.345,121,184,0.658,98,384,152,65,46,127,184,450,275,643,0.428,66,203,0.325,144,213,0.676,109,387,123,53,29,135,185,68.2,107.8,0.284,0.424,0.562,49.8,49.7,8.5,10.5,0.545,14.7,26.1,0.186,68.2,99,0.331,0.316,0.511,50.2,44.7,6.9,7.8,0.479,15.4,27.6,0.224,0.564171122994652,72.4
"Toledo","http://a.espncdn.com/i/teamlogos/ncaa/500/2649.png","G5","#00488F","#ffd51d","https://raw.githubusercontent.com/sportsdataverse/cfbplotR/main/data-raw/wordmarks/toledo_rockets_logo_primary_2019_sportslogosnet-7348.png",9,5,4,0.556,8.22,5.56,360,256,532,0.481,55,142,0.387,151,197,0.766,86,274,123,74,26,105,146,360,263,519,0.507,63,173,0.364,105,137,0.766,85,297,122,58,28,142,168,71.4,111.7,0.37,0.267,0.574,48,48,11.5,7.5,0.533,14.4,28.9,0.284,71.4,107.9,0.264,0.333,0.594,52,46.4,9,7.2,0.567,19.6,31.1,0.202,0.515384615384615,68.9
"UNLV","http://a.espncdn.com/i/teamlogos/ncaa/500/2439.png","G5","#000000","#c2c4c6","https://raw.githubusercontent.com/sportsdataverse/cfbplotR/main/data-raw/wordmarks/unlv_rebels_logo_secondary_2017_sportslogosnet-7738.png",7,3,4,0.429,0.29,1.72,280,195,412,0.473,50,148,0.338,71,102,0.696,66,215,90,50,30,75,102,280,198,406,0.488,54,132,0.409,71,96,0.74,65,235,111,31,29,89,111,67.5,108,0.248,0.359,0.555,47.8,46.2,10.6,10.9,0.534,14,28,0.172,67.5,110.1,0.236,0.325,0.577,52.2,56.1,6.6,11,0.554,16.5,30.4,0.175,0.549242424242424,69.6
"Utah State","http://a.espncdn.com/i/teamlogos/ncaa/500/328.png","G5","#003263","#949ca1","https://raw.githubusercontent.com/sportsdataverse/cfbplotR/main/data-raw/wordmarks/utah_state_aggies_logo_wordmark_20149097.png",10,9,1,0.9,13.98,1.35,405,322,605,0.532,61,183,0.333,134,195,0.687,106,384,193,76,50,121,168,405,236,575,0.41,58,208,0.279,124,168,0.738,81,294,104,66,22,138,176,70.3,117.8,0.322,0.302,0.601,56.6,59.9,10.7,13.6,0.583,14.8,33.2,0.221,70.3,91.9,0.292,0.362,0.499,43.4,44.1,9.3,5.2,0.461,17.4,22.6,0.216,0.618483412322275,77.4
"Wyoming","http://a.espncdn.com/i/teamlogos/ncaa/500/2751.png","G5","#533B22","#ffffff","https://raw.githubusercontent.com/sportsdataverse/cfbplotR/main/data-raw/wordmarks/1604_wyoming_cowboys-wordmark-2004.png",9,6,3,0.667,-1.75,-0.61,360,228,483,0.472,71,164,0.433,162,220,0.736,95,312,118,61,37,148,141,360,230,543,0.424,63,209,0.301,105,130,0.808,105,295,97,93,32,145,196,71.4,107.2,0.455,0.34,0.586,51.4,51.8,9.5,11.1,0.546,20.1,33.3,0.335,71.4,97.7,0.239,0.385,0.519,48.6,42.2,14.5,10,0.482,19.3,32.6,0.193,0.492163009404389,67.4
"Texas Southern","http://a.espncdn.com/i/teamlogos/ncaa/500/2640.png","FCS","#6A0403","#ebebeb",NA,7,0,7,0,-5.4,15.89,280,152,446,0.341,43,161,0.267,44,73,0.603,81,253,63,40,22,84,134,280,181,404,0.448,58,161,0.36,120,168,0.714,80,305,106,48,36,69,90,68.3,81.8,0.164,0.361,0.407,45.3,41.4,8.4,9.1,0.389,14.9,26.5,0.099,68.3,113,0.416,0.399,0.558,54.7,58.6,10,12.6,0.52,12.5,31.7,0.297,0.382456140350877,68.3
"Pepperdine","https://a.espncdn.com/i/teamlogos/ncaa/500/2492.png","hoopR","#003A72","#dc762f","https://raw.githubusercontent.com/sportsdataverse/cfbplotR/main/data-raw/wordmarks/pepperdine_waves_logo_wordmark_20125518.png",12,5,7,0.417,0.48,1.3,480,324,716,0.453,76,206,0.369,141,202,0.698,130,403,165,67,33,152,209,480,311,640,0.486,63,180,0.35,177,249,0.711,86,380,148,86,24,156,211,69.3,104.1,0.282,0.288,0.533,51.5,50.9,8.1,7.2,0.506,15.8,30.7,0.197,69.3,103.7,0.389,0.281,0.568,48.5,47.6,10.3,4.7,0.535,17.1,24,0.277,0.486274509803922,76
"Saint Mary's","https://a.espncdn.com/i/teamlogos/ncaa/500/2608.png","hoopR","#003768","#d02f35","https://raw.githubusercontent.com/sportsdataverse/cfbplotR/main/data-raw/wordmarks/4154_saint_marys_gaels-wordmark-2007.png",10,5,5,0.5,12.31,11.42,400,260,592,0.439,66,227,0.291,107,174,0.615,140,406,141,65,53,116,175,400,212,544,0.39,50,165,0.303,132,194,0.68,92,311,101,61,29,115,169,65.5,105.8,0.294,0.383,0.514,56.6,54.2,9.9,14,0.495,14.7,39,0.181,65.5,92.5,0.357,0.303,0.476,43.4,47.6,9.3,7.9,0.436,15.3,25.7,0.243,0.531506849315069,74.3
"Santa Clara","https://a.espncdn.com/i/teamlogos/ncaa/500/2541.png","hoopR","#690b0b","#101010","https://raw.githubusercontent.com/sportsdataverse/cfbplotR/main/data-raw/wordmarks/santa_clara_broncos_logo_wordmark_2016_sportslogosnet-1746.png",10,7,3,0.7,2.42,-1.03,400,293,621,0.472,85,235,0.362,118,175,0.674,130,403,160,56,31,136,166,400,258,614,0.42,74,227,0.326,131,180,0.728,99,328,126,79,19,119,166,71.5,110.3,0.282,0.378,0.56,55.1,54.6,7.8,8,0.54,16.2,36.2,0.19,71.5,100.8,0.293,0.37,0.515,44.9,48.8,11,4.9,0.48,14.5,26.6,0.213,0.538860103626943,73.4
"UC Irvine","https://a.espncdn.com/i/teamlogos/ncaa/500/300.png","hoopR","#002B5C","#fec52e","https://raw.githubusercontent.com/sportsdataverse/cfbplotR/main/data-raw/wordmarks/4642_california-irvine_anteaters-wordmark-2014.png",10,6,4,0.6,8.72,4.16,400,285,592,0.481,64,174,0.368,131,188,0.697,103,372,163,67,30,127,186,400,233,567,0.411,57,176,0.324,141,191,0.738,93,315,118,54,33,129,175,70,109.3,0.318,0.294,0.561,54.1,57.2,9.6,7.7,0.535,15.7,31.7,0.221,70,94.9,0.337,0.31,0.505,45.9,50.6,7.7,7.9,0.461,16.4,25.7,0.249,0.528708133971292,74.3
"UC Santa Barbara","https://a.espncdn.com/i/teamlogos/ncaa/500/2540.png","hoopR","#1D1160","#fdb813","https://raw.githubusercontent.com/sportsdataverse/cfbplotR/main/data-raw/wordmarks/7421_uc_santa_barbara__gauchos-wordmark-2010.png",8,5,3,0.625,-2.92,-2.42,320,242,459,0.527,52,142,0.366,129,177,0.729,78,314,132,30,30,118,112,320,235,517,0.455,58,181,0.32,78,116,0.672,69,233,102,66,19,80,150,72.9,114.1,0.386,0.309,0.612,57.4,54.5,5.1,8.9,0.584,17.8,32.2,0.281,72.9,103.9,0.224,0.35,0.53,42.6,43.4,11.3,6,0.511,12.3,22.6,0.151,0.599369085173502,77.4
"UT Arlington","https://a.espncdn.com/i/teamlogos/ncaa/500/250.png","hoopR","#004b7c","#f58024","https://raw.githubusercontent.com/sportsdataverse/cfbplotR/main/data-raw/wordmarks/texas-arlington_mavericks_logo_wordmark_2010_sportslogosnet-8452.png",9,5,4,0.556,2.03,6.17,360,237,541,0.438,80,237,0.338,129,183,0.705,120,374,160,51,28,136,178,360,223,543,0.411,64,178,0.36,134,189,0.709,88,294,127,67,33,100,163,71.6,106.1,0.338,0.438,0.544,56,67.5,7.9,7.7,0.512,17.8,36.8,0.238,71.6,100,0.348,0.328,0.509,44,57,10.4,10.9,0.47,13.6,25.7,0.247,0.516447368421053,74.3
