"school","logo","type","color","alt_color","wordmark","g","w","l","w_l_percent","srs","sos","offense_mp","offense_fg","offense_fga","offense_fg_percent","offense_x3p","offense_x3pa","offense_x3p_percent","offense_ft","offense_fta","offense_ft_percent","offense_orb","offense_trb","offense_ast","offense_stl","offense_blk","offense_tov","offense_pf","defense_mp","defense_fg","defense_fga","defense_fg_percent","defense_x3p","defense_x3pa","defense_x3p_percent","defense_ft","defense_fta","defense_ft_percent","defense_orb","defense_trb","defense_ast","defense_stl","defense_blk","defense_tov","defense_pf","offense_pace","offense_o_rtg","offense_f_tr","offense_x3p_ar","offense_ts_percent","offense_trb_percent","offense_ast_percent","offense_stl_percent","offense_blk_percent","offense_e_fg_percent","offense_tov_percent","offense_orb_percent","offense_ft_fga","defense_pace","defense_o_rtg","defense_f_tr","defense_x3p_ar","defense_ts_percent","defense_trb_percent","defense_ast_percent","defense_stl_percent","defense_blk_percent","defense_e_fg_percent","defense_tov_percent","defense_orb_percent","defense_ft_fga","offense_x2p_percent","offense_drb_percent"
"Stanford","http://a.espncdn.com/i/teamlogos/ncaa/500/24.png","P5","#A80532","#ffffff","https://raw.githubusercontent.com/sportsdataverse/cfbplotR/main/data-raw/wordmarks/stanford_cardinal_logo_wordmark_2015_sportslogosnet-4752.png",8,4,4,0.5,4.29,0.04,330,239,505,0.473,74,209,0.354,90,128,0.703,66,286,147,55,27,97,131,330,227,526,0.432,66,183,0.361,88,124,0.71,91,309,93,53,18,100,139,72.2,107.9,0.253,0.414,0.567,48.1,61.5,9.2,7.9,0.547,14.6,23.2,0.178,72.2,102.2,0.236,0.348,0.52,51.9,41,8.9,6.1,0.494,14.6,29.3,0.167,0.557432432432432,70.7
"Syracuse","http://a.espncdn.com/i/teamlogos/ncaa/500/183.png","P5","#F37321","#0d1d37","https://raw.githubusercontent.com/sportsdataverse/cfbplotR/main/data-raw/wordmarks/syracuse_orange_logo_wordmark_2015_sportslogosnet-2819.png",10,7,3,0.7,8.28,6.61,400,283,640,0.442,76,230,0.33,130,179,0.726,117,382,129,91,53,121,149,400,265,626,0.423,74,244,0.303,104,158,0.658,128,392,143,68,26,152,157,72.7,106.2,0.28,0.359,0.532,49.4,45.6,12.5,13.9,0.502,14.3,30.7,0.203,72.7,97.4,0.252,0.39,0.505,50.6,54,9.4,6.3,0.482,17.8,32.6,0.166,0.504878048780488,67.4
"UCLA","http://a.espncdn.com/i/teamlogos/ncaa/500/26.png","P5","#005C8E","#ffc72c","https://raw.githubusercontent.com/sportsdataverse/cfbplotR/main/data-raw/wordmarks/ucla_bruins_logo_wordmark_2017_sportslogosnet-6926.png",8,5,3,0.625,7.56,-0.29,320,198,444,0.446,37,115,0.322,120,161,0.745,85,293,108,50,32,91,147,320,153,419,0.365,67,218,0.307,97,144,0.674,68,239,82,41,17,103,160,65.6,105.5,0.363,0.259,0.531,55.1,54.5,9.5,15.9,0.488,14.9,33.2,0.27,65.6,89.7,0.344,0.52,0.482,44.9,53.6,7.8,5.2,0.445,17.4,24.6,0.232,0.48936170212766,75.4
"USC","http://a.espncdn.com/i/teamlogos/ncaa/500/30.png","P5","#AE2531","#ffc72c","https://raw.githubusercontent.com/sportsdataverse/cfbplotR/main/data-raw/wordmarks/southern_california_trojans_logo_wordmark_20162572.png",9,5,4,0.556,10.67,4.45,365,241,525,0.459,73,209,0.349,155,219,0.708,102,336,133,64,48,124,144,365,236,567,0.416,73,220,0.332,109,156,0.699,113,330,133,59,30,123,180,71.3,109.1,0.417,0.398,0.564,50.5,55.2,9.8,13.8,0.529,16.5,32,0.295,71.3,100.5,0.275,0.388,0.51,49.5,56.4,9.1,9.5,0.481,16.1,32.6,0.192,0.531645569620253,67.4
"Utah","http://a.espncdn.com/i/teamlogos/ncaa/500/254.png","P5","#890012","#7e8083","https://raw.githubusercontent.com/sportsdataverse/cfbplotR/main/data-raw/wordmarks/4760_utah_utes-wordmark-2015.png",9,7,2,0.778,17.17,8.51,360,259,537,0.482,72,195,0.369,136,191,0.712,94,355,155,59,33,108,136,360,241,567,0.425,85,247,0.344,81,130,0.623,90,303,129,55,20,95,175,70.9,113.8,0.356,0.363,0.578,54,59.8,9.2,10.3,0.549,14.7,30.6,0.253,70.9,101.6,0.229,0.436,0.515,46,53.5,8.6,5.8,0.5,13.1,25.6,0.143,0.546783625730994,74.4
"UTEP","http://a.espncdn.com/i/teamlogos/ncaa/500/2638.png","G5","#002843","#ff6f12","https://raw.githubusercontent.com/sportsdataverse/cfbplotR/main/data-raw/wordmarks/2713_utep-wordmark.png",10,6,4,0.6,-3.49,0.22,400,280,595,0.471,55,189,0.291,171,258,0.663,120,371,167,114,39,147,204,400,229,548,0.418,58,195,0.297,168,234,0.718,99,339,107,77,31,184,204,74.4,105.6,0.434,0.318,0.548,52.3,59.6,15.3,11,0.517,17,33.3,0.287,74.4,91.9,0.427,0.356,0.519,47.7,46.7,10.3,7.6,0.471,21.8,28.3,0.307,0.554187192118227,71.7
"Washington","http://a.espncdn.com/i/teamlogos/ncaa/500/264.png","P5","#2B2F64","#e8e3d3","https://raw.githubusercontent.com/sportsdataverse/cfbplotR/main/data-raw/wordmarks/washington_huskies_logo_wordmark_2016_sportslogosnet-3187.png",9,6,3,0.667,17.13,7.58,365,267,563,0.474,63,194,0.325,143,198,0.722,107,356,148,57,49,117,170,365,226,564,0.401,58,204,0.284,144,204,0.706,116,322,112,61,26,113,174,72.6,111.8,0.352,0.345,0.563,52.5,55.4,8.6,13.6,0.53,15.1,34.2,0.254,72.6,98.8,0.362,0.362,0.495,47.5,49.6,9.2,7,0.452,14.6,31.8,0.255,0.552845528455285,68.2
"Washington State","http://a.espncdn.com/i/teamlogos/ncaa/500/265.png","P5","#94022a","#6a747c","https://raw.githubusercontent.com/sportsdataverse/cfbplotR/main/data-raw/wordmarks/1054_washington_state_cougars-wordmark-2011.png",9,8,1,0.889,14.57,-3.99,360,273,538,0.507,62,177,0.35,116,177,0.655,108,356,129,61,56,93,170,360,183,494,0.37,49,178,0.275,142,188,0.755,84,271,75,46,20,113,167,67.7,118.7,0.329,0.329,0.582,56.8,47.3,10,17.7,0.565,13,36.6,0.216,67.7,91.3,0.381,0.36,0.477,43.2,41,7.5,5.5,0.42,16.2,25.3,0.287,0.584487534626039,74.7
"Florida A&M","http://a.espncdn.com/i/teamlogos/ncaa/500/50.png","FCS","#F89728","#00843d","https://raw.githubusercontent.com/sportsdataverse/cfbplotR/main/data-raw/wordmarks/1146_florida_a&m_rattlers-wordmark-2013.png",7,2,5,0.286,-9.71,11.69,290,191,443,0.431,32,99,0.323,74,97,0.763,72,248,98,50,21,97,150,290,184,415,0.443,66,167,0.395,138,207,0.667,91,282,90,51,28,88,97,70.6,95.3,0.219,0.223,0.499,46.8,51.3,9.8,8.5,0.467,16.6,27.4,0.167,70.6,111.7,0.499,0.402,0.557,53.2,48.9,10,8.1,0.523,14.6,34.1,0.333,0.462209302325581,65.9
"Montana","http://a.espncdn.com/i/teamlogos/ncaa/500/149.png","FCS","#751D4A","#666666",NA,9,5,4,0.556,0.68,7.18,360,254,552,0.46,55,187,0.294,116,154,0.753,91,335,146,43,25,97,166,360,213,515,0.414,58,192,0.302,141,198,0.712,82,317,97,54,28,95,146,69.6,108.3,0.279,0.339,0.543,51.4,57.5,6.9,7.7,0.51,13.4,27.9,0.21,69.6,99.7,0.384,0.373,0.513,48.6,45.5,8.6,7.7,0.47,13.5,25.2,0.274,0.545205479452055,74.8
"Tennessee State","http://a.espncdn.com/i/teamlogos/ncaa/500/2634.png","FCS","#383C84","#f0f0f0","https://raw.githubusercontent.com/sportsdataverse/cfbplotR/main/data-raw/wordmarks/tennessee_state_tigers_logo_wordmark_2021_sportslogosnet-3501.png",10,6,4,0.6,-6.94,-5.94,405,272,616,0.442,70,220,0.318,147,208,0.707,115,359,136,76,28,123,177,405,243,567,0.429,71,202,0.351,154,212,0.726,108,363,116,65,42,161,168,71.3,105.4,0.338,0.357,0.532,49.7,50,10.5,7.7,0.498,14.7,31.1,0.239,71.3,98.5,0.374,0.356,0.532,50.3,47.7,9,10.6,0.491,19.4,30.7,0.272,0.51010101010101,69.3
"California Baptist","https://a.espncdn.com/i/teamlogos/ncaa/500/2856.png","hoopR","#000000","#ffffff","https://raw.githubusercontent.com/sportsdataverse/cfbplotR/main/data-raw/wordmarks/california_baptist_lancers_logo_wordmark_2017_sportslogosnet-1235.png",9,6,3,0.667,0.45,-3.12,360,213,509,0.418,63,190,0.332,145,220,0.659,122,360,104,45,22,112,138,360,219,506,0.433,51,150,0.34,93,130,0.715,68,291,96,50,29,110,183,67.4,104.4,0.432,0.373,0.517,55.3,48.8,7.4,6.2,0.48,15.4,35.4,0.285,67.4,95.9,0.257,0.296,0.513,44.7,43.8,8.2,9.1,0.483,16.2,22.2,0.184,0.470219435736677,77.8
"Santa Clara","https://a.espncdn.com/i/teamlogos/ncaa/500/2541.png","hoopR","#690b0b","#101010","https://raw.githubusercontent.com/sportsdataverse/cfbplotR/main/data-raw/wordmarks/santa_clara_broncos_logo_wordmark_2016_sportslogosnet-1746.png",10,7,3,0.7,2.42,-1.03,400,293,621,0.472,85,235,0.362,118,175,0.674,130,403,160,56,31,136,166,400,258,614,0.42,74,227,0.326,131,180,0.728,99,328,126,79,19,119,166,71.5,110.3,0.282,0.378,0.56,55.1,54.6,7.8,8,0.54,16.2,36.2,0.19,71.5,100.8,0.293,0.37,0.515,44.9,48.8,11,4.9,0.48,14.5,26.6,0.213,0.538860103626943,73.4
