"player","class","pos","team","x3_p_s","slasher","ball_dominant","playmaker","perim_defender","oreb","dreb","sim_1","sim_1_url","sim_2","sim_3","sim_4","sim_5","URL","#"
"C.J. Noland","JR","G","North Texas",0.570962479608483,0.622077215878195,0.698205546492659,0.472539423599783,0.892876563349647,0.294181620445895,0.414355628058728,"Derrick White","https://cdn.nba.com/headshots/nba/latest/260x190/1628401.png","Eric Bledsoe","Immanuel Quickley","Nickeil Alexander-Walker","Victor Oladipo","https://a.espncdn.com/i/headshots/mens-college-basketball/players/full/4694228.png",22
"Jaylin Jackson-Posey","SR","G","New Mexico State",0.695486677542142,0.526373028820011,0.66394779771615,0.992930940728657,0.156606851549755,0.294181620445895,0.917890157694399,"Damian Lillard","https://cdn.nba.com/headshots/nba/latest/260x190/203081.png","Kevin Porter Jr.","Spencer Dinwiddie","Tyler Herro","Kemba Walker","https://a.espncdn.com/i/headshots/mens-college-basketball/players/full/4703691.png",0
"Gavin Griffiths","FR","G","Rutgers",0.720500271886895,0.22131593257205,0.774333877107123,0.0201196302338227,0.502446982055465,0.769439912996194,0.0647090810222947,"Luguentz Dort","https://cdn.nba.com/headshots/nba/latest/260x190/1629652.png","MarJon Beauchamp","Svi Mykhailiuk","Jordan Clarkson","Josh Richardson","https://a.espncdn.com/i/headshots/mens-college-basketball/players/full/4884255.png",10
"Derin Saran","FR","G","UC Irvine",0.21805328983143,0.809135399673736,0.940728656878738,0.623164763458401,0.87873844480696,0.953779227841218,0.768352365415987,"Dalano Banton","https://cdn.nba.com/headshots/nba/latest/260x190/1630625.png","Elfrid Payton","Talen Horton-Tucker","Dejounte Murray","Jalen Suggs","https://a.espncdn.com/i/headshots/mens-college-basketball/players/full/5176395.png",1
"Langston Redfield","JR","G","UC Irvine",0.794453507340946,0.042958129418162,0.020663404023926,0.488308863512779,0.452963567156063,0.517128874388255,0.424687330070691,"Tony Snell","https://cdn.nba.com/headshots/nba/latest/260x190/203503.png","Grayson Allen","Quentin Grimes","Vit Krejci","Garrett Temple","https://a.espncdn.com/i/headshots/mens-college-basketball/players/full/4897677.png",21
"Quadir Copeland","SO","G","Syracuse",0.0293637846655791,0.861881457313757,0.518760195758564,0.738444806960305,0.806960304513322,0.982055464926591,0.972811310494834,"Dalano Banton","https://cdn.nba.com/headshots/nba/latest/260x190/1630625.png","Scottie Barnes","Ben Simmons","Jordan Goodwin","Josh Hart","https://a.espncdn.com/i/headshots/mens-college-basketball/players/full/4683860.png",24
"Quincy Anderson","SR","G","Murray State",0.78194671016857,0.441544317563893,0.704730831973899,0.177270255573681,0.393692224034802,0.824904839586732,0.707993474714519,"Chris Duarte","https://cdn.nba.com/headshots/nba/latest/260x190/1630537.png","James Bouknight","MarJon Beauchamp","Luguentz Dort","Justin Jackson","https://a.espncdn.com/i/headshots/mens-college-basketball/players/full/5107893.png",10
"Ofure Ujadughele","SR","G","UC Irvine",0.115280043501903,0.902120717781403,0.099510603588907,0.872213159325721,0.979336595976074,0.968461120174008,0.914083741163676,"Josh Hart","https://cdn.nba.com/headshots/nba/latest/260x190/1628404.png","Delon Wright","Jordan Goodwin","Ben Simmons","Dyson Daniels","https://a.espncdn.com/i/headshots/mens-college-basketball/players/full/4432132.png",10
"Matthew Stone","JR","G","North Texas",0.859706362153344,0.0902664491571506,0.00978792822185971,0.446982055464927,0.893964110929853,0.729744426318651,0.65415986949429,"Miye Oni","https://cdn.nba.com/headshots/nba/latest/260x190/1629671.png","Davon Reed","Patrick Beverley","Danny Green","Pat Connaughton","https://a.espncdn.com/i/headshots/mens-college-basketball/players/full/4897523.png",23
"Julius Rollins","SO","G","Kent State",0.54758020663404,0.767808591625884,0.197389885807504,0.158238172920065,0.588907014681892,0.67373572593801,0.815660685154976,"Jeremy Lamb","https://cdn.nba.com/headshots/nba/latest/260x190/203087.png","PJ Dozier","Christian Braun","Deni Avdija","Aaron Nesmith","https://a.espncdn.com/i/headshots/mens-college-basketball/players/full/4898315.png",0
"Dylan Thoerner","SR","G","UC Irvine",0.926590538336052,0.116911364872213,0.322457857531267,0.0723219140837412,0.764545948885264,0.133768352365416,0.12126155519304,"Avery Bradley","https://cdn.nba.com/headshots/nba/latest/260x190/202340.png","Kentavious Caldwell-Pope","Garrison Mathews","Gary Harris","Austin Rivers","https://a.espncdn.com/i/headshots/mens-college-basketball/players/full/5117351.png",0
"Trenton Walters","FR","G","Radford",0.688417618270799,0.645459488852637,0.528004350190321,0.988036976617727,0.0320826536160957,0.133768352365416,0.0853724850462208,"D'Angelo Russell","https://cdn.nba.com/headshots/nba/latest/260x190/1626156.png","Darius Garland","Davion Mitchell","D.J. Augustin","Monte Morris","https://a.espncdn.com/i/headshots/mens-college-basketball/players/full/5175675.png",2
"Jayden Hardaway","SR","G","Memphis",0.166394779771615,0.678085916258836,0.0603588907014682,0.187601957585644,0.387710712343665,0.343121261555193,0.0853724850462208,"Amir Coffey","https://cdn.nba.com/headshots/nba/latest/260x190/1629599.png","Austin Reaves","Rodney Hood","Ayo Dosunmu","Bryce McGowens","https://a.espncdn.com/i/headshots/mens-college-basketball/players/full/4396635.png",25
"Justin Morgan","SO","G","Murray State",0.532354540511147,0.125067971723763,0.45241979336596,0.141924959216966,0.0592713431212616,0.983686786296901,0.707993474714519,"Admiral Schofield","https://cdn.nba.com/headshots/nba/latest/260x190/1629678.png","James Bouknight","Shaedon Sharpe","MarJon Beauchamp","DaQuan Jeffries","https://a.espncdn.com/i/headshots/mens-college-basketball/players/full/5107894.png",11
"Kyle Cuffe","FR","G","Syracuse",0.819467101685699,0.0728656878738445,0.528004350190321,0.0440456769983687,0.879282218597064,0.517128874388255,0.345296356715606,"Grayson Allen","https://cdn.nba.com/headshots/nba/latest/260x190/1628960.png","Danny Green","Quentin Grimes","Svi Mykhailiuk","Kentavious Caldwell-Pope","https://a.espncdn.com/i/headshots/mens-college-basketball/players/full/4816087.png",0
"Austin Williams","SR","G","Rutgers",0.0783034257748776,0.852637302882001,0.240891789015769,0.282762370853725,0.753670473083197,0.849918433931484,0.635671560630778,"Christian Braun","https://cdn.nba.com/headshots/nba/latest/260x190/1631128.png","Bruce Brown","Terance Mann","David Nwaba","Josh Green","https://a.espncdn.com/i/headshots/mens-college-basketball/players/full/4279709.png",24
"Jayhlon Young","JR","G","Memphis",0.22457857531267,0.728113104948341,0.369766177270256,0.604676454594889,0.997824904839587,0.811854268624252,0.258292550299076,"Jalen Williams","https://cdn.nba.com/headshots/nba/latest/260x190/1631114.png","Jose Alvarado","Jalen Suggs","Josh Green","George Hill","https://a.espncdn.com/i/headshots/mens-college-basketball/players/full/5106644.png",1
