Rk,Player,Pos,Team,Player-additional,PTS,From,To,Age,G,GS,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,FG%,2P%,3P%,FT%,TS%,eFG%,WS,ORtg,DRtg,OWS,DWS,WS/48,OBPM,DBPM,BPM,VORP,PER,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%
1,Jayson Tatum,F,BOS,tatumja01,5963,2020-21,2022-23,22-24,214,214,7753,2040,4441,1383,2619,657,1822,1226,1431,213,1517,1730,952,228,131,601,456,0.459,0.528,0.361,0.857,0.588,0.533,26.7,115,109,15.3,11.4,0.165,4.5,0.4,4.8,13.4,22.3,3,21.1,12.2,20.8,1.4,1.5,10.6,31.9
2,Luka Dončić,G-F,DAL,doncilu01,5815,2020-21,2022-23,21-23,197,197,6954,2007,4203,1429,2545,578,1658,1223,1654,164,1525,1689,1664,229,105,809,463,0.478,0.561,0.349,0.739,0.59,0.546,25.5,115,110,16.1,9.3,0.176,6.7,1.3,8,17.6,26.4,2.7,24.7,13.7,44.1,1.6,1.4,14.1,37
3,Joel Embiid,C,PHI,embiijo01,5713,2020-21,2022-23,26-28,185,185,6166,1855,3561,1638,2956,217,605,1786,2122,372,1633,2005,703,193,280,599,509,0.521,0.554,0.359,0.842,0.636,0.551,33.1,122,106,21.9,11.2,0.258,6.9,1.9,8.8,16.7,31,6.9,29.5,18.4,21.4,1.5,4.1,11.8,36.6
4,Giannis Antetokounmpo,F-G,MIL,antetgi01,5678,2020-21,2022-23,26-28,191,191,6241,2022,3623,1837,2989,185,634,1449,2119,368,1823,2191,1104,196,215,672,577,0.558,0.615,0.292,0.684,0.623,0.584,31.7,121,107,21,10.7,0.244,6.6,3,9.6,18.4,30.1,6.4,29.8,18.5,31.2,1.5,3.1,12.9,35.4
5,Trae Young,G,ATL,youngtr01,5663,2020-21,2022-23,22-24,212,212,7318,1795,4046,1272,2579,523,1467,1550,1738,144,602,746,2072,205,28,864,343,0.444,0.493,0.357,0.892,0.589,0.508,23.8,118,118,20.2,3.6,0.156,6,-1.9,4.1,11.3,23.5,2.2,9,5.6,44.9,1.4,0.3,15.2,33.4
6,Nikola Jokić,C-F,DEN,jokicni01,5592,2020-21,2022-23,25-27,215,215,7287,2142,3626,1896,2952,246,674,1062,1277,578,2038,2616,1861,291,158,750,557,0.591,0.642,0.365,0.832,0.668,0.625,45.8,130,108,34.1,11.7,0.302,9,4,12.9,27.4,31.9,9.2,31,20.3,43.1,2,2,15.2,29.6
7,Stephen Curry,G,GSW,curryst01,5293,2020-21,2022-23,32-34,183,183,6304,1752,3722,857,1532,895,2190,894,974,102,919,1021,1119,214,51,598,366,0.471,0.559,0.409,0.918,0.638,0.591,24.8,119,111,16.8,7.9,0.189,7,0.3,7.3,14.9,23.9,1.8,15.5,8.8,30.3,1.6,0.7,12.6,32.2
8,DeMar DeRozan,G-F,CHISAS,derozde01,5250,2020-21,2022-23,31-33,211,211,7481,1886,3758,1771,3400,115,358,1363,1556,130,864,994,1173,207,75,453,492,0.502,0.521,0.321,0.876,0.591,0.517,24.7,119,115,18.3,6.4,0.159,2.7,-0.2,2.5,8.4,21.9,1.9,12.8,7.4,25.3,1.3,0.9,9.3,28.8
9,Zach LaVine,G-F,CHI,lavinza01,5139,2020-21,2022-23,25-27,202,202,7130,1807,3697,1218,2201,589,1496,936,1101,100,842,942,912,156,68,568,417,0.489,0.553,0.394,0.85,0.615,0.568,18.8,115,115,12.8,6,0.127,3.7,-1,2.7,8.4,20.1,1.6,13.1,7.4,20.7,1.1,0.9,12,29.2
10,Julius Randle,F-C,NYK,randlju01,5095,2020-21,2022-23,26-28,220,220,7948,1772,3999,1274,2584,498,1415,1053,1361,350,1856,2206,1113,166,78,702,663,0.443,0.493,0.352,0.774,0.554,0.505,19,110,110,8.2,10.8,0.115,2.4,0.3,2.7,9.4,18.7,4.8,25.5,15.1,23.5,1,0.9,13.2,29.2
11,Donovan Mitchell,G,CLEUTA,mitchdo01,5056,2020-21,2022-23,24-26,188,188,6469,1774,3869,1119,2119,655,1750,853,997,168,638,806,936,250,54,527,449,0.459,0.528,0.374,0.856,0.587,0.543,22.3,116,111,14,8.3,0.165,5,0.1,5.1,11.5,22,3,10.7,6.9,25.1,1.9,0.7,10.9,32.8
12,Devin Booker,G,PHO,bookede01,5005,2020-21,2022-23,24-26,188,188,6450,1812,3775,1392,2610,420,1165,961,1113,125,738,863,911,181,60,514,520,0.48,0.533,0.361,0.863,0.587,0.536,18.5,114,112,11.4,7.2,0.138,3.3,-0.5,2.8,7.8,20.8,2.1,12.5,7.4,23.2,1.4,0.8,10.8,32.2
13,Anthony Edwards,G,MIN,edwaran01,4871,2020-21,2022-23,19-21,223,206,7622,1761,3997,1162,2297,599,1700,750,974,168,969,1137,836,312,140,609,479,0.441,0.506,0.352,0.77,0.55,0.516,8.9,105,114,1.5,7.4,0.056,0.7,-0.6,0.1,4.1,16,2.4,14.1,8.2,17.3,1.9,1.7,12.1,27.9
14,Jaylen Brown,F-G,BOS,brownja02,4773,2020-21,2022-23,24-26,191,191,6624,1793,3711,1301,2349,492,1362,695,912,202,1008,1210,658,217,76,533,503,0.483,0.554,0.361,0.762,0.58,0.549,15.6,110,111,6.7,8.8,0.113,2.1,-0.2,1.9,6.5,19.3,3.4,16.4,10,17,1.6,1,11.5,30.6
15,De'Aaron Fox,G,SAC,foxde01,4654,2020-21,2022-23,23-25,190,190,6555,1727,3533,1431,2597,296,936,904,1205,98,642,740,1194,238,75,523,514,0.489,0.551,0.316,0.75,0.573,0.531,14.1,113,117,10.5,3.6,0.103,2.4,-1.1,1.3,5.4,20,1.7,11,6.3,29.7,1.7,1,11.4,30.1
16,Damian Lillard,G,POR,lillada01,4489,2020-21,2022-23,30-32,154,154,5561,1380,3088,769,1442,611,1646,1118,1223,89,591,680,1142,129,46,477,248,0.447,0.533,0.371,0.914,0.619,0.546,21.2,123,120,19.6,1.6,0.183,7.2,-1.5,5.6,10.8,24.7,1.7,12,6.8,34.6,1.1,0.8,11.6,31.9
17,Pascal Siakam,F,TOR,siakapa01,4467,2020-21,2022-23,26-28,195,195,7236,1663,3481,1422,2730,241,751,900,1154,354,1187,1541,1025,214,115,480,627,0.478,0.521,0.321,0.78,0.56,0.512,20.1,115,113,12.3,7.8,0.133,2.5,0.2,2.6,8.4,19.6,5.1,19.2,11.8,23,1.5,1.6,10.7,26.5
18,LeBron James,F-G,LAL,jamesle01,4411,2020-21,2022-23,36-38,156,155,5542,1671,3263,1285,2153,386,1110,683,918,157,1105,1262,1074,171,116,542,279,0.512,0.597,0.348,0.744,0.601,0.571,18.7,115,111,11.3,7.4,0.162,6.1,1.1,7.2,12.9,24.8,3.1,21.4,12.4,34.7,1.5,1.8,12.9,32.5
19,Nikola Vučević,C,CHIORL,vucevni01,4374,2020-21,2022-23,30-32,225,225,7512,1809,3698,1408,2580,401,1118,355,435,447,2077,2524,770,195,176,401,497,0.489,0.546,0.359,0.816,0.562,0.543,19.1,112,110,8.5,10.6,0.122,2.5,0.4,2.9,9.4,20,6.6,30.6,18.6,16.9,1.3,2.1,9.3,25
20,Ja Morant,G,MEM,moranja01,4364,2020-21,2022-23,21-23,181,179,5890,1576,3348,1323,2551,253,797,959,1284,197,737,934,1342,189,51,605,273,0.471,0.519,0.317,0.747,0.558,0.509,15.9,113,113,9.6,6.3,0.13,4.1,-0.4,3.7,8.5,21.4,3.5,13.3,8.4,36.2,1.5,0.8,13.4,31.9
21,Shai Gilgeous-Alexander,G,OKC,gilgesh01,4336,2020-21,2022-23,22-24,159,159,5538,1468,2998,1250,2363,218,635,1182,1373,115,658,773,909,210,134,452,404,0.49,0.529,0.343,0.861,0.602,0.526,19.5,119,113,13.9,5.6,0.169,4.4,0.9,5.2,10.1,23.8,2.1,12.7,7.3,28.8,1.8,2.2,11.1,31
22,Terry Rozier,G,CHO,roziete01,4144,2020-21,2022-23,26-28,205,205,7062,1521,3489,912,1820,609,1669,493,598,154,722,876,938,254,67,358,357,0.436,0.501,0.365,0.824,0.552,0.523,12.8,112,116,7.7,5.2,0.087,1.8,-0.8,1,5.3,16.5,2.3,11.1,6.6,20.8,1.7,0.9,8.7,24.8
23,RJ Barrett,G-F,NYK,barrerj01,4097,2020-21,2022-23,20-22,215,215,7403,1464,3430,1081,2327,383,1103,786,1074,194,996,1190,626,127,51,454,509,0.427,0.465,0.347,0.732,0.525,0.483,8.6,105,114,1.5,7.1,0.056,-0.8,-1.1,-2,0.1,13.3,2.8,14.7,8.7,13.6,0.9,0.7,10.4,25.7
24,Russell Westbrook,G,LACLALWAS,westbru01,4045,2020-21,2022-23,32-34,216,167,7173,1524,3462,1270,2638,254,824,743,1126,308,1445,1753,1864,240,76,862,587,0.44,0.481,0.308,0.66,0.511,0.477,7.3,103,112,-0.7,8,0.049,0.7,0,0.7,4.8,16.8,4.7,21.4,13.1,39.3,1.6,0.9,17.9,28.4
25,CJ McCollum,G,NOPPOR,mccolcj01,4025,2020-21,2022-23,29-31,184,184,6394,1528,3392,966,1960,562,1432,407,541,138,644,782,967,184,81,375,361,0.45,0.493,0.392,0.752,0.554,0.533,12.6,113,116,8.3,4.3,0.095,3,-1,2,6.4,17.8,2.4,11.3,6.8,24.9,1.4,1.2,9.4,26.9
26,Dejounte Murray,G,ATLSAS,murrade01,4004,2020-21,2022-23,24-26,209,209,7198,1626,3534,1334,2654,292,880,460,571,191,1234,1425,1438,351,49,457,379,0.46,0.503,0.332,0.806,0.529,0.501,15.3,111,112,7,8.3,0.102,1.5,0.9,2.4,8,18.6,2.8,18.5,10.6,30,2.3,0.6,10.8,25
27,Bradley Beal,G,WAS,bealbr01,3966,2020-21,2022-23,27-29,150,150,5259,1462,3031,1189,2229,273,802,769,890,151,517,668,801,150,70,467,342,0.482,0.533,0.34,0.864,0.579,0.527,10.7,112,116,7.1,3.6,0.098,3.5,-1.3,2.2,5.6,20.3,3.2,10.5,6.9,25.6,1.4,1.1,12,31.6
28,Kevin Durant,F-G,BRKPHO,duranke01,3952,2020-21,2022-23,32-34,137,134,4876,1385,2580,1092,1861,293,719,889,981,59,908,967,781,107,164,467,282,0.537,0.587,0.408,0.906,0.656,0.594,20.2,122,112,14.8,5.3,0.199,6.3,0.9,7.2,11.3,25.9,1.4,20,10.9,27.2,1.1,2.9,13.4,31
29,Domantas Sabonis,C-F,INDSAC,sabondo01,3941,2020-21,2022-23,24-26,203,202,7103,1504,2615,1382,2245,122,370,811,1098,602,1865,2467,1311,200,99,638,685,0.575,0.616,0.33,0.739,0.636,0.598,26.6,123,113,18.8,7.8,0.18,3.2,1.4,4.7,11.9,22.1,9.5,29.3,19.4,27.4,1.3,1.2,17.1,22.5
30,Darius Garland,G,CLE,garlada01,3904,2020-21,2022-23,21-23,191,187,6667,1426,3104,978,1972,448,1132,604,694,90,448,538,1450,240,22,611,373,0.459,0.496,0.396,0.87,0.573,0.532,15.1,112,114,8.7,6.4,0.109,2.4,-1.1,1.3,5.5,17.6,1.5,7.6,4.6,35.4,1.8,0.3,15.2,26.7
31,Kyrie Irving,G,BRKDAL,irvinky01,3870,2020-21,2022-23,28-30,143,143,5218,1432,2905,992,1792,440,1113,566,620,127,561,688,822,183,99,331,386,0.493,0.554,0.395,0.913,0.609,0.569,18.2,120,115,13.6,4.6,0.167,5,-0.6,4.4,8.4,22.9,2.8,11.7,7.4,26.5,1.7,1.7,9.4,29.5
32,Brandon Ingram,F,NOP,ingrabr01,3808,2020-21,2022-23,23-25,161,161,5500,1370,2919,1089,2154,281,765,787,914,92,773,865,865,108,81,453,359,0.469,0.506,0.367,0.861,0.573,0.517,12.6,113,115,8.2,4.3,0.11,2.7,-0.7,2,5.5,19,1.8,15.7,8.7,25.8,1,1.4,12,29.2
33,Mikal Bridges,F-G,BRKPHO,bridgmi01,3803,2020-21,2022-23,24-26,237,237,8165,1414,2794,996,1725,418,1069,557,641,229,791,1020,610,263,160,252,425,0.506,0.577,0.391,0.869,0.618,0.581,24.4,123,112,15,9.4,0.143,1.4,0.7,2.1,8.5,15.9,3.1,10.6,6.9,10.5,1.6,1.7,7.6,17.7
34,Jimmy Butler,F-G,MIA,butleji01,3801,2020-21,2022-23,31-33,173,173,5814,1243,2453,1155,2132,88,321,1227,1426,337,733,1070,1021,319,66,331,239,0.507,0.542,0.274,0.86,0.617,0.525,30.8,129,109,22.2,8.5,0.254,5.6,2.1,7.6,14.1,25.9,6.7,14.5,10.6,29.3,2.7,1.2,9.7,26.2
35,Bam Adebayo,C-F,MIA,adebaba01,3794,2020-21,2022-23,23-25,195,195,6566,1464,2643,1461,2617,3,26,863,1096,463,1362,1825,776,243,171,504,524,0.554,0.558,0.115,0.787,0.607,0.554,23.4,118,108,12.8,10.6,0.171,1.7,1.6,3.3,8.7,21.4,8.1,23.9,16,20,1.8,2.7,13.9,24.7
36,Jordan Clarkson,G,UTA,clarkjo01,3788,2020-21,2022-23,28-30,208,63,5947,1381,3219,828,1564,553,1655,473,563,186,607,793,632,160,39,430,379,0.429,0.529,0.334,0.84,0.546,0.515,9.5,109,114,4.2,5.3,0.076,1.1,-1.3,-0.3,2.6,15.5,3.5,10.7,7.2,16.9,1.3,0.6,11,28.1
37,Buddy Hield,G-F,INDSAC,hieldbu01,3785,2020-21,2022-23,28-30,232,176,7414,1324,3128,492,1014,832,2114,305,360,162,925,1087,711,228,81,422,515,0.423,0.485,0.394,0.847,0.576,0.556,8.5,110,118,5,3.4,0.055,1.3,-1.3,0,3.8,13.7,2.4,13.9,8.1,13.9,1.5,0.9,11.4,21.3
38,Jalen Brunson,G,DALNYK,brunsja01,3775,2020-21,2022-23,24-26,215,141,6600,1421,2830,1112,2056,309,774,624,756,110,671,781,1037,162,19,346,412,0.502,0.541,0.399,0.825,0.597,0.557,21.2,122,115,15.7,5.6,0.155,2.3,-0.4,2,6.6,18.6,1.8,11.2,6.5,25.1,1.2,0.3,9.9,23.3
39,Bojan Bogdanović,G-F,DETUTA,bogdabo02,3746,2020-21,2022-23,31-33,200,200,6240,1258,2735,752,1453,506,1282,724,828,134,666,800,408,113,13,381,344,0.46,0.518,0.395,0.874,0.604,0.552,14,116,116,9.5,4.5,0.108,1.4,-1.3,0.1,3.3,15.6,2.4,11.4,7,10.3,0.9,0.2,10.9,24
40,James Harden,G,BRKHOUPHI,hardeja01,3731,2020-21,2022-23,31-33,167,166,6163,1120,2568,690,1368,430,1200,1061,1220,130,1072,1202,1760,206,100,656,364,0.436,0.504,0.358,0.87,0.601,0.52,23,120,112,16,7,0.179,4.9,0.5,5.3,11.4,22.1,2.4,19,11,42.4,1.6,1.5,17.4,26.8
41,Jordan Poole,G,GSW,poolejo01,3692,2020-21,2022-23,21-23,209,101,5729,1229,2810,707,1317,522,1493,712,800,81,496,577,772,149,53,490,506,0.437,0.537,0.35,0.89,0.584,0.53,11.2,111,114,5.5,5.6,0.094,0.6,-1.1,-0.5,2.2,15.3,1.6,9.2,5.5,20.7,1.2,0.8,13.4,27.2
42,Fred VanVleet,G,TOR,vanvlfr01,3674,2020-21,2022-23,26-28,186,186,6896,1217,3079,594,1355,623,1724,617,696,106,683,789,1257,321,110,405,474,0.395,0.438,0.361,0.886,0.543,0.496,17.5,115,113,10,7.4,0.121,2.5,0.4,2.9,8.5,17.1,1.6,11.6,6.3,27.2,2.3,1.6,10.7,23.6
43,Karl-Anthony Towns,C-F,MIN,townska01,3659,2020-21,2022-23,25-27,153,153,5122,1279,2517,947,1672,332,845,769,913,375,1117,1492,634,131,157,472,564,0.508,0.566,0.393,0.842,0.627,0.574,18.3,119,112,12.4,5.9,0.172,4,0.5,4.5,8.3,22.8,7.7,24.1,15.8,20.3,1.2,2.8,13.9,27.8
44,Jrue Holiday,G,MIL,holidjr01,3561,2020-21,2022-23,30-32,193,185,6298,1382,2800,981,1785,401,1015,396,493,221,689,910,1309,283,91,507,347,0.494,0.55,0.395,0.803,0.59,0.565,20.2,118,112,12.7,7.5,0.154,2.9,0.3,3.2,8.3,19.7,3.8,11.1,7.6,31,2.1,1.3,14.4,23.6
45,Tobias Harris,F,PHI,harrito02,3552,2020-21,2022-23,28-30,209,209,6993,1389,2791,1080,1984,309,807,465,535,206,1133,1339,658,170,134,312,432,0.498,0.544,0.383,0.869,0.587,0.553,18.6,116,112,10.1,8.5,0.128,1.3,0,1.3,5.8,16.7,3.4,18,10.8,14.9,1.2,1.7,9.3,21.1
46,Keldon Johnson,G,SAS,johnske04,3544,2020-21,2022-23,21-23,207,204,6423,1312,2829,959,1842,353,987,567,757,229,958,1187,462,144,49,304,415,0.464,0.521,0.358,0.749,0.56,0.526,9.4,111,116,5.3,4.2,0.071,0.2,-1.5,-1.3,1.2,14.8,3.7,16.2,9.8,10.7,1.1,0.6,8.8,22.8
47,Tyler Herro,G,MIA,herroty01,3529,2020-21,2022-23,21-23,187,92,6123,1295,2930,810,1657,485,1273,454,518,84,873,957,727,130,41,433,267,0.442,0.489,0.381,0.876,0.559,0.525,8.9,107,113,2.5,6.5,0.07,1,-0.9,0.1,3.3,15.1,1.6,16.5,9,19.7,1.1,0.7,12.1,26.2
48,Jonas Valančiūnas,C,MEMNOP,valanjo01,3487,2020-21,2022-23,28-30,215,214,5963,1396,2497,1280,2173,116,324,579,716,704,1719,2423,442,96,169,438,671,0.559,0.589,0.358,0.809,0.62,0.582,20.9,120,110,12.5,8.4,0.168,1.7,-0.3,1.5,5.2,21.5,12.8,32.1,22.4,11.9,0.8,2.7,13.5,23.3
49,Harrison Barnes,F,SAC,barneha02,3428,2020-21,2022-23,28-30,217,217,7344,1084,2267,710,1298,374,969,886,1061,233,950,1183,515,153,35,297,272,0.478,0.547,0.386,0.835,0.627,0.561,17.1,123,119,14.1,3,0.112,1.1,-1.4,-0.3,3.3,15,3.5,14.5,8.9,9.7,1,0.4,9.8,17.7
50,Kristaps Porziņģis,F-C,DALWAS,porzikr01,3400,2020-21,2022-23,25-27,159,159,4928,1184,2468,872,1602,312,866,720,840,298,1040,1338,361,115,242,269,448,0.48,0.544,0.36,0.857,0.599,0.543,17.5,119,110,10.7,6.8,0.171,3.4,0.2,3.6,7,22.8,6.8,23,15,11.9,1.1,4.3,8.7,27.8
51,Jerami Grant,F,DETPOR,grantje01,3399,2020-21,2022-23,26-28,164,164,5575,1132,2544,782,1602,350,942,785,944,116,608,724,413,130,160,310,384,0.445,0.488,0.372,0.832,0.574,0.514,9.6,112,117,5.9,3.7,0.082,1.5,-0.9,0.6,3.6,16.3,2.3,12.4,7.3,12.2,1.1,2.5,9.5,25.4
52,Kyle Kuzma,F,LALWAS,kuzmaky01,3361,2020-21,2022-23,25-27,198,162,6397,1270,2835,845,1599,425,1236,396,553,233,1208,1441,599,113,127,472,394,0.448,0.528,0.344,0.716,0.546,0.523,6.2,103,113,-0.6,6.8,0.046,-0.1,-0.7,-0.8,2,14.1,4.1,20.6,12.5,14.4,0.9,1.7,13.3,24.3
53,Paul George,F,LAC,georgpa01,3345,2020-21,2022-23,30-32,141,141,4837,1172,2593,752,1494,420,1099,581,670,102,812,914,744,212,57,481,365,0.452,0.503,0.382,0.867,0.579,0.533,11.2,110,111,4.7,6.5,0.111,2.8,0.7,3.5,6.7,19.7,2.4,18.2,10.5,25.2,2.2,1,14.3,30.6
54,Gary Trent Jr.,G,PORTOR,trentga02,3319,2020-21,2022-23,22-24,194,151,6368,1175,2806,635,1382,540,1424,429,515,83,433,516,327,282,43,171,338,0.419,0.459,0.379,0.833,0.547,0.515,11.8,113,115,6.6,5.2,0.089,-0.1,-0.4,-0.5,2.4,14,1.4,7.9,4.5,7.7,2.2,0.7,5.3,21.5
55,Lauri Markkanen,F-C,CHICLEUTA,markkla01,3286,2020-21,2022-23,23-25,178,153,5468,1134,2369,679,1182,455,1187,563,650,224,959,1183,249,113,83,233,342,0.479,0.574,0.383,0.866,0.619,0.575,16.2,121,113,10.6,5.6,0.142,2.4,-0.7,1.8,5.2,17.9,4.5,18.9,11.8,7,1,1.3,8.1,22.6
56,Desmond Bane,G,MEM,banede01,3256,2020-21,2022-23,22-24,202,151,5626,1192,2539,681,1338,511,1201,361,409,120,715,835,580,189,67,296,471,0.469,0.509,0.425,0.883,0.599,0.57,16,118,112,9.5,6.4,0.136,1.9,0.1,2,5.7,16.6,2.2,13.6,7.8,15.1,1.6,1.1,9.8,22.2
57,Saddiq Bey,F,ATLDET,beysa01,3240,2020-21,2022-23,21-23,229,172,6742,1082,2663,545,1175,537,1488,539,639,248,873,1121,446,195,43,227,361,0.406,0.464,0.361,0.844,0.55,0.507,11.1,113,116,6.6,4.5,0.079,0.7,-1.1,-0.4,2.8,13.8,3.9,14.7,9.1,10.3,1.4,0.6,7.2,20.2
58,D'Angelo Russell,G,LALMIN,russeda01,3235,2020-21,2022-23,24-26,178,162,5577,1127,2575,637,1257,490,1318,491,605,76,466,542,1141,177,69,463,338,0.438,0.507,0.372,0.812,0.569,0.533,11,113,116,7,4,0.095,2.4,-1.2,1.2,4.5,16.6,1.5,9.2,5.3,30.8,1.5,1.1,14,25
59,Andrew Wiggins,F-G,GSW,wiggian01,3209,2020-21,2022-23,25-27,181,181,5884,1230,2606,844,1614,386,992,363,545,228,630,858,413,188,149,285,424,0.472,0.523,0.389,0.666,0.564,0.546,11.3,109,111,3.9,7.4,0.092,0.1,-0.2,-0.1,2.9,14.9,4.3,11.4,7.9,10.8,1.5,2.3,9.1,22.9
60,Khris Middleton,F-G,MIL,middlkh01,3207,2020-21,2022-23,29-31,167,153,5211,1140,2501,776,1540,364,961,563,629,123,779,902,891,173,32,439,388,0.456,0.504,0.379,0.895,0.577,0.529,13.7,114,113,8.2,5.4,0.126,1.6,-0.3,1.3,4.4,18.1,2.6,15.3,9.1,25.3,1.6,0.6,13.6,26.1
61,Deandre Ayton,C,PHO,aytonde01,3197,2020-21,2022-23,22-24,194,194,5863,1394,2271,1376,2208,18,63,391,515,549,1438,1987,298,118,174,314,528,0.614,0.623,0.286,0.759,0.64,0.618,21.9,123,108,12.7,9.2,0.179,1.4,0.2,1.6,5.3,20.6,10.5,27,18.8,7.8,1,2.7,11.2,20.8
62,Christian Wood,F,DALHOU,woodch01,3192,2020-21,2022-23,25-27,176,125,5158,1165,2287,852,1466,313,821,549,811,273,1299,1572,347,118,185,327,428,0.509,0.581,0.381,0.677,0.604,0.578,12.4,114,113,7,5.4,0.116,1.9,-0.3,1.6,4.6,19.9,5.8,28.4,16.9,11.3,1.1,3.2,11,25
63,Anthony Davis,F-C,LAL,davisan02,3164,2020-21,2022-23,27-29,132,130,4470,1213,2270,1155,2026,58,244,680,902,363,1019,1382,380,153,263,278,303,0.534,0.57,0.238,0.754,0.593,0.547,17.2,118,107,9.4,7.8,0.185,3.5,1.7,5.1,8,25.1,9,24.3,16.7,14.4,1.6,5.1,9.4,28.2
64,Norman Powell,G,LACPORTOR,powelno01,3155,2020-21,2022-23,27-29,174,107,5230,1057,2233,666,1277,391,956,650,781,86,449,535,334,174,57,289,391,0.473,0.522,0.409,0.832,0.612,0.561,11,116,117,7.9,3.1,0.101,1.1,-0.9,0.1,2.9,16.5,1.8,9.6,5.6,10.2,1.6,1,10.1,23.8
65,LaMelo Ball,G,CHO,ballla01,3149,2020-21,2022-23,19-21,162,142,5159,1127,2647,671,1438,456,1209,439,530,213,821,1034,1188,246,59,519,491,0.426,0.467,0.377,0.828,0.547,0.512,10.5,109,112,4.9,5.6,0.098,2.6,0.1,2.7,6.2,18.6,4.3,17.3,10.7,35.9,2.3,1.1,15.3,28
66,Tyrese Haliburton,G,INDSAC,halibty01,3094,2020-21,2022-23,20-22,191,153,6324,1134,2369,691,1282,443,1087,383,447,133,556,689,1522,302,102,432,273,0.479,0.539,0.408,0.857,0.603,0.572,18.2,122,117,14.4,3.7,0.138,3.8,-0.1,3.7,9,19.2,2.3,9.8,6,35.5,2.3,1.4,14.4,20.2
67,Tyrese Maxey,G,PHI,maxeyty01,3017,2020-21,2022-23,20-22,196,123,5601,1120,2337,797,1556,323,781,454,529,60,460,520,653,130,53,209,367,0.479,0.512,0.414,0.858,0.587,0.548,14.6,119,115,9.9,4.7,0.125,1.1,-0.9,0.3,3.2,16.2,1.2,9.2,5.3,18.4,1.1,0.9,7.5,22.1
68,Rudy Gobert,C,MINUTA,goberru01,2981,2020-21,2022-23,28-30,207,207,6455,1113,1633,1113,1622,0,11,755,1153,712,2030,2742,248,141,422,359,549,0.682,0.686,0,0.655,0.696,0.682,30.8,132,104,17.7,13.1,0.229,1.7,1.7,3.4,8.8,22.4,12.4,33.2,23.1,5.6,1.1,5.5,14.4,16.7
69,Kelly Oubre Jr.,F,CHOGSW,oubreke01,2958,2020-21,2022-23,25-27,179,103,5234,1081,2475,692,1298,389,1177,407,574,226,654,880,211,202,91,201,451,0.437,0.533,0.331,0.709,0.542,0.515,7.1,107,113,2,5.1,0.065,-0.5,-1,-1.5,0.6,14.4,4.6,13.4,8.9,6.1,1.8,1.6,6.9,23.7
70,Chris Paul,G,PHO,paulch01,2926,2020-21,2022-23,35-37,194,194,6227,1096,2283,833,1565,263,718,471,543,74,772,846,1848,311,61,423,426,0.48,0.532,0.366,0.867,0.58,0.538,24.7,123,110,15.9,8.8,0.19,2.9,1.5,4.5,10.1,20.1,1.3,13.6,7.5,41.4,2.4,0.9,14.4,20.6
71,John Collins,F,ATL,collijo01,2918,2020-21,2022-23,23-25,188,187,5641,1127,2122,910,1498,217,624,447,551,288,1063,1351,261,109,192,223,577,0.531,0.607,0.348,0.811,0.617,0.582,16,121,114,10.6,5.4,0.136,0.7,0,0.7,3.9,17.4,5.6,20.5,13.1,6.9,0.9,3,8.6,19.8
72,Malcolm Brogdon,G,BOSIND,brogdma01,2873,2020-21,2022-23,28-30,159,92,4880,1041,2255,706,1398,335,857,456,528,133,626,759,789,124,47,290,290,0.462,0.505,0.391,0.864,0.578,0.536,12.7,117,115,8.7,4,0.125,2.7,-0.3,2.4,5.4,18,3,14,8.5,24.5,1.2,0.8,10.4,24.5
73,Kevin Huerter,G,ATLSAC,huertke01,2854,2020-21,2022-23,22-24,218,184,6517,1081,2357,576,1050,505,1307,187,247,112,624,736,665,217,68,267,531,0.459,0.549,0.386,0.757,0.579,0.566,11.3,115,116,7,4.3,0.083,0.1,-0.2,-0.1,3.1,13.1,1.9,10.5,6.3,14.5,1.6,0.9,9.8,18.2
74,Aaron Gordon,F,DENORL,gordoaa01,2853,2020-21,2022-23,25-27,193,193,5815,1094,2094,888,1485,206,609,459,693,366,803,1169,552,131,129,328,366,0.522,0.598,0.338,0.662,0.595,0.572,13.9,117,114,8.5,5.4,0.114,1.1,-0.6,0.5,3.7,16.6,7.2,15.2,11.3,14,1.1,2,12,20.4
75,Jalen Green,G,HOU,greenja05,2840,2021-22,2022-23,19-20,143,143,4740,972,2313,628,1301,344,1012,552,699,76,434,510,457,103,36,335,234,0.42,0.483,0.34,0.79,0.542,0.495,2.5,107,121,1.8,0.7,0.025,0.1,-2.5,-2.4,-0.5,13.6,1.7,10.1,5.9,15.4,1,0.7,11.3,26.1
76,Caris LeVert,G-F,BRKCLEIND,leverca01,2831,2020-21,2022-23,26-28,179,118,5504,1058,2410,765,1572,293,838,422,553,129,581,710,780,189,77,326,406,0.439,0.487,0.35,0.763,0.533,0.5,9,109,113,3.5,5.6,0.079,-0.2,-0.2,-0.4,2.3,14.7,2.7,11.9,7.3,21.3,1.7,1.2,10.9,23.6
