Rk,Player,Pos,Team,Player-additional,PTS,From,To,Age,G,GS,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,FG%,2P%,3P%,FT%,TS%,eFG%,WS,ORtg,DRtg,OWS,DWS,WS/48,OBPM,DBPM,BPM,VORP,PER,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%
316,Lamar Stevens,F,CLE,stevela01,876,2020-21,2022-23,23-25,165,38,2634,347,743,295,558,52,185,130,183,119,348,467,102,75,50,91,238,0.467,0.529,0.281,0.71,0.532,0.502,4,107,111,0.7,3.3,0.072,-3.3,0.2,-3.1,-0.7,10.4,5.2,15.1,10.1,5.6,1.4,1.7,10,15.4
317,Dwight Howard,C,LALPHI,howardw01,854,2020-21,2021-22,35-36,129,33,2167,312,522,299,487,13,35,217,356,308,628,936,96,64,98,159,315,0.598,0.614,0.371,0.61,0.629,0.61,7.5,119,105,3.5,4,0.166,-1.3,0.3,-0.9,0.6,18,15.7,31.2,23.6,6.2,1.4,4,19,16.6
318,Dean Wade,F,CLE,wadede01,851,2020-21,2022-23,24-26,158,60,3083,306,705,132,223,174,482,65,92,89,426,515,163,92,49,63,255,0.434,0.592,0.361,0.707,0.571,0.557,6.1,117,112,2.6,3.5,0.095,-1.9,1,-0.9,0.9,10.1,3.2,15.7,9.5,7.4,1.5,1.4,7.8,11.6
319,Dennis Smith Jr.,G,CHODETNYKPOR,smithde03,834,2020-21,2022-23,23-25,114,28,2448,323,786,274,590,49,196,139,196,59,251,310,470,143,51,159,211,0.411,0.464,0.25,0.709,0.478,0.442,2.1,103,113,-0.4,2.6,0.042,-2.9,1.3,-1.6,0.2,12.4,2.6,11.4,6.9,27.6,2.8,1.9,15.4,18
320,Danuel House Jr.,G,HOUNYKPHIUTA,houseda01,831,2020-21,2022-23,27-29,134,35,2466,283,667,148,284,135,383,130,181,45,292,337,157,55,42,95,187,0.424,0.521,0.352,0.718,0.556,0.525,2.8,109,116,1,1.8,0.054,-2.2,-0.4,-2.6,-0.4,9.6,2,13.2,7.6,8.9,1.1,1.5,11.3,14.8
321,DeAndre Jordan,C,BRKDENLALPHI,jordade01,831,2020-21,2022-23,32-34,144,71,2454,370,507,369,505,1,2,90,180,252,641,893,148,41,123,170,258,0.73,0.731,0.5,0.5,0.709,0.731,7.2,123,110,3.8,3.4,0.141,-0.9,0.7,-0.3,1.1,16.5,11.8,28.1,20.2,8.2,0.8,4.4,22.5,13.4
322,Otto Porter Jr.,F,CHIGSWORLTOR,porteot01,830,2020-21,2022-23,27-29,99,23,2148,306,673,181,336,125,337,93,111,120,413,533,157,95,33,66,131,0.455,0.539,0.371,0.838,0.575,0.548,6.6,119,107,3.1,3.6,0.148,0.5,1.5,2,2.2,15.4,6.3,20.7,13.6,10.3,2.2,1.4,8.4,15.9
323,Santi Aldama,F,MEM,aldamsa01,828,2021-22,2022-23,21-22,109,20,2042,300,657,200,343,100,314,128,176,118,340,458,118,51,58,76,179,0.457,0.583,0.318,0.727,0.564,0.533,4.9,116,111,2.1,2.8,0.115,-1,0.4,-0.6,0.7,13.3,6.1,17.7,11.9,7.6,1.2,2.6,9.4,16.4
324,George Hill,G,INDMILOKCPHI,hillge01,827,2020-21,2022-23,34-36,130,35,2759,291,638,185,329,106,309,139,167,69,232,301,303,91,17,106,156,0.456,0.562,0.343,0.832,0.581,0.539,5.5,119,115,3.2,2.3,0.096,-2,0.5,-1.4,0.4,11.1,2.7,8.8,5.8,14.6,1.6,0.6,13,12.6
325,Hassan Whiteside,C,SACUTA,whiteha01,827,2020-21,2021-22,31-32,101,12,1708,341,554,341,553,0,1,145,246,227,482,709,46,31,149,93,252,0.616,0.617,0,0.589,0.624,0.616,6.7,122,106,3.7,3,0.188,-0.1,0.9,0.7,1.2,21.7,14.9,30.5,22.8,4.1,0.9,7.6,12.3,19.2
