"school","logo","type","color","alt_color","wordmark","belong","g","w","l","w_l_percent","srs","sos","offense_mp","offense_fg","offense_fga","offense_fg_percent","offense_x3p","offense_x3pa","offense_x3p_percent","offense_ft","offense_fta","offense_ft_percent","offense_orb","offense_trb","offense_ast","offense_stl","offense_blk","offense_tov","offense_pf","defense_mp","defense_fg","defense_fga","defense_fg_percent","defense_x3p","defense_x3pa","defense_x3p_percent","defense_ft","defense_fta","defense_ft_percent","defense_orb","defense_trb","defense_ast","defense_stl","defense_blk","defense_tov","defense_pf","offense_pace","offense_o_rtg","offense_f_tr","offense_x3p_ar","offense_ts_percent","offense_trb_percent","offense_ast_percent","offense_stl_percent","offense_blk_percent","offense_e_fg_percent","offense_tov_percent","offense_orb_percent","offense_ft_fga","defense_pace","defense_o_rtg","defense_f_tr","defense_x3p_ar","defense_ts_percent","defense_trb_percent","defense_ast_percent","defense_stl_percent","defense_blk_percent","defense_e_fg_percent","defense_tov_percent","defense_orb_percent","defense_ft_fga","offense_x2p_percent","offense_drb_percent"
"Kansas","http://a.espncdn.com/i/teamlogos/ncaa/500/2305.png","P5","#0022B4","#e8000d","https://raw.githubusercontent.com/sportsdataverse/cfbplotR/main/data-raw/wordmarks/1709_kansas_jayhawks-wordmark-2006.png",1,9,8,1,0.889,19.92,5.92,360,274,511,0.536,63,163,0.387,115,168,0.685,66,348,205,65,44,111,124,360,212,578,0.367,75,253,0.296,88,127,0.693,98,298,99,64,22,103,154,71.1,113.4,0.329,0.319,0.614,53.9,74.8,10.2,13.5,0.598,15.8,24.8,0.225,71.1,91.7,0.22,0.438,0.46,46.1,46.7,10,6.3,0.432,13.9,25.8,0.152,0.60632183908046,74.2
"Kentucky","http://a.espncdn.com/i/teamlogos/ncaa/500/96.png","P5","#005DAA","#ffffff","https://raw.githubusercontent.com/sportsdataverse/cfbplotR/main/data-raw/wordmarks/kentucky_wildcats_logo_wordmark_20162011.png",1,8,6,2,0.75,17.87,-0.63,325,267,528,0.506,88,212,0.415,112,151,0.742,70,299,160,76,38,70,114,325,208,503,0.414,72,220,0.327,98,140,0.7,84,295,113,41,20,117,129,74,122.1,0.286,0.402,0.612,50.3,59.9,12.6,13.4,0.589,10.5,24.9,0.212,74,97.5,0.278,0.437,0.514,49.7,54.3,6.8,6.3,0.485,17,26.8,0.195,0.566455696202532,73.2
"Memphis","http://a.espncdn.com/i/teamlogos/ncaa/500/235.png","G5","#002447","#231f20","https://raw.githubusercontent.com/sportsdataverse/cfbplotR/main/data-raw/wordmarks/memphis_tigers_logo_wordmark_2021_sportslogosnet-8745.png",0,8,6,2,0.75,8.94,3.44,325,222,488,0.455,65,185,0.351,127,175,0.726,89,300,103,69,41,110,142,325,208,516,0.403,72,214,0.336,104,142,0.732,111,314,97,54,35,114,155,72.5,108,0.359,0.379,0.557,48.9,46.4,11.7,13.6,0.522,16.1,30.5,0.26,72.5,100.5,0.275,0.415,0.507,51.1,46.6,9.2,11.6,0.473,16.3,34.5,0.202,0.518151815181518,65.5
"Miami","http://a.espncdn.com/i/teamlogos/ncaa/500/2390.png","P5","#004325","#f0f0f0","https://raw.githubusercontent.com/sportsdataverse/cfbplotR/main/data-raw/wordmarks/2537_miami_wordmark.png",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mississippi State","http://a.espncdn.com/i/teamlogos/ncaa/500/344.png","P5","#762123","#c8c8c8","https://raw.githubusercontent.com/sportsdataverse/cfbplotR/main/data-raw/wordmarks/8440_mississippi_state_bulldogs-wordmark-2009.png",0,8,6,2,0.75,13.77,2.4,320,196,473,0.414,62,212,0.292,119,164,0.726,98,335,108,68,28,111,130,320,169,462,0.366,45,177,0.254,99,145,0.683,77,276,74,69,23,106,144,70.2,102,0.347,0.448,0.52,54.8,55.1,12.1,9.8,0.48,16.8,33,0.252,70.2,85.8,0.314,0.383,0.454,45.2,43.8,12.3,8.8,0.415,16.6,24.5,0.214,0.513409961685824,75.5
"New Mexico","http://a.espncdn.com/i/teamlogos/ncaa/500/167.png","G5","#000000","#231f20","https://raw.githubusercontent.com/sportsdataverse/cfbplotR/main/data-raw/wordmarks/new_mexico_lobos_logo_secondary_2017_sportslogosnet-2427.png",0,9,8,1,0.889,18.3,0.3,360,279,584,0.478,61,170,0.359,149,213,0.7,110,370,154,76,42,92,166,360,208,527,0.395,57,188,0.303,133,185,0.719,85,315,105,49,35,135,179,74,115.3,0.365,0.291,0.56,54,55.2,11.4,12.4,0.53,11.8,32.4,0.255,74,91,0.351,0.357,0.493,46,50.5,7.4,8.5,0.449,18,24.6,0.252,0.526570048309179,75.4
"New Mexico State","http://a.espncdn.com/i/teamlogos/ncaa/500/166.png","G5","#891216","#000000","https://raw.githubusercontent.com/sportsdataverse/cfbplotR/main/data-raw/wordmarks/new_mexico_state_aggies_logo_wordmark_20056268.png",0,10,4,6,0.4,-13.54,5.6,410,247,575,0.43,67,197,0.34,157,220,0.714,93,356,133,66,21,127,216,410,238,559,0.426,94,266,0.353,177,259,0.683,87,331,150,73,29,124,182,69.9,100.3,0.383,0.343,0.528,51.8,53.8,9.2,7.2,0.488,15.7,27.6,0.273,69.9,104.3,0.463,0.476,0.548,48.2,63,10.2,7.7,0.51,15.4,24.9,0.317,0.476190476190476,75.1
"North Carolina","http://a.espncdn.com/i/teamlogos/ncaa/500/153.png","P5","#99bfe5","#13294b","https://raw.githubusercontent.com/sportsdataverse/cfbplotR/main/data-raw/wordmarks/north_carolina_tar_heels_logo_wordmark_19965588.png",1,9,7,2,0.778,17.72,6.28,365,253,553,0.458,69,192,0.359,191,252,0.758,108,349,131,48,39,91,148,365,242,563,0.43,74,227,0.326,105,141,0.745,84,305,108,52,29,110,195,71.9,116.8,0.456,0.347,0.569,53.4,51.8,7.3,11.6,0.52,11.9,32.8,0.345,71.9,101.1,0.25,0.403,0.526,46.6,44.6,7.9,8,0.496,14.9,25.8,0.187,0.509695290858726,74.2
"North Texas","http://a.espncdn.com/i/teamlogos/ncaa/500/249.png","G5","#00853D","#000000","https://raw.githubusercontent.com/sportsdataverse/cfbplotR/main/data-raw/wordmarks/north_texas_mean_green_logo_wordmark_20051155.png",0,8,5,3,0.625,7.32,-1.82,325,192,434,0.442,66,176,0.375,109,140,0.779,91,283,88,60,18,99,131,325,163,412,0.396,44,143,0.308,96,137,0.701,76,238,72,53,21,113,128,62.9,109.4,0.323,0.406,0.558,54.3,45.8,11.7,6.7,0.518,16.5,36,0.251,62.9,91.2,0.333,0.347,0.488,45.7,44.2,10.4,8.1,0.449,19.2,28.4,0.233,0.488372093023256,71.6
"Oklahoma","http://a.espncdn.com/i/teamlogos/ncaa/500/201.png","P5","#7b0000","#cccccc","https://raw.githubusercontent.com/sportsdataverse/cfbplotR/main/data-raw/wordmarks/oklahoma_sooners_logo_wordmark_2008_sportslogosnet-1138.png",1,8,8,0,1,19.18,-4.32,320,251,493,0.509,65,186,0.349,117,148,0.791,93,322,121,63,40,100,119,320,181,475,0.381,41,157,0.261,93,128,0.727,80,246,72,50,32,114,140,71.3,120,0.3,0.377,0.607,56.7,48.2,11.1,12.6,0.575,15.1,35.9,0.237,71.3,87,0.269,0.331,0.463,43.3,39.8,8.8,10.4,0.424,17.5,25.9,0.196,0.60586319218241,74.1
