"school","logo","type","color","alt_color","wordmark","g","w","l","w_l_percent","srs","sos","offense_mp","offense_fg","offense_fga","offense_fg_percent","offense_x3p","offense_x3pa","offense_x3p_percent","offense_ft","offense_fta","offense_ft_percent","offense_orb","offense_trb","offense_ast","offense_stl","offense_blk","offense_tov","offense_pf","defense_mp","defense_fg","defense_fga","defense_fg_percent","defense_x3p","defense_x3pa","defense_x3p_percent","defense_ft","defense_fta","defense_ft_percent","defense_orb","defense_trb","defense_ast","defense_stl","defense_blk","defense_tov","defense_pf","offense_pace","offense_o_rtg","offense_f_tr","offense_x3p_ar","offense_ts_percent","offense_trb_percent","offense_ast_percent","offense_stl_percent","offense_blk_percent","offense_e_fg_percent","offense_tov_percent","offense_orb_percent","offense_ft_fga","defense_pace","defense_o_rtg","defense_f_tr","defense_x3p_ar","defense_ts_percent","defense_trb_percent","defense_ast_percent","defense_stl_percent","defense_blk_percent","defense_e_fg_percent","defense_tov_percent","defense_orb_percent","defense_ft_fga","offense_x2p_percent","offense_drb_percent"
"Stanford","http://a.espncdn.com/i/teamlogos/ncaa/500/24.png","P5","#A80532","#ffffff","https://raw.githubusercontent.com/sportsdataverse/cfbplotR/main/data-raw/wordmarks/stanford_cardinal_logo_wordmark_2015_sportslogosnet-4752.png",8,4,4,0.5,3.43,-0.82,330,239,505,0.473,74,209,0.354,90,128,0.703,66,286,147,55,27,97,131,330,227,526,0.432,66,183,0.361,88,124,0.71,91,309,93,53,18,100,139,72.2,107.9,0.253,0.414,0.567,48.1,61.5,9.2,7.9,0.547,14.6,23.2,0.178,72.2,102.2,0.236,0.348,0.52,51.9,41,8.9,6.1,0.494,14.6,29.3,0.167,0.557432432432432,70.7
"Syracuse","http://a.espncdn.com/i/teamlogos/ncaa/500/183.png","P5","#F37321","#0d1d37","https://raw.githubusercontent.com/sportsdataverse/cfbplotR/main/data-raw/wordmarks/syracuse_orange_logo_wordmark_2015_sportslogosnet-2819.png",9,6,3,0.667,8.32,7.94,360,254,586,0.433,71,219,0.324,113,156,0.724,106,347,122,79,49,107,129,360,240,567,0.423,69,218,0.317,91,138,0.659,114,359,130,60,22,138,140,73.2,105,0.266,0.374,0.524,49.2,48,12,14,0.494,13.9,30.2,0.193,73.2,97.1,0.243,0.384,0.506,50.8,54.2,9.1,6,0.484,17.9,32.1,0.16,0.498637602179836,67.9
"UCLA","http://a.espncdn.com/i/teamlogos/ncaa/500/26.png","P5","#005C8E","#ffc72c","https://raw.githubusercontent.com/sportsdataverse/cfbplotR/main/data-raw/wordmarks/ucla_bruins_logo_wordmark_2017_sportslogosnet-6926.png",7,5,2,0.714,8.32,-2.35,280,176,384,0.458,30,96,0.313,115,155,0.742,75,255,95,46,26,81,129,280,134,361,0.371,56,183,0.306,81,123,0.659,54,196,70,36,14,96,148,66.1,107.3,0.404,0.25,0.543,56.5,54,9.9,14.6,0.497,15,34.6,0.299,66.1,87.5,0.341,0.507,0.483,43.5,52.2,7.8,4.9,0.449,18.6,23.1,0.224,0.506944444444444,76.9
"USC","http://a.espncdn.com/i/teamlogos/ncaa/500/30.png","P5","#AE2531","#ffc72c","https://raw.githubusercontent.com/sportsdataverse/cfbplotR/main/data-raw/wordmarks/southern_california_trojans_logo_wordmark_20162572.png",8,5,3,0.625,12.69,5.06,320,215,461,0.466,66,178,0.371,135,183,0.738,85,295,116,51,44,105,120,320,212,510,0.416,67,201,0.333,79,116,0.681,102,293,120,50,22,105,158,71,111.1,0.397,0.386,0.576,50.2,54,9,14.2,0.538,16.1,30.8,0.293,71,100.4,0.227,0.394,0.504,49.8,56.6,8.8,7.8,0.481,15.7,32.7,0.155,0.526501766784452,67.3
"Utah","http://a.espncdn.com/i/teamlogos/ncaa/500/254.png","P5","#890012","#7e8083","https://raw.githubusercontent.com/sportsdataverse/cfbplotR/main/data-raw/wordmarks/4760_utah_utes-wordmark-2015.png",8,6,2,0.75,14.58,5.33,320,231,480,0.481,64,169,0.379,127,178,0.713,86,314,136,55,28,95,120,320,215,496,0.433,78,217,0.359,71,112,0.634,73,261,116,49,19,87,155,71,115,0.371,0.352,0.578,54.6,58.9,9.7,10,0.548,14.4,31.4,0.265,71,101.9,0.226,0.438,0.527,45.4,54,8.6,6.1,0.512,13.7,24.3,0.143,0.536977491961415,75.7
"UTEP","http://a.espncdn.com/i/teamlogos/ncaa/500/2638.png","G5","#002843","#ff6f12","https://raw.githubusercontent.com/sportsdataverse/cfbplotR/main/data-raw/wordmarks/2713_utep-wordmark.png",9,6,3,0.667,-3.25,-2.59,360,262,545,0.481,51,174,0.293,162,240,0.675,112,345,158,104,37,129,182,360,205,504,0.407,54,178,0.303,149,209,0.713,94,307,94,66,30,166,189,75.1,109,0.44,0.319,0.559,52.9,60.3,15.4,11.3,0.528,16.4,34.5,0.297,75.1,90.7,0.415,0.353,0.508,47.1,45.9,9.8,8.1,0.46,21.6,28.7,0.296,0.568733153638814,71.3
"Washington","http://a.espncdn.com/i/teamlogos/ncaa/500/264.png","P5","#2B2F64","#e8e3d3","https://raw.githubusercontent.com/sportsdataverse/cfbplotR/main/data-raw/wordmarks/washington_huskies_logo_wordmark_2016_sportslogosnet-3187.png",8,5,3,0.625,17.18,7.05,325,242,508,0.476,56,174,0.322,122,173,0.705,96,320,137,54,43,98,157,325,200,503,0.398,53,186,0.285,128,184,0.696,107,294,101,52,22,101,152,72.4,112.6,0.341,0.343,0.561,52.1,56.6,9.2,13.6,0.531,14.2,33.9,0.24,72.4,98.8,0.366,0.37,0.492,47.9,50.5,8.8,6.6,0.45,14.6,32.3,0.254,0.55688622754491,67.7
"Washington State","http://a.espncdn.com/i/teamlogos/ncaa/500/265.png","P5","#94022a","#6a747c","https://raw.githubusercontent.com/sportsdataverse/cfbplotR/main/data-raw/wordmarks/1054_washington_state_cougars-wordmark-2011.png",8,7,1,0.875,17.37,-1.26,320,242,483,0.501,53,159,0.333,104,158,0.658,95,323,109,52,53,79,153,320,162,448,0.362,44,166,0.265,124,162,0.765,77,250,71,40,17,97,147,67.9,117.8,0.327,0.329,0.574,56.4,45,9.6,18.8,0.556,12.4,35.4,0.215,67.9,90.4,0.362,0.371,0.469,43.6,43.8,7.4,5.2,0.411,15.6,25.2,0.277,0.583333333333333,74.8
"Florida A&M","http://a.espncdn.com/i/teamlogos/ncaa/500/50.png","FCS","#F89728","#00843d","https://raw.githubusercontent.com/sportsdataverse/cfbplotR/main/data-raw/wordmarks/1146_florida_a&m_rattlers-wordmark-2013.png",6,1,5,0.167,-10.81,10.59,250,147,371,0.396,23,81,0.284,63,85,0.741,62,201,71,47,20,83,130,250,156,341,0.457,61,150,0.407,121,181,0.669,75,247,82,44,26,77,85,68.9,88.2,0.229,0.218,0.462,44.9,48.3,10.9,10.5,0.427,16.8,26.5,0.17,68.9,114.6,0.531,0.44,0.578,55.1,52.6,10.2,9,0.547,15.3,35,0.355,0.427586206896552,65
"Montana","http://a.espncdn.com/i/teamlogos/ncaa/500/149.png","FCS","#751D4A","#666666",NA,8,4,4,0.5,1.52,8.02,320,222,480,0.463,46,156,0.295,101,135,0.748,77,292,124,33,23,86,148,320,191,451,0.424,54,170,0.318,122,174,0.701,68,275,87,49,25,81,128,68.7,107.5,0.281,0.325,0.543,51.5,55.9,6,8.2,0.51,13.6,27.1,0.21,68.7,101.5,0.386,0.377,0.523,48.5,45.5,8.9,7.7,0.483,13.2,24,0.271,0.54320987654321,76
"Tennessee State","http://a.espncdn.com/i/teamlogos/ncaa/500/2634.png","FCS","#383C84","#f0f0f0","https://raw.githubusercontent.com/sportsdataverse/cfbplotR/main/data-raw/wordmarks/tennessee_state_tigers_logo_wordmark_2021_sportslogosnet-3501.png",9,6,3,0.667,-7.68,-7.68,365,246,546,0.451,61,188,0.324,137,192,0.714,102,323,123,68,24,115,159,365,219,516,0.424,65,183,0.355,130,181,0.718,100,321,103,59,36,148,157,71.2,106.2,0.352,0.344,0.541,50.2,50,10.5,7.2,0.506,15.3,31.6,0.251,71.2,97.4,0.351,0.355,0.526,49.8,47,9.1,10.1,0.487,19.7,31.2,0.252,0.516759776536313,68.8
"California Baptist","https://a.espncdn.com/i/teamlogos/ncaa/500/2856.png","hoopR","#000000","#ffffff","https://raw.githubusercontent.com/sportsdataverse/cfbplotR/main/data-raw/wordmarks/california_baptist_lancers_logo_wordmark_2017_sportslogosnet-1235.png",8,6,2,0.75,2.23,-5.44,320,194,455,0.426,60,175,0.343,131,199,0.658,110,327,100,41,20,98,120,320,192,454,0.423,42,132,0.318,80,115,0.696,62,257,80,44,26,96,163,67.5,107.2,0.437,0.385,0.527,56,51.5,7.6,6.2,0.492,15.1,36.1,0.288,67.5,93.7,0.253,0.291,0.497,44,41.7,8.1,9.3,0.469,15.9,22.2,0.176,0.478571428571429,77.8
"Santa Clara","https://a.espncdn.com/i/teamlogos/ncaa/500/2541.png","hoopR","#690b0b","#101010","https://raw.githubusercontent.com/sportsdataverse/cfbplotR/main/data-raw/wordmarks/santa_clara_broncos_logo_wordmark_2016_sportslogosnet-1746.png",9,7,2,0.778,2.83,-3.17,360,271,570,0.475,79,218,0.362,92,145,0.634,121,372,144,51,27,110,143,360,225,550,0.409,70,211,0.332,108,147,0.735,84,291,114,61,17,104,141,70.4,112.5,0.254,0.382,0.558,56.1,53.1,8,8,0.545,14.7,36.9,0.161,70.4,99.1,0.267,0.384,0.507,43.9,50.7,9.6,4.8,0.473,14.4,25.1,0.196,0.545454545454545,74.9
