opponent,ESPN_name,KP_name,SRurl
Auburn,,,https://www.sports-reference.com/cbb/schools/florida/men/2024.html
Ole Miss,,Mississippi,https://www.sports-reference.com/cbb/schools/mississippi/men/2024.html
Missouri,,,https://www.sports-reference.com/cbb/schools/missouri/men/2024.html
Arkansas,,,https://www.sports-reference.com/cbb/schools/arkansas/men/2024.html
LSU,,,https://www.sports-reference.com/cbb/schools/louisiana-state/men/2024.html
Texas A&M,,,https://www.sports-reference.com/cbb/schools/texas-am/men/2024.html
Oregon,,,https://www.sports-reference.com/cbb/schools/oregon/men/2024.html
Clemson,,,https://www.sports-reference.com/cbb/schools/clemson/men/2024.html
New Mexico,,,https://www.sports-reference.com/cbb/schools/new-mexico/men/2024.html
Mississippi State,,,https://www.sports-reference.com/cbb/schools/mississippi-state/men/2024.html
