"school","logo","type","color","alt_color","wordmark","g","w","l","w_l_percent","srs","sos","offense_mp","offense_fg","offense_fga","offense_fg_percent","offense_x3p","offense_x3pa","offense_x3p_percent","offense_ft","offense_fta","offense_ft_percent","offense_orb","offense_trb","offense_ast","offense_stl","offense_blk","offense_tov","offense_pf","defense_mp","defense_fg","defense_fga","defense_fg_percent","defense_x3p","defense_x3pa","defense_x3p_percent","defense_ft","defense_fta","defense_ft_percent","defense_orb","defense_trb","defense_ast","defense_stl","defense_blk","defense_tov","defense_pf","offense_pace","offense_o_rtg","offense_f_tr","offense_x3p_ar","offense_ts_percent","offense_trb_percent","offense_ast_percent","offense_stl_percent","offense_blk_percent","offense_e_fg_percent","offense_tov_percent","offense_orb_percent","offense_ft_fga","defense_pace","defense_o_rtg","defense_f_tr","defense_x3p_ar","defense_ts_percent","defense_trb_percent","defense_ast_percent","defense_stl_percent","defense_blk_percent","defense_e_fg_percent","defense_tov_percent","defense_orb_percent","defense_ft_fga","offense_x2p_percent","offense_drb_percent"
"NC State","http://a.espncdn.com/i/teamlogos/ncaa/500/152.png","P5","#EF1216","#231f20","https://raw.githubusercontent.com/sportsdataverse/cfbplotR/main/data-raw/wordmarks/north_carolina_state_wolfpack_logo_wordmark_2011_sportslogosnet-5725.png",8,6,2,0.75,9.58,-0.67,325,235,514,0.457,58,175,0.331,114,157,0.726,91,301,112,67,22,78,145,325,195,458,0.426,56,167,0.335,114,171,0.667,84,293,95,43,26,117,135,70.6,111.8,0.305,0.34,0.545,50.7,47.7,11.7,7.6,0.514,11.7,30.3,0.222,70.6,97.6,0.373,0.365,0.519,49.3,48.7,7.5,7.7,0.487,17.8,28.6,0.249,0.52212389380531,71.4
"North Carolina","http://a.espncdn.com/i/teamlogos/ncaa/500/153.png","P5","#99bfe5","#13294b","https://raw.githubusercontent.com/sportsdataverse/cfbplotR/main/data-raw/wordmarks/north_carolina_tar_heels_logo_wordmark_19965588.png",9,7,2,0.778,17.72,6.28,365,253,553,0.458,69,192,0.359,191,252,0.758,108,349,131,48,39,91,148,365,242,563,0.43,74,227,0.326,105,141,0.745,84,305,108,52,29,110,195,71.9,116.8,0.456,0.347,0.569,53.4,51.8,7.3,11.6,0.52,11.9,32.8,0.345,71.9,101.1,0.25,0.403,0.526,46.6,44.6,7.9,8,0.496,14.9,25.8,0.187,0.509695290858726,74.2
"Notre Dame","http://a.espncdn.com/i/teamlogos/ncaa/500/87.png","P5","#00122b","#ae9142","https://raw.githubusercontent.com/sportsdataverse/cfbplotR/main/data-raw/wordmarks/notre_dame_fighting_irish_logo_wordmark_2015_sportslogosnet-5359.png",8,4,4,0.5,0.37,1.5,325,186,449,0.414,55,196,0.281,92,126,0.73,77,291,89,41,22,103,121,325,193,467,0.413,53,164,0.323,89,120,0.742,75,274,92,54,26,85,122,65.8,97.2,0.281,0.437,0.51,51.5,47.8,7.7,7.3,0.476,16.8,27.9,0.205,65.8,98.9,0.257,0.351,0.504,48.5,47.7,10.1,10.3,0.47,14,26,0.191,0.517786561264822,74
"Pittsburgh","http://a.espncdn.com/i/teamlogos/ncaa/500/221.png","P5","#003263","#231f20","https://raw.githubusercontent.com/sportsdataverse/cfbplotR/main/data-raw/wordmarks/9267_pittsburgh_panthers-wordmark-1997.png",9,6,3,0.667,15.92,-0.86,360,251,564,0.445,94,270,0.348,147,216,0.681,122,390,138,54,48,84,147,360,210,532,0.395,56,215,0.26,116,161,0.72,70,294,111,48,30,97,171,70.2,117.6,0.383,0.479,0.557,57,55,8.5,15.1,0.528,11.2,35.3,0.261,70.2,93.7,0.303,0.404,0.486,43,52.9,7.6,10.2,0.447,13.7,20.7,0.218,0.534013605442177,79.3
"South Carolina","http://a.espncdn.com/i/teamlogos/ncaa/500/2579.png","P5","#670010","#000000","https://raw.githubusercontent.com/sportsdataverse/cfbplotR/main/data-raw/wordmarks/south_carolina_gamecocks_logo_alternate_2008_sportslogosnet-4735.png",8,7,1,0.875,13.27,3.02,320,210,459,0.458,76,194,0.392,108,154,0.701,80,282,119,45,26,80,137,320,182,445,0.409,49,144,0.34,109,152,0.717,72,263,91,42,30,90,142,66.7,113.1,0.336,0.423,0.568,51.7,56.7,8.4,8.6,0.54,13.1,29.5,0.235,66.7,97.8,0.342,0.324,0.505,48.3,50,7.9,11.3,0.464,14.8,26.3,0.245,0.505660377358491,73.7
"Syracuse","http://a.espncdn.com/i/teamlogos/ncaa/500/183.png","P5","#F37321","#0d1d37","https://raw.githubusercontent.com/sportsdataverse/cfbplotR/main/data-raw/wordmarks/syracuse_orange_logo_wordmark_2015_sportslogosnet-2819.png",9,6,3,0.667,8.32,7.94,360,254,586,0.433,71,219,0.324,113,156,0.724,106,347,122,79,49,107,129,360,240,567,0.423,69,218,0.317,91,138,0.659,114,359,130,60,22,138,140,73.2,105,0.266,0.374,0.524,49.2,48,12,14,0.494,13.9,30.2,0.193,73.2,97.1,0.243,0.384,0.506,50.8,54.2,9.1,6,0.484,17.9,32.1,0.16,0.498637602179836,67.9
"TCU","http://a.espncdn.com/i/teamlogos/ncaa/500/2628.png","P5","#3C377D","#f1f2f3","https://raw.githubusercontent.com/sportsdataverse/cfbplotR/main/data-raw/wordmarks/tcu_horned_frogs_logo_wordmark_2013_sportslogosnet-8595.png",7,7,0,1,13.28,-12.29,280,243,454,0.535,46,136,0.338,110,146,0.753,81,275,155,83,43,90,119,280,172,409,0.421,43,122,0.352,76,125,0.608,70,212,92,47,20,129,113,75.7,121.1,0.322,0.3,0.613,56.5,63.8,15.7,15,0.586,14.7,36.3,0.242,75.7,87.4,0.306,0.298,0.494,43.5,53.5,8.9,6.3,0.473,21.6,26.5,0.186,0.619496855345912,73.5
"UAB","http://a.espncdn.com/i/teamlogos/ncaa/500/5.png","G5","#003b28","#ffc845","https://raw.githubusercontent.com/sportsdataverse/cfbplotR/main/data-raw/wordmarks/uab_blazers_logo_wordmark_2015_sportslogosnet-3373.png",8,4,4,0.5,0.15,1.9,325,203,476,0.426,38,140,0.271,141,197,0.716,106,305,85,56,39,95,133,325,215,475,0.453,59,177,0.333,110,162,0.679,85,282,108,62,39,94,157,68.9,104.5,0.414,0.294,0.514,52,41.9,10,13.1,0.466,14.3,35,0.296,68.9,107,0.341,0.373,0.543,48,50.2,11.1,11.6,0.515,14.6,29.9,0.232,0.491071428571429,70.1
"Virginia","http://a.espncdn.com/i/teamlogos/ncaa/500/258.png","P5","#00204e","#002d62","https://raw.githubusercontent.com/sportsdataverse/cfbplotR/main/data-raw/wordmarks/8905_virginia_cavaliers-wordmark-2020.png",9,8,1,0.889,17.96,3.18,360,221,475,0.465,66,168,0.393,104,152,0.684,70,298,144,80,56,75,125,360,169,486,0.348,48,184,0.261,93,132,0.705,114,320,92,47,21,127,134,61.9,109.9,0.32,0.354,0.559,48.2,65.2,14.4,18.5,0.535,12.1,25.4,0.219,61.9,86,0.272,0.379,0.436,51.8,54.4,8.4,6.8,0.397,18.8,33.3,0.191,0.504885993485342,66.7
"Virginia Tech","http://a.espncdn.com/i/teamlogos/ncaa/500/259.png","P5","#74232D","#c2c1ba","https://raw.githubusercontent.com/sportsdataverse/cfbplotR/main/data-raw/wordmarks/virginia_tech_hokies_logo_wordmark_2016_sportslogosnet-6021.png",9,6,3,0.667,11.17,5.28,360,217,500,0.434,65,195,0.333,171,213,0.803,84,304,137,59,21,103,148,360,218,502,0.434,63,187,0.337,118,165,0.715,85,296,105,54,33,126,167,69,107.9,0.426,0.39,0.557,50.7,63.1,9.5,6.7,0.499,14.6,28.5,0.342,69,99.4,0.329,0.373,0.532,49.3,48.2,8.7,10.8,0.497,17.8,27.9,0.235,0.498360655737705,72.1
"Wake Forest","http://a.espncdn.com/i/teamlogos/ncaa/500/154.png","P5","#9E7E38","#000000","https://raw.githubusercontent.com/sportsdataverse/cfbplotR/main/data-raw/wordmarks/2196_wake_forest_demon_deacons-wordmark-2007.png",8,5,3,0.625,9.93,2.18,325,220,470,0.468,64,181,0.354,124,157,0.79,71,278,95,48,38,88,119,325,205,486,0.422,54,161,0.335,102,142,0.718,90,279,82,53,29,94,146,68.9,112.1,0.334,0.385,0.577,49.9,43.2,8.6,11.7,0.536,13.9,27.3,0.264,68.9,101.1,0.292,0.331,0.511,50.1,40,9.5,10,0.477,14.5,30.3,0.21,0.539792387543253,69.7
"Alcorn State","http://a.espncdn.com/i/teamlogos/ncaa/500/2016.png","FCS","#4b0058","#46166a","https://raw.githubusercontent.com/sportsdataverse/cfbplotR/main/data-raw/wordmarks/1722_alcorn_state_braves-wordmark-2004.png",8,1,7,0.125,-11.89,7.54,320,196,480,0.408,40,127,0.315,121,185,0.654,84,267,82,63,12,87,157,320,230,474,0.485,87,231,0.377,134,195,0.687,92,312,160,52,39,97,157,71.4,96.8,0.385,0.265,0.487,46.1,41.8,11,4.9,0.45,13.3,27.6,0.252,71.4,119.3,0.411,0.487,0.601,53.9,69.6,9.1,11,0.577,14.6,33.5,0.283,0.441926345609065,66.5
"Davidson","http://a.espncdn.com/i/teamlogos/ncaa/500/2166.png","FCS","#000000","#e51837","https://raw.githubusercontent.com/sportsdataverse/cfbplotR/main/data-raw/wordmarks/8863_davidson_wildcats-wordmark-2010.png",9,6,3,0.667,3.62,2,360,219,494,0.443,73,217,0.336,125,174,0.718,85,307,113,61,20,95,125,360,226,521,0.434,70,214,0.327,78,114,0.684,88,302,119,50,27,98,159,65.1,108.5,0.352,0.439,0.551,50.4,51.6,10.4,6.5,0.517,14.1,28.4,0.253,65.1,102.4,0.219,0.411,0.522,49.6,52.7,8.5,9.7,0.501,14.6,28.4,0.15,0.527075812274368,71.6
"Radford","https://a.espncdn.com/i/teamlogos/ncaa/500/2515.png","hoopR","#BC1515","#c2c3c0","https://raw.githubusercontent.com/sportsdataverse/cfbplotR/main/data-raw/wordmarks/radford-wordmark.png",10,6,4,0.6,-1.76,-0.76,400,277,586,0.473,80,200,0.4,120,165,0.727,109,386,119,62,33,131,175,400,234,594,0.394,65,235,0.277,145,202,0.718,114,336,110,61,30,104,161,68.3,110.4,0.282,0.341,0.567,53.5,43,9.1,9.2,0.541,16.5,32.9,0.205,68.3,99.3,0.34,0.396,0.491,46.5,47,8.9,7.8,0.449,13.1,29.2,0.244,0.510362694300518,70.8
"Winthrop","https://a.espncdn.com/i/teamlogos/ncaa/500/2737.png","hoopR","#9e0b0e","#fdb41e","https://raw.githubusercontent.com/sportsdataverse/cfbplotR/main/data-raw/wordmarks/winthrop_eagles_logo_alternate_19954644.png",10,7,3,0.7,-1.18,-5.56,400,264,568,0.465,76,217,0.35,200,277,0.722,120,370,116,73,26,117,161,400,230,571,0.403,75,264,0.284,139,177,0.785,109,332,120,69,42,136,222,68.9,116.7,0.488,0.382,0.575,52.7,43.9,10.6,8.5,0.532,14.3,35,0.352,68.9,97.8,0.31,0.462,0.514,47.3,52.2,10,12,0.468,17.2,30.4,0.243,0.535612535612536,69.6
