"#","URL","first","last","Team","Class","Pos","Height","Weight","GP","GS","MPG","Poss%","USG%","PG","SG","SF","PF","C","PER","OBPM","DBPM","BPM","PPG","FD/40","2P%","3P%","3PAr","eFG%","TS%","FT%","FTr","ApG","AST:TO","AST%","TOV%","ORB%","DRB%","TRB%","STL%","BLK%","FC/40","All Players","Guards","Wings","Bigs","Starters","Lefties"
0,"https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4592673.png&w=350&h=254","Ben","Olesen","Washington State",NA,"G",NA,NA,5,0,1.8,NA,23.5,NA,NA,NA,NA,NA,-23.3,-27.8,-7.5,-35.3,0,NA,0,0,75,0,0,NA,0,0,NA,0,0,0,13.8,6.7,0,0,NA,1,NA,NA,NA,0,0
20,"https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/5105657.png&w=350&h=254","AJ","Rohosy","Washington State",NA,"F",NA,NA,1,0,3,NA,17.6,NA,NA,NA,NA,NA,-5.8,-11.1,9.7,-1.4,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,100,0,0,0,0,35.8,NA,1,NA,NA,NA,0,0
10,"https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4432926.png&w=350&h=254","Dishon","Jackson","Washington State",NA,"C",NA,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,0,0
14,"https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/5105655.png&w=350&h=254","Braden","Korpela","Washington State",NA,"G",NA,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,0,0
4,"https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/5105653.png&w=350&h=254","Shae","Korpela","Washington State",NA,"G",NA,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,0,0
2,"https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4709133.png&w=350&h=254","Myles","Rice","Washington State",NA,"G",NA,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,0,0
24,"https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4432848.png&w=350&h=254","Jaime","Jaquez","UCLA","Sr","G","6-7",225,37,37,33.2,27.1,27.9,NA,NA,NA,92.1348314606742,7.86516853932584,25.7,6.7,4,10.7,17.8,4.2,51.9,31.7,19.2,51.1,54.3,77,24.9,2.4,1.33,14.6,9.9,9,20.3,14.6,2.8,2.2,2.2,1,0,0,1,1,0
10,"https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4397128.png&w=350&h=254","Tyger","Campbell","UCLA","Sr","G","5-11",180,37,37,32,24.2,24.3,100,NA,NA,NA,NA,18,4.1,2.8,6.9,13.4,3.8,40,33.8,34.7,43.7,48.8,85.6,26.1,5,3.12,28.3,10.2,1.7,8,4.8,2.3,0,1.4,1,1,0,0,1,0
0,"https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4432247.png&w=350&h=254","Jaylen","Clark","UCLA","Jr","G","6-5",205,30,29,30.5,21.4,21.7,NA,NA,NA,NA,NA,23.4,5.2,6.7,11.9,13,3.8,53.3,32.9,25.6,52.3,55,69.8,31.2,1.9,1.58,11.4,9.5,7.4,16.1,11.7,5.1,1.1,2.8,1,NA,NA,NA,0,0
5,"https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/5105638.png&w=350&h=254","Amari","Bailey","UCLA","Fr","G","6-5",185,30,28,26.9,23.5,23.7,NA,75,25,NA,NA,16.4,1.7,3.3,5,11.2,3.3,52.1,38.9,19.8,53.3,55.3,69.8,23.1,2.2,0.92,15.2,19.4,3.6,13.2,8.3,2.5,1.4,2.5,1,1,0,0,1,0
34,"https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4397131.png&w=350&h=254","David","Singleton","UCLA","Sr","G","6-4",210,37,16,28.2,13.2,14.4,NA,NA,87.8048780487805,12.1951219512195,NA,15.4,3.7,4.1,7.8,9,2.3,43.2,42.4,68,57.1,60,84.9,20.9,1.1,2.2,6.5,5.8,2.2,9.6,5.9,2.3,0.8,2.1,1,0,1,0,1,0
3,"https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/5105637.png&w=350&h=254","Adem","Bona","UCLA","Fr","F","6-10",235,33,32,22.9,16.9,15.9,NA,NA,NA,NA,100,20.4,1.1,5,6.1,7.7,3.7,67.5,NA,0,67.5,66.1,57.3,53.2,0.7,0.54,5.7,18.6,11.4,15.8,13.6,1.5,9.1,5.8,1,0,0,1,0,0
2,"https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/5105636.png&w=350&h=254","Dylan","Andrews","UCLA","Fr","G","6-2",170,36,0,10.9,17.2,17.3,37.1428571428571,62.8571428571429,NA,NA,NA,11.8,-0.3,3,2.7,3.3,2.5,50,31.7,38.3,49.1,50.9,66.7,19.6,0.9,1.8,14.5,12.7,2.4,9.4,5.9,1.7,0.6,3.9,1,1,0,0,0,0
14,"https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4397129.png&w=350&h=254","Kenneth","Nwuba","UCLA","Sr","F","6-10",255,35,5,12.5,7.1,6,NA,NA,NA,NA,100,7.9,-2.1,4.5,2.4,1.3,1.4,62.5,NA,0,62.5,63.1,63.6,34.4,0.3,0.75,4.2,27.3,7.5,8.2,7.9,0.7,5.8,5.6,1,0,0,1,1,0
12,"https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4711692.png&w=350&h=254","Mac","Etienne","UCLA","Fr","F","6-10",235,32,0,6.8,12.7,11.6,NA,NA,NA,NA,100,14.1,-1.6,4.8,3.2,1.3,2.7,44.7,NA,0,44.7,43.9,37.5,42.1,0.2,2,5.2,8.1,13.9,19.7,16.8,1.6,8.3,7.4,1,0,0,1,0,0
1,"https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/5105635.png&w=350&h=254","Abramo","Canka","UCLA","Fr","G","6-6",200,22,0,5.4,15.1,15,NA,NA,NA,100,NA,12.9,0.5,2.4,2.8,1.5,2,41.2,50,37,53.7,57.1,100,14.8,0.2,0.67,5.7,17.2,8.9,7.1,8,2,1,3.4,1,0,1,0,0,0
4,"https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4433275.png&w=350&h=254","Will","McClendon","UCLA","Fr","G","6-3",210,27,0,9.4,11.8,11.8,NA,71.4285714285714,28.5714285714286,NA,NA,3.6,-4.8,4.2,-0.7,1,1.9,38.1,7.1,57.1,22.4,26,60,20.4,0.8,4,13.2,8.5,2.3,12.3,7.2,2.1,0,4.6,1,1,0,0,0,0
43,"https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4405598.png&w=350&h=254","Russell","Stong","UCLA",NA,"G",NA,NA,11,1,2,NA,19.4,NA,NA,NA,NA,NA,3.2,-8.3,-0.7,-8.9,0.4,NA,0,0,66.7,0,23.9,80,83.3,0,NA,0,0,5.3,38,21.5,0,0,NA,1,NA,NA,NA,0,0
21,"https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/5105639.png&w=350&h=254","Evan","Manjikian","UCLA",NA,"F",NA,NA,2,0,1.5,NA,33.9,NA,NA,NA,NA,NA,45,18.6,3.5,22.1,1.5,NA,NA,50,100,75,75,NA,0,0,NA,0,0,0,39.8,19.7,0,0,NA,1,NA,NA,NA,0,0
20,"https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4702456.png&w=350&h=254","Logan","Cremonesi","UCLA",NA,"F",NA,NA,9,0,2.2,NA,10,NA,NA,NA,NA,NA,-2.3,-7.2,1.8,-5.4,0.1,NA,0,NA,0,0,25.6,50,200,0.2,1,14.3,50.6,5.8,6,5.9,0,0,NA,1,NA,NA,NA,0,0
22,"https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/5105640.png&w=350&h=254","Jack","Seidler","UCLA",NA,"G",NA,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,0,0
