"#","URL","first","last","Team","Class","Pos","Height","Weight","GP","GS","MPG","Poss%","USG%","PG","SG","SF","PF","C","PER","OBPM","DBPM","BPM","PPG","FD/40","2P%","3P%","3PAr","eFG%","TS%","FT%","FTr","ApG","AST:TO","AST%","TOV%","ORB%","DRB%","TRB%","STL%","BLK%","FC/40","All Players","Guards","Wings","Bigs","Starters","Lefties"
40,"https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/5105567.png&w=350&h=254","Andre","Johnson","UCONN",NA,"G",NA,NA,9,0,1.1,NA,4.9,NA,NA,NA,NA,NA,-4.5,-6,-1.2,-7.2,0,NA,NA,0,100,0,0,NA,0,0,NA,0,0,0,0,0,0,0,NA,1,NA,NA,NA,0,0
24,"https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4433287.png&w=350&h=254","Brandon","Miller","Alabama","Fr","F","6-9",200,37,37,32.6,25.1,26.2,NA,NA,52.1739130434783,47.8260869565217,NA,23.4,7.8,4.3,12,18.8,4.7,48.3,38.4,53.5,53.3,58.3,85.9,32.9,2.1,0.95,12.9,12,6.7,17.7,12.6,1.5,2.4,2.9,1,0,1,0,1,0
1,"https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4703530.png&w=350&h=254","Mark","Sears","Alabama","Jr","G","6-1",185,37,37,29.8,19.8,20.1,NA,100,NA,NA,NA,16.4,3.3,4.2,7.5,12.5,4.3,49.6,34.5,59.7,50.9,57.4,84.7,43,2.6,1.37,15.7,14.8,2.5,8.9,5.9,2.1,0.2,2.1,1,1,0,0,1,0
15,"https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4712896.png&w=350&h=254","Noah","Clowney","Alabama","Fr","F","6-10",210,36,36,25.4,17.9,18,NA,NA,NA,72.8813559322034,27.1186440677966,18.6,3.7,4.5,8.3,9.8,4,66.9,28.3,47.4,55.3,57.6,64.9,43.9,0.8,0.62,5.8,13.1,8.7,21.4,15.5,1.3,3.4,4,1,0,0,1,1,0
5,"https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4397132.png&w=350&h=254","Jahvon","Quinerly","Alabama","Sr","G","6-1",175,35,6,21.2,23.8,23.3,100,NA,NA,NA,NA,13.6,2.3,2.6,4.9,8.7,3.1,44.4,35.7,47.6,48.7,51.7,82,18.5,3.6,1.71,31.9,20.3,1,7.5,4.5,1.8,0,2.8,1,1,0,0,1,0
14,"https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4565203.png&w=350&h=254","Charles","Bediako","Alabama","So","C","7-0",225,37,37,20.7,14.6,13.6,NA,NA,NA,NA,100,20.7,2.7,6.2,8.9,6.4,3,68.4,0,3.7,65.9,61.5,35.5,37.8,0.6,0.75,5.8,13.4,14.1,14.7,14.4,1.7,7.9,5.8,1,0,0,1,1,0
0,"https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4432737.png&w=350&h=254","Jaden","Bradley","Alabama","Fr","G","6-3",185,37,22,19.8,21.2,19.7,100,NA,NA,NA,NA,11.4,-0.9,3.1,2.3,6.4,5,40.2,31.8,11.8,41.1,48.5,69.5,63.4,3.1,1.72,26.9,21.7,2.2,10.2,6.4,1.4,0.4,3.6,1,1,0,0,0,0
3,"https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4683682.png&w=350&h=254","Rylan","Griffen","Alabama","Fr","G","6-5",180,37,0,15.7,18.7,19.8,NA,42.8571428571429,57.1428571428572,NA,NA,13.5,2.1,3.9,6,5.9,3.1,50.8,30.1,69,47,49.9,73.3,22.8,0.7,0.87,8.4,11.4,5.1,10.7,8.1,2.1,1.1,2.4,1,0,1,0,0,0
4,"https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4280015.png&w=350&h=254","Noah","Gurley","Alabama","Sr","F","6-8",215,34,1,15.4,15.3,15.5,NA,NA,65.1162790697674,34.8837209302326,NA,14,2,4.6,6.6,4.9,2.3,67.2,31.5,55.7,56.1,58.2,76.9,19.8,0.6,0.67,7.5,17.3,5.9,13.5,10,1.2,3.1,3.5,1,0,1,0,0,0
25,"https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4708027.png&w=350&h=254","Nimari","Burnett","Alabama","So","G","6-4",190,27,9,14.7,19.5,20.1,NA,63.1578947368421,36.8421052631579,NA,NA,11.4,0.5,3,3.4,5.6,3.7,46.3,32.1,67.2,47.6,52.3,78,32.8,0.7,0.7,9,15.3,4.9,8.2,6.7,1.4,0.9,4.8,1,0,1,0,0,0
