"player","class","pos","team","x3_p_s","slasher","ball_dominant","playmaker","limit_to","perim_defender","oreb","dreb","sim_1","sim_1_url","sim_2","sim_3","sim_4","sim_5","URL","#"
"Jaylen Clark","SR","G","UCLA",0.215083798882682,0.781657355679702,0.682960893854749,0.333333333333333,0.744413407821229,0.999068901303538,0.942737430167598,0.900837988826816,"Bruce Brown","https://cdn.nba.com/headshots/nba/latest/260x190/1628971.png","Jalen Williams","Scottie Barnes","Jordan Goodwin","Jeremy Lamb","https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4432247.png&w=350&h=254",0
"Jaden Akins","JR","G","Michigan State",0.776070763500931,0.309124767225326,0.629422718808194,0.186219739292365,0.400372439478585,0.92877094972067,0.669459962756052,0.727188081936685,"De'Anthony Melton","https://cdn.nba.com/headshots/nba/latest/260x190/1629001.png","Desmond Bane","Damion Lee","Jeremy Lamb","Devin Vassell","https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4683730.png&w=350&h=254",3
"Amari Bailey","SO","G","UCLA",0.241154562383613,0.763035381750466,0.798417132216015,0.506517690875233,0.0721601489757915,0.917132216014898,0.669459962756052,0.727188081936685,"Talen Horton-Tucker","https://cdn.nba.com/headshots/nba/latest/260x190/1629659.png","Jalen Suggs","Brodric Thomas","Dalano Banton","Jalen Williams","https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/5105638.png&w=350&h=254",5
"Jahvon Quinerly","SR","G","Alabama",0.671787709497207,0.332402234636872,0.776070763500931,0.977653631284916,0.619646182495345,0.812849162011173,0.0893854748603352,0.134543761638734,"Jared Butler","https://cdn.nba.com/headshots/nba/latest/260x190/1630215.png","Ty Jerome","Mike Conley","Fred VanVleet","Tyrese Haliburton","https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4397132.png&w=350&h=254",5
"Jaden Bradley","SO","G","Alabama",0.0810055865921788,0.986033519553073,0.550279329608939,0.950186219739292,0.666666666666667,0.782588454376164,0.42364990689013,0.421322160148976,"Brad Wanamaker","https://cdn.nba.com/headshots/nba/latest/260x190/202954.png","Dennis Smith Jr.","Saben Lee","Markelle Fultz","Dennis Schröder","https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4432737.png&w=350&h=254",0
"Nahiem Alleyne","SR","G","Connecticut",0.599627560521415,0.228584729981378,0.305865921787709,0.273743016759777,0.698324022346369,0.735567970204842,0.472067039106145,0.015828677839851,"Gary Harris","https://cdn.nba.com/headshots/nba/latest/260x190/203914.png","Garrett Temple","Kentavious Caldwell-Pope","Grayson Allen","Quentin Grimes","https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4432934.png&w=350&h=254",4
"Jabe Mullins","SR","G","Washington State",0.943202979515829,0.105679702048417,0.434357541899441,0.620111731843575,0.772346368715084,0.649906890130354,0.0893854748603352,0.446461824953445,"Kevin Huerter","https://cdn.nba.com/headshots/nba/latest/260x190/1628989.png","Bogdan Bogdanović","Jevon Carter","Luke Kennard","Malachi Flynn","https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4701181.png&w=350&h=254",3
"Rylan Griffen","SO","G","Alabama",0.813780260707635,0.136405959031657,0.557728119180633,0.191806331471136,0.415270018621974,0.891992551210428,0.829143389199255,0.472998137802607,"De'Anthony Melton","https://cdn.nba.com/headshots/nba/latest/260x190/1629001.png","Danny Green","Grayson Allen","Quentin Grimes","Svi Mykhailiuk","https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4683682.png&w=350&h=254",3
"Kymany Houinsou","SO","G","Washington State",0.0554003724394786,0.879422718808194,0.443202979515829,0.727653631284916,0.095903165735568,0.567039106145251,0.925512104283054,0.539106145251397,"Michael Carter-Williams","https://cdn.nba.com/headshots/nba/latest/260x190/203487.png","Elfrid Payton","Dalano Banton","Franz Wagner","Jalen Suggs","https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/5105659.png&w=350&h=254",31
"Joey Calcaterra","SR","G","Connecticut",0.965083798882682,0.114059590316574,0.527001862197393,0.605679702048417,0.686685288640596,0.895251396648045,0.625232774674115,0.421322160148976,"Jevon Carter","https://cdn.nba.com/headshots/nba/latest/260x190/1628975.png","Lonzo Ball","Payton Pritchard","Grayson Allen","Kevin Huerter","https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4280214.png&w=350&h=254",3
"Emanuel Sharp","SO","G","Houston",0.929236499068901,0.0954376163873371,0.613594040968343,0.0391061452513966,0.228119180633147,0.645251396648045,0.771415270018622,0.569366852886406,"Svi Mykhailiuk","https://cdn.nba.com/headshots/nba/latest/260x190/1629004.png","MarJon Beauchamp","Terence Davis","Aaron Nesmith","Danny Green","https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/5106058.png&w=350&h=254",21
"Terrance Arceneaux","SO","G","Houston",0.427374301675978,0.241154562383613,0.390595903165736,0.17364990689013,0.533985102420857,0.951117318435754,0.942737430167598,0.682029795158287,"PJ Dozier","https://cdn.nba.com/headshots/nba/latest/260x190/1628408.png","Torrey Craig","Troy Brown Jr.","Jeremy Lamb","De'Anthony Melton","https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/5106059.png&w=350&h=254",23
"Hassan Diarra","SR","G","Connecticut",0.153631284916201,0.727653631284916,0.192737430167598,0.924115456238361,0.720204841713222,0.978119180633147,0.613594040968343,0.265828677839851,"Trent Forrest","https://cdn.nba.com/headshots/nba/latest/260x190/1630235.png","Dennis Smith Jr.","Jordan McLaughlin","Tomáš Satoranský","Saben Lee","https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4433160.png&w=350&h=254",5
"Pierre Brooks","JR","G","Michigan State",0.868715083798883,0.0791433891992551,0.317039106145251,0.0805400372439479,0.682495344506518,0.380353817504655,0.78072625698324,0.314711359404097,"Rodney McGruder","https://cdn.nba.com/headshots/nba/latest/260x190/203585.png","Grayson Allen","Quentin Grimes","Payton Pritchard","Joe Harris","https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4683731.png&w=350&h=254",1
"Nimari Burnett","JR","G","Alabama",0.781657355679702,0.271880819366853,0.583798882681564,0.217411545623836,0.151303538175047,0.775139664804469,0.80586592178771,0.196461824953445,"Josh Richardson","https://cdn.nba.com/headshots/nba/latest/260x190/1626196.png","Svi Mykhailiuk","MarJon Beauchamp","Quentin Grimes","Danny Green","https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4708027.png&w=350&h=254",25
"Dylan Andrews","SO","G","UCLA",0.359404096834264,0.494413407821229,0.360800744878957,0.637337057728119,0.885009310986965,0.820763500931099,0.472067039106145,0.327746741154562,"Derrick White","https://cdn.nba.com/headshots/nba/latest/260x190/1628401.png","Brandon Goodwin","Jose Alvarado","Marcus Smart","Skylar Mays","https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/5105636.png&w=350&h=254",2
"Dylan Darling","SO","G","Washington State",0.140595903165736,0.530260707635009,0.128026070763501,0.393854748603352,0.154562383612663,0.917132216014898,0.449720670391061,0.85195530726257,"Brodric Thomas","https://cdn.nba.com/headshots/nba/latest/260x190/1630271.png","Deni Avdija","Gary Payton II","Kent Bazemore","PJ Dozier","https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/5105658.png&w=350&h=254",22
"Tre Holloman","SO","G","Michigan State",0.110800744878957,0.654562383612663,0.0339851024208566,0.854283054003724,0.968342644320298,0.687616387337058,0.169459962756052,0.327746741154562,"Raul Neto","https://cdn.nba.com/headshots/nba/latest/260x190/203526.png","Cory Joseph","Brad Wanamaker","Ayo Dosunmu","Killian Hayes","https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/5105816.png&w=350&h=254",5
"Will McClendon","SO","G","UCLA",0.0628491620111732,0.242551210428305,0.0567970204841713,0.701582867783985,0.991620111731844,0.895716945996276,0.449720670391061,0.638733705772812,"Alex Caruso","https://cdn.nba.com/headshots/nba/latest/260x190/1627936.png","Delon Wright","Jordan McLaughlin","Rajon Rondo","Dyson Daniels","https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4433275.png&w=350&h=254",4
"Dominick Welch","SR","G","Alabama",0.586126629422719,0.171787709497207,0.21927374301676,0.147579143389199,0.252327746741155,0.702513966480447,0.732309124767225,0.745344506517691,"Damion Lee","https://cdn.nba.com/headshots/nba/latest/260x190/1627814.png","Troy Brown Jr.","Torrey Craig","Aaron Nesmith","Dylan Windler","https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4397221.png&w=350&h=254",10
"Ramon Walker","JR","G","Houston",0.397579143389199,0.342178770949721,0.0861266294227188,0.162476722532588,0.37756052141527,0.655027932960894,0.852420856610801,0.727188081936685,"Torrey Craig","https://cdn.nba.com/headshots/nba/latest/260x190/1628470.png","Troy Brown Jr.","PJ Dozier","Christian Braun","Dylan Windler","https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4708176.png&w=350&h=254",3
