"date","game_date","location","opponent","wl","team_score","opponent_score","conference_game","Winning_Margin","game_code","net","net_rk","spread","ATS_Margin","Pace","Offensive_Efficency","Defensive_Efficency","Points_Scored","Points_Allowed","Offensive_3PAr","Offensive_3Ppct","Offensive_TOpct","Offensive_OREBpct","Offensive_FTr","Defensive_3PAr","Defensive_3Ppct","Defensive_TOpct","Defensive_OREBpct","Defensive_FTr","Team"
2023-02-19,20230219,"Home","Memphis","W",72,64,"B12",8,"Memphis 20230219",23,"NET Top 50",-14,-6,66,108.8,96.7,72,64,33.3,17.6,16.6,29,51,28.8,40,27.2,36.4,36.5,"Houston"
2023-02-22,20230222,"Home","Tulane","W",89,59,"B12",30,"Tulane 20230222",105,"Other",-15,15,71,125.9,83.4,89,59,48.5,31.2,17,48.6,33.3,44,31.8,26.9,22.2,42,"Houston"
2023-02-25,20230225,"Away","East Carolina","W",76,57,"B12",19,"East Carolina 20230225",188,"Other",-21,-2,64,119.3,89.5,76,57,27.3,33.3,14.1,47.2,22.7,44,36.4,12.6,22.5,56,"Houston"
2023-03-02,20230302,"Home","Wichita State","W",83,66,"B12",17,"Wichita State 20230302",112,"Other",-17,0,65,127.3,101.2,83,66,43.9,36,15.3,35.5,38.6,32.4,50,30.7,16.7,56.8,"Houston"
2023-03-05,20230305,"Away","Memphis","W",67,65,"B12",2,"Memphis 20230305",23,"NET Top 50",-4,-2,64,104.2,101.1,67,65,51.9,35.7,21.8,30,22.2,34,33.3,18.7,36.4,43.4,"Houston"
2023-03-10,20230310,"Away","East Carolina","W",60,46,"OOC",14,"East Carolina 20230310",188,"Other",-23,-9,71,84,64.4,60,46,42.1,33.3,14,16.7,45.6,37.3,15.8,23.8,17.1,39.2,"Houston"
2023-03-11,20230311,"Away","Cincinnati","W",69,48,"OOC",21,"Cincinnati 20230311",70,"NET Top 100",-9,12,65,105.8,73.6,69,48,26.3,20,18.4,28.1,22.8,54.9,21.4,13.8,20.4,54.9,"Houston"
2023-03-12,20230312,"Away","Memphis","L",65,75,"OOC",-10,"Memphis 20230312",23,"NET Top 50",-5,-15,65,99.8,115.1,65,75,39.1,24,15.3,44.9,43.8,22.6,50,16.9,31,39.6,"Houston"
2023-03-16,20230316,"Away","Northern Kentucky","W",63,52,"OOC",11,"Northern Kentucky 20230316",154,"Other",-19,-8,62,101.2,83.5,63,52,31.4,25,27.3,42.3,19.6,47.8,15.2,11.2,36.7,14.5,"Houston"
2023-03-18,20230318,"Away","Auburn","W",81,64,"OOC",17,"Auburn 20230318",32,"NET Top 50",-5,12,64,125.7,99.3,81,64,36.7,31.8,10.9,44.7,48.3,30.2,31.2,12.4,31.7,67.9,"Houston"
2023-03-24,20230324,"Away","Miami","L",75,89,"OOC",-14,"Miami 20230324",35,"NET Top 50",-7,-21,70,107.5,127.6,75,89,48.4,29,11.5,27.5,31.2,41.7,44,8.6,20,31.7,"Houston"
2022-11-07,20221107,"Home","Stonehill","W",85,54,"OOC",31,"Stonehill 20221107",314,"Other",-30,1,75,113.2,71.9,85,54,38.1,20.8,20,47.2,49.2,37.8,29.4,32,15.6,48.9,"UCONN"
2022-11-11,20221111,"Home","Boston University","W",86,57,"OOC",29,"Boston University 20221111",259,"Other",-19,10,70,123.1,81.6,86,57,38.2,47.6,20,34.4,47.3,22.6,16.7,18.6,21.1,45.3,"UCONN"
2022-11-15,20221115,"Home","Buffalo","W",84,64,"OOC",20,"Buffalo 20221115",193,"Other",-20,0,77,108.8,82.9,84,64,36.5,26.1,19.4,36.8,44.4,29.3,29.4,23.3,15.2,22.4,"UCONN"
